assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,penalties_order
0,0,0,0,0.0,624,0.0,0.0,0.0,0.0,19,0,0,0.0,0.0,2024-08-24T14:00:00Z,0,18,0,0,0,0,2,0,1653,0,0,4,0.0,0,693,768,75,40,False,0,1,Asmir Begovic,8,TOT,1110,1330,EVE,1100,1100,2024,
0,0,0,0,0.0,624,0.0,0.0,0.0,0.0,24,0,0,0.0,0.0,2024-08-31T14:00:00Z,0,3,0,0,0,0,3,0,12070,0,3,2,0.0,0,6965,8595,1630,40,True,0,1,Asmir Begovic,8,BOU,1130,1160,EVE,1080,1080,2024,
0,0,0,0,0.0,624,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,2024-09-14T16:30:00Z,0,2,0,0,0,0,4,0,16282,0,2,3,0.0,0,3299,4709,1410,40,False,0,1,Asmir Begovic,8,AVL,1120,1200,EVE,1100,1100,2024,
0,0,0,0,0.0,624,0.0,0.0,0.0,0.0,45,0,0,0.0,0.0,2024-09-21T14:00:00Z,0,11,0,0,0,0,5,0,17922,0,1,1,0.0,0,1262,1947,685,40,False,0,1,Asmir Begovic,8,LEI,1060,1090,EVE,1100,1100,2024,
0,0,0,0,0.0,624,0.0,0.0,0.0,0.0,55,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,7,0,0,0,0,6,0,21353,0,1,2,0.0,0,3068,6527,3459,40,True,0,1,Asmir Begovic,8,CRY,1100,1090,EVE,1080,1080,2024,
0,0,0,0,0.0,624,0.0,0.0,0.0,0.0,67,0,0,0.0,0.0,2024-10-05T16:30:00Z,0,15,0,0,0,0,7,0,23868,0,0,0,0.0,0,1903,2615,712,40,True,0,1,Asmir Begovic,8,NEW,1130,1310,EVE,1080,1080,2024,
0,0,0,0,0.0,624,0.0,0.0,0.0,0.0,73,0,0,0.0,0.0,2024-10-19T14:15:00Z,0,10,0,0,0,0,8,0,26608,0,2,0,0.0,0,2344,3194,850,40,False,0,1,Asmir Begovic,8,IPS,1070,1050,EVE,1100,1100,2024,
0,0,0,0,0.0,624,0.0,0.0,0.0,0.0,87,0,0,0.0,0.0,2024-10-26T16:30:00Z,0,9,0,0,0,0,9,0,27447,0,1,1,0.0,0,667,1262,595,40,True,0,1,Asmir Begovic,8,FUL,1140,1180,EVE,1080,1080,2024,
0,0,0,0,0.0,624,0.0,0.0,0.0,0.0,98,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,17,0,0,0,0,10,0,27774,0,0,1,0.0,0,268,945,677,40,False,0,1,Asmir Begovic,8,SOU,1060,1060,EVE,1100,1100,2024,
0,0,0,0,0.0,624,0.0,0.0,0.0,0.0,109,0,0,0.0,0.0,2024-11-09T15:00:00Z,0,19,0,0,0,0,11,0,27988,0,0,0,0.0,0,73,720,647,40,False,0,1,Asmir Begovic,8,WHU,1080,1120,EVE,1100,1100,2024,
0,0,0,0,0.0,624,0.0,0.0,0.0,0.0,114,0,0,0.0,0.0,2024-11-23T15:00:00Z,0,4,0,0,0,0,12,0,27792,0,0,0,0.0,0,-253,511,764,40,True,0,1,Asmir Begovic,8,BRE,1120,1190,EVE,1080,1080,2024,
0,0,0,0,0.0,624,0.0,0.0,0.0,0.0,126,0,0,0.0,0.0,2024-12-01T13:30:00Z,0,14,0,0,0,0,13,0,27879,0,0,4,0.0,0,-31,498,529,40,False,0,1,Asmir Begovic,8,MUN,1130,1120,EVE,1100,1100,2024,
0,0,0,0,0.0,624,0.0,0.0,0.0,0.0,134,0,0,0.0,0.0,2024-12-04T19:30:00Z,0,20,0,0,0,0,14,0,28201,0,0,4,0.0,0,260,872,612,40,True,0,1,Asmir Begovic,8,WOL,1060,1120,EVE,1080,1080,2024,
