assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg,shots,key_passes,npg,npxG,adjusted_xg,modified
0,0,7,1,3.2,2,0.0,0.23,0.1818339973688125,1.21,1,0,0,4.9,7.4,2022-08-05,82,7,0,0,0,0,1,0,6018571,1,2,0,38.0,2,0,0,0,80,False,0,4,Gabriel Fernando de Jesus,1,CRY,1110,1060,ARS,1250,1320,2022,,1.43601,13.0,1.43601,1.20637,8.0,1.20637,1.0,0.0,0.0,0.1818339973688125,0.1818339973688125,
2,3,65,0,33.7,2,0.5772899985313416,1.96,1.855739951133728,0.33,11,2,2,23.7,98.6,2022-08-13,83,11,0,0,0,0,2,0,6211795,1,2,4,105.0,19,-265945,105825,371770,80,True,0,4,Gabriel Fernando de Jesus,1,LEI,1110,1120,ARS,1250,1240,2022,,3.0107,10.0,3.0107,0.690679,5.0,0.690679,7.0,3.0,2.0,1.855739951133728,1.855739951133728,
1,0,15,1,23.1,2,0.3799070119857788,0.09,0.1276959925889969,0.28,21,0,0,10.3,25.6,2022-08-20,90,3,0,0,0,0,3,0,7496318,1,3,0,54.0,4,853585,882488,28903,81,False,1,4,Gabriel Fernando de Jesus,1,BOU,1020,1050,ARS,1250,1320,2022,,1.71081,8.0,1.71081,0.211335,1.0,0.211335,2.0,2.0,0.0,0.1276959925889969,0.1276959925889969,
0,0,0,0,27.6,2,0.1841479986906051,0.45,0.2634910047054291,0.74,31,1,0,11.5,8.2,2022-08-27,88,9,0,0,0,0,4,0,7962228,1,1,2,79.0,1,237640,268237,30597,82,True,1,4,Gabriel Fernando de Jesus,1,FUL,1065,1140,ARS,1250,1240,2022,,2.47427,17.0,2.47427,0.926007,1.0,0.926007,4.0,2.0,0.0,0.2634910047054291,0.2634910047054291,
0,0,19,0,12.3,2,0.0915329977869987,0.99,1.2875100374221802,0.45,41,1,1,14.2,37.8,2022-08-31,87,2,0,0,0,0,5,0,8026017,1,1,2,92.0,6,-70519,106179,176698,82,True,0,4,Gabriel Fernando de Jesus,1,AVL,1075,1130,ARS,1250,1240,2022,,2.79971,18.0,2.79971,0.297168,3.0,0.297168,4.0,1.0,1.0,1.2875100374221802,1.2875100374221802,
0,0,5,0,54.7,2,0.4023370146751404,0.41,0.0491003990173339,1.55,56,3,0,8.8,11.0,2022-09-04,90,14,0,0,0,0,6,0,8025951,1,1,3,22.0,1,-129699,102712,232411,82,False,1,4,Gabriel Fernando de Jesus,1,MUN,1140,1165,ARS,1250,1320,2022,,1.42238,16.0,1.42238,2.02904,5.0,2.02904,2.0,5.0,0.0,0.0491003990173339,0.0491003990173339,
0,1,30,1,4.5,2,0.0,0.86,0.833499014377594,0.53,72,0,1,12.5,43.6,2022-09-18,90,4,0,0,0,0,8,0,7527911,1,3,0,77.0,6,-339612,38460,378072,81,False,1,4,Gabriel Fernando de Jesus,1,BRE,1100,1130,ARS,1250,1320,2022,,1.32021,9.0,1.32021,0.54011,3.0,0.54011,4.0,0.0,1.0,0.833499014377594,0.833499014377594,
0,2,29,0,12.9,2,0.0919592976570129,1.45,1.4708600044250488,1.57,81,1,1,14.8,46.2,2022-10-01,79,18,0,0,0,0,9,0,7253158,1,1,3,89.0,8,-429297,67507,496804,80,True,0,4,Gabriel Fernando de Jesus,1,TOT,1210,1230,ARS,1250,1240,2022,,2.48403,12.0,2.48403,1.5027,2.0,0.741526,4.0,1.0,1.0,1.4708600044250488,1.4708600044250488,
1,0,12,0,2.6,2,0.0,0.35,0.2236669957637787,1.01,91,2,0,6.2,7.4,2022-10-09,90,12,0,0,0,0,10,0,7286361,1,2,3,52.0,5,-21252,169445,190697,80,True,0,4,Gabriel Fernando de Jesus,1,LIV,1250,1300,ARS,1250,1240,2022,,2.81968,14.0,2.05851,0.765151,4.0,0.765151,2.0,0.0,0.0,0.2236669957637787,0.2236669957637787,
0,0,2,1,23.5,2,0.1068499982357025,0.09,0.3768979907035827,1.72,104,0,0,4.1,6.0,2022-10-16,81,24,0,0,0,0,11,0,7324047,1,1,0,11.0,2,2100,133178,131078,80,False,0,4,Gabriel Fernando de Jesus,1,LEE,1070,1130,ARS,1250,1320,2022,,0.821757,5.0,0.821757,2.02232,8.0,1.26115,1.0,2.0,0.0,0.3768979907035827,0.3768979907035827,
0,0,-7,0,4.4,2,0.0,0.43,0.8182100057601929,0.67,127,1,0,6.9,12.0,2022-10-23,90,17,0,0,0,0,13,0,6433484,1,1,1,53.0,2,10073,184807,174734,80,False,0,4,Gabriel Fernando de Jesus,1,SOU,1070,1060,ARS,1250,1320,2022,,1.57897,8.0,1.57897,0.622653,7.0,0.622653,4.0,0.0,0.0,0.8182100057601929,0.8182100057601929,
2,1,31,1,45.5,2,1.137660026550293,1.25,0.8299480080604553,0.43,131,0,0,20.4,51.6,2022-10-30,90,16,0,0,0,0,14,0,6337194,1,0,5,107.0,9,-110733,148650,259383,80,True,0,4,Gabriel Fernando de Jesus,1,NFO,1100,1105,ARS,1250,1240,2022,,3.00699,21.0,3.00699,0.206127,2.0,0.206127,7.0,4.0,0.0,0.8299480080604553,0.8299480080604553,
0,0,2,1,23.8,2,0.1575089991092682,0.59,0.4939610064029693,0.29,142,0,0,9.1,16.4,2022-11-06,90,6,0,0,0,0,15,0,6420680,1,1,0,51.0,2,59645,243765,184120,80,False,0,4,Gabriel Fernando de Jesus,1,CHE,1190,1140,ARS,1250,1320,2022,,2.37846,3.0,2.37846,0.278815,5.0,0.278815,3.0,2.0,0.0,0.4939610064029693,0.4939610064029693,
0,0,9,1,9.3,2,0.0,0.49,0.6119409799575806,0.68,160,0,0,7.0,6.2,2022-11-12,90,20,0,0,0,0,16,0,6357613,1,2,0,54.0,2,-71731,202097,273828,80,False,0,4,Gabriel Fernando de Jesus,1,WOL,1100,1060,ARS,1250,1320,2022,,2.27996,4.0,2.27996,0.512339,4.0,0.512339,5.0,0.0,0.0,0.6119409799575806,0.6119409799575806,
0,0,0,0,0.0,2,0.0,0.0,0.0,0.0,161,0,0,0.0,0.0,2022-12-26,0,19,0,0,0,0,17,0,4183468,0,1,3,0.0,0,-2180978,52641,2233619,80,True,0,4,Gabriel Fernando de Jesus,1,WHU,1150,1110,ARS,1250,1240,2022,,1.88828,14.0,1.88828,1.02652,1.0,0.265347,0.0,0.0,0.0,0.0,0.0,
0,0,0,0,0.0,2,0.0,0.0,0.0,0.0,172,0,0,0.0,0.0,2022-12-31,0,5,0,0,0,0,18,0,3575324,0,4,2,0.0,0,-616984,873,617857,80,False,0,4,Gabriel Fernando de Jesus,1,BHA,1140,1200,ARS,1250,1320,2022,,3.22106,8.0,3.22106,1.15663,9.0,1.15663,0.0,0.0,0.0,0.0,0.0,
0,0,0,0,0.0,2,0.0,0.0,0.0,0.0,181,0,0,0.0,0.0,2023-01-03,0,15,0,0,0,0,19,0,3388877,0,0,0,0.0,0,-190663,699,191362,80,True,0,4,Gabriel Fernando de Jesus,1,NEW,1300,1220,ARS,1250,1240,2022,,0.970637,9.0,0.970637,0.959523,4.0,0.959523,0.0,0.0,0.0,0.0,0.0,
0,0,0,0,0.0,2,0.0,0.0,0.0,0.0,199,0,0,0.0,0.0,2023-01-15,0,18,0,0,0,0,20,0,3187556,0,2,0,0.0,0,-200638,969,201607,79,False,0,4,Gabriel Fernando de Jesus,1,TOT,1140,1170,ARS,1250,1320,2022,,2.04232,8.0,2.04232,1.71032,8.0,1.71032,0.0,0.0,0.0,0.0,0.0,
0,0,0,0,0.0,2,0.0,0.0,0.0,0.0,201,0,0,0.0,0.0,2023-01-22,0,14,0,0,0,0,21,0,3084111,0,2,3,0.0,0,-106949,837,107786,79,True,0,4,Gabriel Fernando de Jesus,1,MUN,1220,1220,ARS,1250,1240,2022,,2.90273,15.0,2.90273,0.272246,1.0,0.272246,0.0,0.0,0.0,0.0,0.0,
0,0,0,0,0.0,2,0.0,0.0,0.0,0.0,215,0,0,0.0,0.0,2023-02-04,0,8,0,0,0,0,22,0,2954923,0,0,1,0.0,0,-129050,769,129819,79,False,0,4,Gabriel Fernando de Jesus,1,EVE,1070,1040,ARS,1250,1320,2022,,0.690102,11.0,0.690102,2.09191,4.0,2.09191,0.0,0.0,0.0,0.0,0.0,
0,0,0,0,0.0,2,0.0,0.0,0.0,0.0,221,0,0,0.0,0.0,2023-02-11,0,4,0,0,0,0,23,0,2912838,0,1,1,0.0,0,-45325,603,45928,79,True,0,4,Gabriel Fernando de Jesus,1,BRE,1160,1200,ARS,1250,1240,2022,,1.36738,21.0,1.36738,2.17538,15.0,2.17538,0.0,0.0,0.0,0.0,0.0,
0,0,0,0,0.0,2,0.0,0.0,0.0,0.0,111,0,0,0.0,0.0,2023-02-15,0,13,0,0,0,0,23,0,2912838,0,3,1,0.0,0,-45325,603,45928,79,True,0,4,Gabriel Fernando de Jesus,1,MCI,1340,1380,ARS,1250,1240,2022,,1.70139,9.0,0.940216,2.00841,7.0,2.00841,0.0,0.0,0.0,0.0,0.0,
0,0,0,0,0.0,2,0.0,0.0,0.0,0.0,231,0,0,0.0,0.0,2023-02-18,0,2,0,0,0,0,24,0,2880938,0,4,2,0.0,0,-32988,721,33709,79,False,0,4,Gabriel Fernando de Jesus,1,AVL,1070,1070,ARS,1250,1320,2022,,2.85981,14.0,2.85981,0.335752,2.0,0.335752,0.0,0.0,0.0,0.0,0.0,
0,0,0,0,0.0,2,0.0,0.0,0.0,0.0,246,0,0,0.0,0.0,2023-02-25,0,11,0,0,0,0,25,0,2853521,0,1,0,0.0,0,-26785,1666,28451,79,False,0,4,Gabriel Fernando de Jesus,1,LEI,1065,1200,ARS,1250,1320,2022,,0.722059,10.0,0.722059,0.0203463,2.0,0.0203463,0.0,0.0,0.0,0.0,0.0,
0,0,0,0,0.0,2,0.0,0.0,0.0,0.0,61,0,0,0.0,0.0,2023-03-01,0,8,0,0,0,0,25,0,2853521,0,0,4,0.0,0,-26785,1666,28451,79,True,0,4,Gabriel Fernando de Jesus,1,EVE,1100,1090,ARS,1250,1240,2022,,3.06919,13.0,3.06919,1.604,5.0,1.604,0.0,0.0,0.0,0.0,0.0,
0,0,0,0,0.0,2,0.0,0.0,0.0,0.0,251,0,0,0.0,0.0,2023-03-04,0,3,0,0,0,0,26,0,2833722,0,2,3,0.0,0,-21749,2567,24316,79,True,0,4,Gabriel Fernando de Jesus,1,BOU,1110,1080,ARS,1250,1240,2022,,2.46279,31.0,2.46279,1.74267,3.0,1.74267,0.0,0.0,0.0,0.0,0.0,
0,0,3,0,1.1,2,0.0,0.14,0.378163993358612,0.11,264,0,0,2.5,6.4,2023-03-12,13,9,0,0,0,0,27,0,2814464,0,3,0,17.0,1,-19715,3107,22822,79,False,0,4,Gabriel Fernando de Jesus,1,FUL,1070,1120,ARS,1250,1320,2022,,2.64355,20.0,2.64355,0.61832,5.0,0.61832,1.0,0.0,0.0,0.378163993358612,0.378163993358612,
0,0,0,0,1.8,2,0.0,0.21,0.0781806036829948,0.34,271,0,0,0.8,0.0,2023-03-19,25,7,0,0,0,0,28,0,2852296,0,1,4,9.0,1,28263,38616,10353,79,True,0,4,Gabriel Fernando de Jesus,1,CRY,1110,1090,ARS,1250,1240,2022,,1.53568,13.0,1.53568,1.19194,5.0,1.19194,1.0,0.0,0.0,0.0781806036829948,0.0781806036829948,
0,3,45,0,14.3,2,0.0713486969470977,1.78,1.8446600437164309,0.27,281,0,2,14.0,70.6,2023-04-01,59,24,0,0,0,0,29,0,2858114,1,1,4,55.0,12,10866,29851,18985,79,True,0,4,Gabriel Fernando de Jesus,1,LEE,1075,1120,ARS,1250,1240,2022,,3.29548,6.0,2.53431,0.497609,6.0,0.497609,4.0,1.0,1.0,1.0835000276565552,1.464080035686493,
0,1,27,0,7.2,2,0.0,0.96,0.9062399864196776,2.15,296,1,1,6.8,37.0,2023-04-09,79,12,0,0,0,0,30,0,3028101,1,2,2,24.0,7,164000,176324,12324,80,False,0,4,Gabriel Fernando de Jesus,1,LIV,1180,1260,ARS,1250,1320,2022,,1.53631,1.0,1.53631,4.64012,19.0,3.87895,2.0,0.0,1.0,0.9062399864196776,0.9062399864196776,
0,2,28,0,4.4,2,0.0,0.95,0.9114649891853333,1.43,309,2,1,7.3,35.2,2023-04-16,66,19,0,0,0,0,31,0,3171370,1,2,2,33.0,7,139743,153899,14156,81,False,1,4,Gabriel Fernando de Jesus,1,WHU,1145,1060,ARS,1250,1320,2022,,2.71782,10.0,1.95665,1.96095,4.0,1.19978,1.0,0.0,1.0,0.9114649891853333,0.9114649891853333,
0,0,-6,0,20.5,2,0.056328896433115,1.45,0.8728352189064026,1.42,311,3,0,9.1,6.6,2023-04-21,90,17,0,0,0,0,32,0,3747685,1,3,3,64.0,2,283466,295624,12158,82,True,0,4,Gabriel Fernando de Jesus,1,SOU,1070,1080,ARS,1250,1240,2022,,2.39609,23.0,2.39609,1.43063,3.0,1.43063,6.0,1.0,0.0,0.8728352189064026,0.8728352189064026,
0,0,4,0,2.1,2,0.0,0.0,0.0,1.89,329,3,0,0.8,1.6,2023-04-26,80,13,0,0,0,0,33,0,3280369,1,1,4,4.0,2,-173341,15949,189290,82,False,0,4,Gabriel Fernando de Jesus,1,MCI,1340,1360,ARS,1250,1320,2022,,0.398372,6.0,0.398372,2.01168,9.0,2.01168,0.0,0.0,0.0,0.0,0.0,
0,1,28,0,26.8,2,0.2086135745048523,0.8,0.9182888865470886,0.74,331,1,1,12.3,36.8,2023-05-02,90,6,0,0,0,0,34,0,3174965,1,1,3,59.0,7,-96389,19551,115940,81,True,0,4,Gabriel Fernando de Jesus,1,CHE,1220,1220,ARS,1250,1240,2022,,2.7832,13.0,2.7832,0.785202,8.0,0.785202,3.0,2.0,1.0,0.9182888865470886,0.9182888865470886,
0,0,1,1,13.1,2,0.0900625139474868,0.14,0.1330589205026626,1.24,346,0,0,4.6,5.2,2023-05-07,86,15,0,0,0,0,35,0,3188179,1,2,0,28.0,2,-2087,44354,46441,81,False,0,4,Gabriel Fernando de Jesus,1,NEW,1250,1165,ARS,1250,1320,2022,,1.29061,8.0,1.29061,1.37224,11.0,1.37224,2.0,1.0,0.0,0.1330589205026626,0.1330589205026626,
0,0,5,0,21.3,2,0.0603901334106922,0.11,0.0814701318740844,1.08,351,1,0,5.7,10.6,2023-05-14,76,5,0,0,0,0,36,0,3163606,1,3,0,25.0,2,-25961,28222,54183,81,True,0,4,Gabriel Fernando de Jesus,1,BHA,1150,1200,ARS,1250,1240,2022,,0.958651,8.0,0.958651,2.21276,2.0,2.21276,2.0,2.0,0.0,0.0814701318740844,0.0814701318740844,
0,0,-5,0,13.6,2,0.0497947745025157,0.36,0.2317339777946472,0.55,367,1,0,10.0,6.2,2023-05-20,90,16,0,0,0,0,37,0,3175332,1,0,1,80.0,1,10040,56081,46041,81,False,1,4,Gabriel Fernando de Jesus,1,NFO,1065,1030,ARS,1250,1320,2022,,0.4902,11.0,0.4902,1.1397,5.0,1.1397,4.0,1.0,0.0,0.2317339777946472,0.2317339777946472,
1,3,52,1,0.0,2,0.5780015587806702,0.61,0.3906822502613067,0.47,371,0,1,0.0,0.0,2023-05-28,90,20,0,0,0,0,38,0,3243753,1,0,5,0.0,12,61190,92891,31701,81,True,0,4,Gabriel Fernando de Jesus,1,WOL,1100,1080,ARS,1250,1240,2022,,3.02466,12.0,3.02466,0.38772,3.0,0.38772,1.0,1.0,1.0,0.3906822502613067,0.3906822502613067,
0,0,0,0,0.0,2,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,2023-08-12,0,16,0,0,0,0,1,0,208581,0,1,2,0.0,0,0,0,0,80,True,0,4,Gabriel Fernando de Jesus,1,NFO,1125,1080,ARS,1370,1330,2023,,0.84262,9.0,0.84262,0.966305,4.0,0.966305,0.0,0.0,0.0,0.0,0.0,
0,0,0,0,0.0,2,0.0,0.0,0.0,0.0,12,0,0,0.0,0.0,2023-08-21,0,7,0,0,0,0,2,0,128916,0,1,0,0.0,0,-83981,3233,87214,79,False,0,4,Gabriel Fernando de Jesus,1,CRY,1080,1060,ARS,1370,1360,2023,,2.20593,7.0,1.4448,1.06916,10.0,1.06916,0.0,0.0,0.0,0.0,0.0,
0,0,1,0,0.3,2,0.01,0.15,0.14,0.12,21,0,0,3.8,3.0,2023-08-26,1,9,0,0,0,0,3,0,114556,0,2,2,35.0,1,-20602,8903,29505,79,True,0,4,Gabriel Fernando de Jesus,1,FUL,1180,1170,ARS,1370,1330,2023,,3.23088,22.0,2.46971,0.849817,2.0,0.849817,0.0,0.0,0.0,0.0,0.07,
