id,first_name,second_name,value,penalties_order,rolling_opponent_xg_3,rolling_total_points_3,rolling_shots_3,rolling_expected_assists_3,rolling_expected_goals_3,rolling_ict_index_3,rolling_influence_3,rolling_threat_3,rolling_yellow_cards_3,rolling_opponent_deep_3,rolling_team_deep_3,rolling_bps_3,rolling_adjusted_xg_3,rolling_key_passes_3,rolling_opponent_xg_5,rolling_total_points_5,rolling_shots_5,rolling_expected_assists_5,rolling_expected_goals_5,rolling_ict_index_5,rolling_influence_5,rolling_threat_5,rolling_yellow_cards_5,rolling_opponent_deep_5,rolling_team_deep_5,rolling_bps_5,rolling_adjusted_xg_5,rolling_key_passes_5,rolling_opponent_xg_8,rolling_total_points_8,rolling_shots_8,rolling_expected_assists_8,rolling_expected_goals_8,rolling_ict_index_8,rolling_influence_8,rolling_threat_8,rolling_yellow_cards_8,rolling_opponent_deep_8,rolling_team_deep_8,rolling_bps_8,rolling_adjusted_xg_8,rolling_key_passes_8,rolling_opponent_xg_12,rolling_total_points_12,rolling_shots_12,rolling_expected_assists_12,rolling_expected_goals_12,rolling_ict_index_12,rolling_influence_12,rolling_threat_12,rolling_yellow_cards_12,rolling_opponent_deep_12,rolling_team_deep_12,rolling_bps_12,rolling_adjusted_xg_12,rolling_key_passes_12,avg_yellow_cards,average_season_goals,average_season_assists,pred_minutes,opponent_team,own_team,own_attack,opponent_attack,own_defense,opponent_defense,own_short_name,opponent_short_name,gameweek,was_home,season,POS
2,Gabriel,Fernando de Jesus,68,,0.6294513333333333,6.0,0.6666666666666666,0.1519617910186449,0.176282008488973,5.133333333333334,25.6,25.0,0.0,1.6666666666666667,10.0,24.33333333333333,0.176282008488973,0.6666666666666666,0.6759653999999999,4.0,0.8,0.0911770746111869,0.2018027737736702,4.12,16.68,18.6,0.2,1.8,8.8,15.2,0.2018027737736702,0.4,0.7354185,2.75,0.5,0.0689223511144518,0.1261267336085438,2.9625000000000004,10.775,14.75,0.25,3.0,9.75,9.75,0.1261267336085438,0.5,0.9193364166666664,2.083333333333333,1.0833333333333333,0.0459482340763012,0.2430987451225519,2.6833333333333336,8.416666666666666,13.083333333333334,0.25,3.8333333333333335,10.25,8.5,0.2430987451225519,0.3333333333333333,0.2857142857142857,0.1428571428571428,0.0714285714285714,27.6,10,1,1260,1070,1240,1080,ARS,IPS,18.0,1,24,4
2,Gabriel,Fernando de Jesus,68,,0.6294513333333333,6.0,0.6666666666666666,0.1519617910186449,0.176282008488973,5.133333333333334,25.6,25.0,0.0,1.6666666666666667,10.0,24.33333333333333,0.176282008488973,0.6666666666666666,0.6759653999999999,4.0,0.8,0.0911770746111869,0.2018027737736702,4.12,16.68,18.6,0.2,1.8,8.8,15.2,0.2018027737736702,0.4,0.7354185,2.75,0.5,0.0689223511144518,0.1261267336085438,2.9625000000000004,10.775,14.75,0.25,3.0,9.75,9.75,0.1261267336085438,0.5,0.9193364166666664,2.083333333333333,1.0833333333333333,0.0459482340763012,0.2430987451225519,2.6833333333333336,8.416666666666666,13.083333333333334,0.25,3.8333333333333335,10.25,8.5,0.2430987451225519,0.3333333333333333,0.2857142857142857,0.1428571428571428,0.0714285714285714,27.6,18,1,1260,1140,1240,1350,ARS,TOT,21.0,1,24,4
2,Gabriel,Fernando de Jesus,68,,0.6294513333333333,6.0,0.6666666666666666,0.1519617910186449,0.176282008488973,5.133333333333334,25.6,25.0,0.0,1.6666666666666667,10.0,24.33333333333333,0.176282008488973,0.6666666666666666,0.6759653999999999,4.0,0.8,0.0911770746111869,0.2018027737736702,4.12,16.68,18.6,0.2,1.8,8.8,15.2,0.2018027737736702,0.4,0.7354185,2.75,0.5,0.0689223511144518,0.1261267336085438,2.9625000000000004,10.775,14.75,0.25,3.0,9.75,9.75,0.1261267336085438,0.5,0.9193364166666664,2.083333333333333,1.0833333333333333,0.0459482340763012,0.2430987451225519,2.6833333333333336,8.416666666666666,13.083333333333334,0.25,3.8333333333333335,10.25,8.5,0.2430987451225519,0.3333333333333333,0.2857142857142857,0.1428571428571428,0.0714285714285714,27.6,2,1,1260,1160,1240,1320,ARS,AVL,22.0,1,24,4
4,Kai,Havertz,79,3.0,0.6294513333333333,4.333333333333333,2.0,0.3906522579491138,0.4883775201936562,6.433333333333334,19.73333333333333,26.33333333333333,0.0,1.6666666666666667,10.0,17.0,0.4883775201936562,1.3333333333333333,0.6759653999999999,4.2,1.8,0.2343913547694683,0.4939586274325848,5.92,19.08,27.6,0.0,1.8,8.8,16.2,0.4939586274325848,0.8,0.7354185,3.125,1.375,0.1757651485968381,0.3299524425528943,4.8875,14.675,20.125,0.25,3.0,9.75,11.25,0.3299524425528943,1.0,0.9193364166666664,3.583333333333333,2.25,0.1310802532049516,0.515892026014626,5.991666666666667,17.433333333333334,30.83333333333333,0.1666666666666666,3.8333333333333335,10.25,13.416666666666666,0.515892026014626,0.75,0.125,0.375,0.125,80.0,10,1,1260,1070,1240,1080,ARS,IPS,18.0,1,24,4
4,Kai,Havertz,79,3.0,0.6294513333333333,4.333333333333333,2.0,0.3906522579491138,0.4883775201936562,6.433333333333334,19.73333333333333,26.33333333333333,0.0,1.6666666666666667,10.0,17.0,0.4883775201936562,1.3333333333333333,0.6759653999999999,4.2,1.8,0.2343913547694683,0.4939586274325848,5.92,19.08,27.6,0.0,1.8,8.8,16.2,0.4939586274325848,0.8,0.7354185,3.125,1.375,0.1757651485968381,0.3299524425528943,4.8875,14.675,20.125,0.25,3.0,9.75,11.25,0.3299524425528943,1.0,0.9193364166666664,3.583333333333333,2.25,0.1310802532049516,0.515892026014626,5.991666666666667,17.433333333333334,30.83333333333333,0.1666666666666666,3.8333333333333335,10.25,13.416666666666666,0.515892026014626,0.75,0.125,0.375,0.125,80.0,18,1,1260,1140,1240,1350,ARS,TOT,21.0,1,24,4
4,Kai,Havertz,79,3.0,0.6294513333333333,4.333333333333333,2.0,0.3906522579491138,0.4883775201936562,6.433333333333334,19.73333333333333,26.33333333333333,0.0,1.6666666666666667,10.0,17.0,0.4883775201936562,1.3333333333333333,0.6759653999999999,4.2,1.8,0.2343913547694683,0.4939586274325848,5.92,19.08,27.6,0.0,1.8,8.8,16.2,0.4939586274325848,0.8,0.7354185,3.125,1.375,0.1757651485968381,0.3299524425528943,4.8875,14.675,20.125,0.25,3.0,9.75,11.25,0.3299524425528943,1.0,0.9193364166666664,3.583333333333333,2.25,0.1310802532049516,0.515892026014626,5.991666666666667,17.433333333333334,30.83333333333333,0.1666666666666666,3.8333333333333335,10.25,13.416666666666666,0.515892026014626,0.75,0.125,0.375,0.125,80.0,2,1,1260,1160,1240,1320,ARS,AVL,22.0,1,24,4
665,Nathan,Butler-Oyedeji,45,,0.6294513333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,10.0,0.0,0.0,0.0,0.6759653999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,8.8,0.0,0.0,0.0,0.7354185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.75,0.0,0.0,0.0,0.9721934545454544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8181818181818175,9.272727272727272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,1260,1070,1240,1080,ARS,IPS,18.0,1,24,4
665,Nathan,Butler-Oyedeji,45,,0.6294513333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,10.0,0.0,0.0,0.0,0.6759653999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,8.8,0.0,0.0,0.0,0.7354185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.75,0.0,0.0,0.0,0.9721934545454544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8181818181818175,9.272727272727272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,1,1260,1140,1240,1350,ARS,TOT,21.0,1,24,4
665,Nathan,Butler-Oyedeji,45,,0.6294513333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,10.0,0.0,0.0,0.0,0.6759653999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,8.8,0.0,0.0,0.0,0.7354185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.75,0.0,0.0,0.0,0.9721934545454544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8181818181818175,9.272727272727272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1260,1160,1240,1320,ARS,AVL,22.0,1,24,4
38,Jhon,Durán,58,,1.256067333333333,6.666666666666667,3.0,0.0,0.4407037099202474,7.533333333333334,35.2,37.333333333333336,0.3333333333333333,5.333333333333333,9.0,29.666666666666668,0.4407037099202474,0.0,1.3700503999999998,4.2,2.8,0.0222269177436828,0.4360290914773941,6.48,23.72,34.8,0.4,5.0,8.4,19.6,0.4360290914773941,0.4,1.6555115,3.0,1.875,0.0222172979265451,0.2783709741197526,4.3875,15.65,22.875,0.25,5.625,7.5,13.25,0.2783709741197526,0.375,1.5415083333333337,2.333333333333333,1.5833333333333333,0.0195552861938873,0.2040140513951579,3.466666666666667,11.833333333333334,18.08333333333333,0.1666666666666666,5.083333333333333,8.25,9.75,0.2040140513951579,0.3333333333333333,0.1764705882352941,0.4117647058823529,0.0,51.6,5,2,1080,1100,1140,1200,AVL,BHA,19.0,1,24,4
