assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season
0,0,0,0,0.0,891,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,20,0,0,0,0,1,0,16752,0,1,2,0.0,0,0,0,0,40,True,0,2,Leo Fuhr Hjelde,,WOL,1100,1080,,,,2022
0,0,0,0,0.0,891,0.0,0.0,0.0,0.0,19,0,0,0.0,0.0,2022-08-13T14:00:00Z,0,17,0,0,0,0,2,0,19043,0,2,2,0.0,0,-973,802,1775,40,False,0,2,Leo Fuhr Hjelde,,SOU,1070,1060,,,,2022
0,0,0,0,0.0,891,0.0,0.0,0.0,0.0,25,0,0,0.0,0.0,2022-08-21T13:00:00Z,0,6,0,0,0,0,3,0,19473,0,0,3,0.0,0,-1229,905,2134,40,True,0,2,Leo Fuhr Hjelde,,CHE,1220,1220,,,,2022
0,0,0,0,0.0,891,0.0,0.0,0.0,0.0,34,0,0,0.0,0.0,2022-08-27T14:00:00Z,0,5,0,0,0,0,4,0,20001,0,0,1,0.0,0,-897,979,1876,40,False,0,2,Leo Fuhr Hjelde,,BHA,1140,1200,,,,2022
0,0,0,0,0.0,891,0.0,0.0,0.0,0.0,45,0,0,0.0,0.0,2022-08-30T19:00:00Z,0,8,0,0,0,0,5,0,20014,0,1,1,0.0,0,-1060,522,1582,40,True,0,2,Leo Fuhr Hjelde,,EVE,1100,1090,,,,2022
0,0,0,0,0.0,891,0.0,0.0,0.0,0.0,52,0,0,0.0,0.0,2022-09-03T14:00:00Z,0,4,0,0,0,0,6,0,21958,0,2,5,0.0,0,299,2008,1709,39,False,0,2,Leo Fuhr Hjelde,,BRE,1100,1130,,,,2022
0,0,0,0,0.0,891,0.0,0.0,0.0,0.0,85,0,0,0.0,0.0,2022-10-02T15:30:00Z,0,2,0,0,0,0,9,0,32686,0,0,0,0.0,0,1540,3252,1712,39,True,0,2,Leo Fuhr Hjelde,,AVL,1075,1130,,,,2022
0,0,0,0,0.0,891,0.0,0.0,0.0,0.0,95,0,0,0.0,0.0,2022-10-09T13:00:00Z,0,7,0,0,0,0,10,0,32211,0,1,2,0.0,0,-725,1575,2300,39,False,0,2,Leo Fuhr Hjelde,,CRY,1110,1060,,,,2022
0,0,0,0,0.0,891,0.0,0.0,0.0,0.0,104,0,0,0.0,0.0,2022-10-16T13:00:00Z,0,1,0,0,0,0,11,0,29652,0,1,0,0.0,0,-2408,286,2694,39,True,0,2,Leo Fuhr Hjelde,,ARS,1250,1320,,,,2022
0,0,0,0,0.0,891,0.0,0.0,0.0,0.0,117,0,0,0.0,0.0,2022-10-20T19:15:00Z,0,11,0,0,0,0,12,0,27518,0,0,2,0.0,0,-1610,103,1713,39,False,0,2,Leo Fuhr Hjelde,,LEI,1065,1200,,,,2022
