assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,2,0,0.0,120,0.0,0.0,0.1451910585165023,0.23,101,0,0,0.4,0.2,2023-11-04,12,19,0,0,0,0,11,0,64639,0,2,3,4.0,1,-1105,1532,2637,44,True,0,1,0,0,0.1451910585165023,4,WHU,1140,1150,BRE,1110,1090,2023,0.1451910585165023,,1.82944,9.0,1.82944,1.75505,6.0,1.75505
0,0,7,0,0.5,120,0.01,0.04,0.03,0.1,117,1,0,1.3,7.0,2023-11-12,18,12,0,0,0,0,12,0,62570,0,0,3,5.0,1,-2030,713,2743,44,False,0,0,0,0,0.0,4,LIV,1210,1270,BRE,1055,1150,2023,0.015,,1.44954,8.0,1.44954,1.56004,11.0,1.56004
0,0,5,1,2.1,120,0.0,0.04,0.0884359031915664,0.99,121,0,0,1.3,3.8,2023-11-25,71,1,0,0,0,0,13,0,61322,1,1,0,7.0,3,-1372,845,2217,44,True,0,2,0,0,0.0884359031915664,4,ARS,1370,1360,BRE,1110,1090,2023,0.0884359031915664,,1.66315,4.0,1.66315,1.82699,4.0,1.82699
0,0,14,1,23.8,120,0.02,0.06,0.04,0.04,133,0,0,4.1,10.0,2023-12-02,69,22,0,0,0,0,14,0,62529,1,1,3,7.0,3,849,2159,1310,44,True,0,0,0,0,0.0,4,LUT,1060,1120,BRE,1110,1090,2023,0.02,,3.25952,4.0,3.25952,0.227176,3.0,0.227176
0,0,7,0,2.8,120,0.01,0.01,0.0,0.65,142,1,0,1.2,9.0,2023-12-06,45,5,0,0,0,0,15,0,64046,1,1,2,0.0,1,1406,2478,1072,44,False,0,0,0,0,0.0,4,BHA,1070,1135,BRE,1055,1150,2023,0.0,,1.22007,2.0,0.458899,1.54099,19.0,1.54099
0,0,5,0,1.1,120,0.1006307899951934,0.03,0.0,0.76,158,0,0,2.8,10.0,2023-12-09,45,23,0,0,0,0,16,0,63578,0,0,1,17.0,1,-426,1248,1674,44,False,0,0,2,0,0.0,4,SHU,1045,1020,BRE,1055,1150,2023,0.0,,0.644638,7.0,0.644638,0.841976,6.0,0.841976
0,0,-1,0,0.0,120,0.0,0.0,0.0091162137687206,0.03,163,0,0,0.0,0.0,2023-12-17,2,2,0,0,0,0,17,0,61419,0,2,1,0.0,0,-2023,652,2675,44,True,1,1,0,0,0.0091162137687206,4,AVL,1220,1350,BRE,1110,1090,2023,0.0091162137687206,,0.796812,4.0,0.796812,1.4664,13.0,1.4664
0,0,5,0,4.2,120,0.01,0.01,0.0,1.78,183,3,0,0.8,4.0,2023-12-27,45,20,0,0,0,0,19,0,58503,1,4,1,0.0,1,-957,235,1192,44,True,0,0,0,0,0.0,4,WOL,1105,1100,BRE,1110,1090,2023,0.0,,2.59347,15.0,2.59347,1.89483,7.0,1.89483
0,0,1,0,1.2,120,0.01,0.01,0.0,0.1,192,0,0,0.3,0.0,2023-12-30,10,7,0,0,0,0,20,0,60007,0,1,3,2.0,1,1088,3013,1925,43,False,0,0,0,0,0.0,4,CRY,1080,1060,BRE,1055,1150,2023,0.0,,1.28731,6.0,1.28731,1.61057,13.0,1.61057
0,0,3,0,0.0,120,0.0,0.0,0.0,0.0,203,0,0,0.0,0.0,2024-01-20,1,16,0,0,0,0,21,0,59633,0,2,3,0.0,1,-440,4656,5096,43,True,0,0,0,0,0.0,4,NFO,1125,1080,BRE,1110,1090,2023,0.0,,1.94219,4.0,1.94219,1.22251,9.0,1.22251
0,0,-2,0,2.4,120,0.37,0.37,0.0,0.38,216,0,0,0.1,0.0,2024-01-31,33,18,0,0,0,0,22,0,58313,0,2,3,0.0,0,-1375,986,2361,43,False,1,0,0,0,0.0,4,TOT,1110,1230,BRE,1055,1150,2023,0.0,,1.59637,13.0,1.59637,3.36194,15.0,3.36194
0,0,3,0,0.3,120,0.0,0.0,0.0,0.18,223,0,0,0.1,0.4,2024-02-05,14,13,0,0,0,0,23,0,57848,0,3,1,0.0,1,-558,436,994,43,True,0,0,0,0,0.0,4,MCI,1360,1370,BRE,1110,1090,2023,0.0,,0.865741,3.0,0.865741,2.10785,12.0,2.10785
0,0,3,0,0.3,120,0.0,0.0,0.0,0.11,240,0,0,0.1,0.2,2024-02-10,21,20,0,0,0,0,24,0,57804,0,2,0,0.0,1,-118,1371,1489,43,False,0,0,0,0,0.0,4,WOL,1085,1115,BRE,1055,1150,2023,0.0,,1.84908,3.0,1.84908,1.05781,7.0,1.05781
0,0,0,0,0.0,120,0.0,0.0,0.0,0.0,241,0,0,0.0,0.0,2024-02-17,0,12,0,0,0,0,25,0,64466,0,4,1,0.0,0,3443,5421,1978,43,True,0,0,0,0,0.0,4,LIV,1350,1390,BRE,1110,1090,2023,0.0,,1.69518,10.0,1.69518,3.08952,11.0,3.08952
0,0,0,0,0.0,120,0.0,0.0,0.0,0.0,176,0,0,0.0,0.0,2024-02-20,0,13,0,0,0,0,25,0,64466,0,0,1,0.0,0,3443,5421,1978,43,False,0,0,0,0,0.0,4,MCI,1350,1360,BRE,1055,1150,2023,0.0,,0.503799,1.0,0.503799,2.53766,19.0,2.53766
0,0,0,0,0.0,120,0.0,0.0,0.0,0.0,259,0,0,0.0,0.0,2024-02-26,0,19,0,0,0,0,26,0,62086,0,2,4,0.0,0,127,2406,2279,43,False,0,0,0,0,0.0,4,WHU,1055,1150,BRE,1055,1150,2023,0.0,,1.33683,11.0,1.33683,2.06873,5.0,2.06873
0,0,3,0,0.8,120,0.0,0.0,0.0156277138739824,0.1,261,0,0,0.6,5.2,2024-03-02,3,6,0,0,0,0,27,0,60545,0,2,2,0.0,1,-1019,711,1730,43,True,0,1,0,0,0.0156277138739824,4,CHE,1150,1230,BRE,1110,1090,2023,0.0156277138739824,,2.4732,3.0,2.4732,2.1523,9.0,2.1523
