assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,0,0,0.0,280,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2024-08-17T11:30:00Z,0,False,12,0,0,0,0,1,0,78508,0,2,0,0.0,0,0,0,0,40,True,0,1,Cieran Slicker,10,LIV,1360,1360,IPS,1070,1080,2024,,0.342601,2.0,0.342601,3.92906,13.0,3.92906
0,0,0,0,0.0,280,0.0,0.0,0.0,0.0,17,0,0,0.0,0.0,2024-08-24T14:00:00Z,0,False,13,0,0,0,0,2,0,85579,0,1,4,0.0,0,302,2911,2609,40,False,0,1,Cieran Slicker,10,MCI,1140,1300,IPS,1070,1080,2024,,0.479999,1.0,0.479999,3.07818,15.0,2.31701
0,0,0,0,0.0,280,0.0,0.0,0.0,0.0,25,0,0,0.0,0.0,2024-08-31T14:00:00Z,0,False,9,0,0,0,0,3,0,88886,0,1,1,0.0,0,770,5564,4794,40,True,0,1,Cieran Slicker,10,FUL,1140,1160,IPS,1070,1080,2024,,0.707048,2.0,0.707048,1.18883,4.0,1.18883
0,0,0,0,0.0,280,0.0,0.0,0.0,0.0,33,0,0,0.0,0.0,2024-09-14T14:00:00Z,0,False,5,0,0,0,0,4,0,87491,0,0,0,0.0,0,-2523,3712,6235,40,False,0,1,Cieran Slicker,10,BHA,1080,1140,IPS,1070,1080,2024,,0.721323,1.0,0.721323,1.75696,12.0,1.75696
0,0,0,0,0.0,280,0.0,0.0,0.0,0.0,48,0,0,0.0,0.0,2024-09-21T14:00:00Z,0,False,17,0,0,0,0,5,0,86383,0,1,1,0.0,0,-1599,1482,3081,40,False,0,1,Cieran Slicker,10,SOU,1060,1050,IPS,1070,1080,2024,,1.645,5.0,1.645,2.89813,7.0,2.89813
0,0,0,0,0.0,280,0.0,0.0,0.0,0.0,56,0,0,0.0,0.0,2024-09-29T13:00:00Z,0,False,2,0,0,0,0,6,0,80233,0,2,2,0.0,0,-6523,4460,10983,40,True,0,1,Cieran Slicker,10,AVL,1160,1320,IPS,1070,1080,2024,,1.84608,6.0,1.84608,1.14494,5.0,1.14494
0,0,0,0,0.0,280,0.0,0.0,0.0,0.0,70,0,0,0.0,0.0,2024-10-05T14:00:00Z,0,False,19,0,0,0,0,7,0,79690,0,1,4,0.0,0,-1074,1697,2771,40,False,0,1,Cieran Slicker,10,WHU,1080,1100,IPS,1070,1080,2024,,1.18463,6.0,1.18463,4.39402,6.0,4.39402
0,0,0,0,0.0,280,0.0,0.0,0.0,0.0,73,0,0,0.0,0.0,2024-10-19T14:15:00Z,0,False,8,0,0,0,0,8,0,79919,0,2,0,0.0,0,-203,1855,2058,40,True,0,1,Cieran Slicker,10,EVE,1150,1100,IPS,1070,1080,2024,,1.174,3.0,1.174,1.60804,9.0,1.60804
0,0,0,0,0.0,280,0.0,0.0,0.0,0.0,83,0,0,0.0,0.0,2024-10-26T14:00:00Z,0,False,4,0,0,0,0,9,0,79431,0,3,4,0.0,0,-629,846,1475,40,False,0,1,Cieran Slicker,10,BRE,1070,1090,IPS,1070,1080,2024,,1.65698,6.0,1.65698,4.09663,9.0,3.33546
0,0,0,0,0.0,280,0.0,0.0,0.0,0.0,93,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,False,11,0,0,0,0,10,0,79821,0,1,1,0.0,0,100,1903,1803,40,True,0,1,Cieran Slicker,10,LEI,1080,1110,IPS,1070,1080,2024,,1.33617,4.0,1.33617,2.33858,10.0,2.33858
