assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds
0,0,0,0,0.0,533,13,0,0,0.0,0.0,2020-09-19 14:00:00+00:00,0,8,0,0,0,0,2,0,0,3,4,0.0,0,0,0,0,45,True,0,3,Mateusz Bogusz,10,FUL,1110,1060,LEE,1060,1210,0
0,0,0,0,0.0,533,25,0,0,0.0,0.0,2020-09-27 11:00:00+00:00,0,15,0,0,0,0,3,0,1336,1,0,0.0,0,743,982,239,45,False,0,3,Mateusz Bogusz,10,SHU,1020,1000,LEE,1150,1170,0
0,0,0,0,0.0,533,33,0,0,0.0,0.0,2020-10-03 16:30:00+00:00,0,12,0,0,0,0,4,0,1897,1,1,0.0,0,335,681,346,45,True,0,3,Mateusz Bogusz,10,MCI,1320,1350,LEE,1060,1210,0
0,0,0,0,0.0,533,42,0,0,0.0,0.0,2020-10-19 19:00:00+00:00,0,20,0,0,0,0,5,0,1499,1,0,0.0,0,-400,266,666,45,True,0,3,Mateusz Bogusz,10,WOL,1130,1120,LEE,1060,1210,0
0,0,0,0,0.0,533,50,0,0,0.0,0.0,2020-10-23 19:00:00+00:00,0,2,0,0,0,0,6,0,1299,3,0,0.0,0,-227,72,299,45,False,0,3,Mateusz Bogusz,10,AVL,1120,1080,LEE,1150,1170,0
0,0,0,0,0.0,533,62,0,0,0.0,0.0,2020-11-02 20:00:00+00:00,0,9,0,0,0,0,7,0,1205,4,1,0.0,0,-133,60,193,44,True,0,3,Mateusz Bogusz,10,LEI,1150,1230,LEE,1060,1210,0
0,0,0,0,0.0,533,72,0,0,0.0,0.0,2020-11-07 15:00:00+00:00,0,6,0,0,0,0,8,0,1129,1,4,0.0,0,-81,60,141,44,False,0,3,Mateusz Bogusz,10,CRY,1030,1010,LEE,1150,1170,0
0,0,0,0,0.0,533,82,0,0,0.0,0.0,2020-11-22 16:30:00+00:00,0,1,0,0,0,0,9,0,1066,0,0,0.0,0,-73,59,132,44,True,0,3,Mateusz Bogusz,10,ARS,1150,1210,LEE,1060,1210,0
0,0,0,0,0.0,533,93,0,0,0.0,0.0,2020-11-28 17:30:00+00:00,0,7,0,0,0,0,10,0,1097,1,0,0.0,0,26,148,122,44,False,0,3,Mateusz Bogusz,10,EVE,1130,1200,LEE,1150,1170,0
0,0,0,0,0.0,533,102,0,0,0.0,0.0,2020-12-05 20:00:00+00:00,0,5,0,0,0,0,11,0,1150,1,3,0.0,0,32,174,142,44,False,0,3,Mateusz Bogusz,10,CHE,1260,1250,LEE,1150,1170,0
