iter	Passed	Remaining
0	46	20719
1	47	10468
2	47	7036
3	48	5330
4	48	4297
5	49	3614
6	49	3122
7	50	2755
8	50	2468
9	51	2235
10	51	2045
11	52	1888
12	52	1755
13	53	1640
14	53	1541
15	54	1453
16	54	1376
17	55	1307
18	55	1245
19	56	1190
20	56	1140
21	56	1094
22	57	1052
23	57	1014
24	58	979
25	58	947
26	59	917
27	59	888
28	60	862
29	60	838
30	61	814
31	61	793
32	61	772
33	62	753
34	62	733
35	63	715
36	63	699
37	63	683
38	64	667
39	64	654
40	65	640
41	65	628
42	65	616
43	66	606
44	67	596
45	67	585
46	68	576
47	68	566
48	68	557
49	69	548
50	69	539
51	70	531
52	70	523
53	71	515
54	71	506
55	71	499
56	72	492
57	72	485
58	73	478
59	73	472
60	74	466
61	74	460
62	75	455
63	75	449
64	75	444
65	76	439
66	76	434
67	77	428
68	77	424
69	78	419
70	78	414
71	79	409
72	79	405
73	79	400
74	80	396
75	80	392
76	81	389
77	81	385
78	82	381
79	82	377
80	83	373
81	83	370
82	84	366
83	84	363
84	84	359
85	85	356
86	85	353
87	86	350
88	86	347
89	87	344
90	87	341
91	88	338
92	88	335
93	89	332
94	89	329
95	89	326
96	90	323
97	90	321
98	91	318
99	91	316
100	92	313
101	92	311
102	92	308
103	93	306
104	93	303
105	94	301
106	94	298
107	94	296
108	95	294
109	95	292
110	96	289
111	96	287
112	97	285
113	97	283
114	98	281
115	98	279
116	98	277
117	99	275
118	99	273
119	100	271
120	100	269
121	101	267
122	101	265
123	101	264
124	102	262
125	102	260
126	103	258
127	103	257
128	104	255
129	104	254
130	105	253
131	106	251
132	106	249
133	106	248
134	107	246
135	107	244
136	108	243
137	108	241
138	109	240
139	109	238
140	110	237
141	110	235
142	110	234
143	111	232
144	111	231
145	112	229
146	112	228
147	113	226
148	113	225
149	113	224
150	114	222
151	114	221
152	115	219
153	115	218
154	116	217
155	116	216
156	117	214
157	117	213
158	117	212
159	118	210
160	118	209
161	119	208
162	119	207
163	120	205
164	120	204
165	121	203
166	121	202
167	122	201
168	122	200
169	123	199
170	123	197
171	123	196
172	124	195
173	125	195
174	126	194
175	126	193
176	127	192
177	127	191
178	128	190
179	128	189
180	129	188
181	129	187
182	130	186
183	130	185
184	131	184
185	131	183
186	132	182
187	132	181
188	133	180
189	133	179
190	134	178
191	134	177
192	135	176
193	135	175
194	136	174
195	136	173
196	136	172
197	137	171
198	137	170
199	138	169
200	138	168
201	139	167
202	140	166
203	140	166
204	141	165
205	141	164
206	142	163
207	142	162
208	143	161
209	143	160
210	144	159
211	144	158
212	145	158
213	145	157
214	146	156
215	146	155
216	146	154
217	147	153
218	147	152
219	148	151
220	148	150
221	149	149
222	149	148
223	149	147
224	150	147
225	150	146
226	151	145
227	151	144
228	152	143
229	153	143
230	154	142
231	154	142
232	155	141
233	155	140
234	156	139
235	156	138
236	157	138
237	157	137
238	158	136
239	159	135
240	159	135
241	160	134
242	160	133
243	160	132
244	161	131
245	161	130
246	162	130
247	162	129
248	163	128
249	163	127
250	164	127
251	164	126
252	165	125
253	165	124
254	166	123
255	166	123
256	167	122
257	167	121
258	168	120
259	168	119
260	169	119
261	169	118
262	170	118
263	171	117
264	171	116
265	172	115
266	172	114
267	172	114
268	173	113
269	173	112
270	174	111
271	174	111
272	174	110
273	175	109
274	176	108
275	176	108
276	176	107
277	177	106
278	177	105
279	178	105
280	178	104
281	179	103
282	179	102
283	180	102
284	181	101
285	181	100
286	181	100
287	182	99
288	182	98
289	183	97
290	183	97
291	183	96
292	184	95
293	184	94
294	184	94
295	185	93
296	185	92
297	186	91
298	186	91
299	187	90
300	187	89
301	188	89
302	188	88
303	188	87
304	189	86
305	189	86
306	190	85
307	191	84
308	191	84
309	191	83
310	192	82
311	192	82
312	193	81
313	193	80
314	194	80
315	194	79
316	195	78
317	195	78
318	195	77
319	196	76
320	196	76
321	197	75
322	197	74
323	198	74
324	198	73
325	199	72
326	199	71
327	199	71
328	200	70
329	200	70
330	201	69
331	201	68
332	202	68
333	202	67
334	203	66
335	203	65
336	203	65
337	204	64
338	204	64
339	205	63
340	205	62
341	206	62
342	206	61
343	207	60
344	207	60
345	208	59
346	208	58
347	209	58
348	209	57
349	210	57
350	210	56
351	211	55
352	211	55
353	212	54
354	212	53
355	212	53
356	213	52
357	213	51
358	214	51
359	214	50
360	214	50
361	215	49
362	215	48
363	216	48
364	216	47
365	217	46
366	218	46
367	218	45
368	218	45
369	219	44
370	220	43
371	220	43
372	221	42
373	221	42
374	222	41
375	222	40
376	223	40
377	223	39
378	224	39
379	224	38
380	224	37
381	225	37
382	225	36
383	226	35
384	226	35
385	227	34
386	227	34
387	227	33
388	228	32
389	228	32
390	229	31
391	229	31
392	230	30
393	230	29
394	231	29
395	231	28
396	231	28
397	232	27
398	232	26
399	233	26
400	233	25
401	234	25
402	234	24
403	235	23
404	235	23
405	236	22
406	236	22
407	236	21
408	237	20
409	237	20
410	238	19
411	239	19
412	239	18
413	239	17
414	240	17
415	240	16
416	241	16
417	241	15
418	242	15
419	242	14
420	242	13
421	243	13
422	243	12
423	244	12
424	244	11
425	244	10
426	245	10
427	245	9
428	246	9
429	246	8
430	247	8
431	247	7
432	248	6
433	248	6
434	249	5
435	249	5
436	250	4
437	250	4
438	251	3
439	251	2
440	252	2
441	252	1
442	253	1
443	253	0
444	253	0
