iter	RMSE
331	3.603313961
332	3.602756946
333	3.602756946
334	3.602535814
335	3.602337294
336	3.602063479
337	3.601724001
338	3.601443426
339	3.601131058
340	3.600951051
341	3.600530883
342	3.600290528
343	3.599835085
344	3.599664461
345	3.599540943
346	3.599480328
347	3.599251744
348	3.599070085
349	3.598982532
350	3.598653221
351	3.598011613
352	3.597778374
353	3.597445133
354	3.596930042
355	3.59684656
356	3.596609519
357	3.596594677
358	3.596362744
359	3.596362744
360	3.596078971
361	3.595392455
362	3.595092345
363	3.594806691
364	3.594710481
365	3.59456109
366	3.594298084
367	3.594040015
368	3.593951599
369	3.593144665
370	3.592989582
371	3.592436163
372	3.592435912
373	3.591529641
374	3.591148476
375	3.591148476
376	3.591039954
377	3.590669049
378	3.590329867
379	3.590097248
380	3.589846809
381	3.589782244
382	3.589565874
383	3.58946446
384	3.588855143
385	3.588301205
386	3.588054904
387	3.588012572
388	3.587552639
389	3.587340604
390	3.586926155
391	3.586295861
392	3.585896366
393	3.585729056
394	3.585486824
395	3.585035664
396	3.584673966
397	3.584659388
398	3.58465242
399	3.584262725
400	3.58321367
401	3.582794746
402	3.5823745
403	3.582064382
404	3.581606005
405	3.581229758
406	3.581180297
407	3.58083165
408	3.580493235
409	3.580482477
410	3.580310706
411	3.579966605
412	3.579966605
413	3.579475682
414	3.579346713
415	3.579159631
416	3.579077428
417	3.578830723
418	3.578830723
419	3.578698715
420	3.57843262
421	3.578162221
422	3.577914035
423	3.577663143
424	3.577305168
425	3.577305168
426	3.577133089
427	3.576638603
428	3.576215672
429	3.575947107
430	3.57580456
431	3.575572684
432	3.575372622
433	3.574920631
434	3.574730633
435	3.574199073
436	3.573778184
437	3.573545329
438	3.573348369
439	3.573032114
440	3.572772591
441	3.572593863
442	3.572359855
443	3.572188619
444	3.57194376
