First_Name,Last_Name,Unique_ID,24_id,22_id,23_id,20_id,21_id
Fábio,Ferreira Vieira,1,1,25,4,-1,-1
Gabriel,Fernando de Jesus,2,2,28,8,282,263
Gabriel,dos Santos Magalhães,3,3,16,5,-1,-1
Kai,Havertz,4,4,145,6,500,141
Karl,Hein,5,5,655,646,-1,532
Jurriën,Timber,6,6,-1,585,-1,-1
Jorge Luiz,Frello Filho,7,7,130,9,105,123
Jakub,Kiwior,8,8,710,10,-1,-1
Gabriel,Martinelli Silva,9,9,19,12,-1,-1
Ethan,Nwaneri,12,12,630,772,-1,-1
Martin,Ødegaard,13,13,7,14,645,558
David,Raya Martin,15,15,81,113,-1,80
Declan,Rice,16,16,467,540,448,421
Bukayo,Saka,17,17,13,19,24,22
William,Saliba,18,18,26,20,27,27
Thomas,Partey,20,20,6,15,567,15
Kieran,Tierney,21,21,8,24,17,16
Tomiyasu,Takehiro,22,22,-1,-1,-1,-1
Leandro,Trossard,23,23,111,26,69,64
Benjamin,White,24,24,10,29,-1,-1
Oleksandr,Zinchenko,25,25,313,31,283,264
Norberto,Murara Neto,73,73,574,77,-1,-1
Raheem,Sterling,186,186,304,216,276,255
Riccardo,Calafiori,578,578,-1,-1,-1,-1
Myles,Lewis-Skelly,597,597,-1,764,-1,-1
Mikel,Merino,633,633,-1,-1,-1,-1
Salah-Eddine,Oulad M'hand,638,638,-1,-1,-1,693
Tommy,Setford,639,639,-1,-1,-1,-1
Maldini,Kacurri,657,657,-1,-1,-1,-1
Ayden,Heaven,658,658,-1,-1,-1,-1
Ismeal,Kabia,659,659,-1,-1,-1,-1
Josh,Nichols,662,662,-1,-1,-1,-1
Nathan,Butler-Oyedeji,665,665,685,-1,-1,-1
Leon,Bailey,28,28,45,34,-1,492
Ross,Barkley,29,29,131,630,106,124
Enzo,Barrenechea,30,30,-1,-1,-1,-1
Emiliano,Buendía Stati,31,31,42,35,-1,43
Matty,Cash,32,32,43,36,-1,-1
Leander,Dendoncker,33,33,479,40,464,434
Moussa,Diaby,34,34,-1,599,-1,-1
Diego Carlos,Santos Silva,35,35,50,41,-1,-1
Lucas,Digne,36,36,33,42,155,168
Lewis,Dobbin,37,37,-1,624,-1,607
Jhon,Durán,38,38,711,44,-1,-1
Joe,Gauci,39,39,-1,818,-1,-1
Kortney,Hause,40,40,38,45,39,36
Samuel,Iling-Junior,41,41,-1,-1,-1,-1
Boubacar,Kamara,42,42,53,47,-1,-1
Kaine,Kesler-Hayden,43,43,-1,793,-1,-1
Ezri,Konsa Ngoyo,44,44,44,48,46,45
Ian,Maatsen,45,45,-1,609,-1,-1
Filip,Marschall,46,46,670,670,-1,650
Emiliano,Martínez Romero,47,47,31,49,-1,-1
John,McGinn,48,48,37,50,38,35
Tyrone,Mings,49,49,39,51,41,38
Kosta,Nedeljković,50,50,-1,-1,-1,-1
Robin,Olsen,51,51,35,53,573,691
Pau,Torres,52,52,-1,584,-1,-1
Jacob,Ramsey,53,53,47,55,554,51
Morgan,Rogers,54,54,-1,803,-1,-1
Viljami,Sinisalo,55,55,707,57,-1,596
Lino,da Cruz Sousa,56,56,-1,-1,-1,-1
Youri,Tielemans,57,57,259,58,228,210
Ollie,Watkins,58,58,40,60,514,40
Amadou,Onana,233,233,577,261,-1,-1
Jaden,Philogene,569,569,-1,-1,-1,-1
Lamare,Bogarde,598,598,638,-1,-1,610
Sil,Swinkels,640,640,744,-1,-1,-1
Oliwier,Zych,641,641,745,686,-1,-1
Kadan,Young,656,656,672,865,-1,-1
Max,Aarons,59,59,-1,643,-1,326
Tyler,Adams,60,60,506,673,-1,-1
Jaidon,Anthony,61,61,75,62,-1,-1
David,Brooks,62,62,60,64,-1,-1
Ryan,Christie,63,63,69,65,-1,-1
Lewis,Cook,64,64,67,66,-1,-1
Enes,Ünal,65,65,-1,804,-1,-1
Romain,Faivre,66,66,-1,799,-1,-1
Hamed,Traorè,67,67,723,87,-1,-1
James,Hill,68,68,539,69,-1,-1
Daniel,Jebbison,69,69,-1,483,699,-1
Milos,Kerkez,70,70,-1,595,-1,-1
Justin,Kluivert,71,71,-1,72,-1,-1
Chris,Mepham,72,72,71,75,-1,-1
Dango,Ouattara,74,74,705,78,-1,-1
Alex,Paulsen,75,75,-1,-1,-1,-1
Philip,Billing,76,76,70,63,-1,-1
Alex,Scott,77,77,-1,644,-1,-1
Antoine,Semenyo,78,78,714,82,-1,-1
Marcos,Senesi,79,79,576,83,-1,-1
Luis,Sinisterra,80,80,-1,705,-1,-1
Adam,Smith,81,81,57,84,-1,-1
Marcus,Tavernier,83,83,535,86,-1,-1
Mark,Travers,84,84,72,88,-1,-1
Illia,Zabarnyi,85,85,722,89,-1,-1
Kepa,Arrizabalaga,152,152,133,187,112,129
Dean,Huijsen,580,580,-1,-1,-1,-1
Julián,Araujo Zúñiga,592,592,-1,-1,-1,-1
Will,Dennis,599,599,77,-1,-1,-1
Francisco Evanilson,de Lima Barbosa,617,617,-1,-1,-1,-1
Kristoffer,Ajer,86,86,84,90,-1,483
Ethan,Brierley,87,87,-1,684,-1,-1
Nathan,Collins,88,88,516,96,-1,451
Mikkel,Damsgaard,89,89,580,98,-1,-1
Josh,Dasilva,90,90,83,99,-1,-1
Mark,Flekken,91,91,-1,101,-1,-1
Rico,Henry,92,92,85,103,-1,83
Aaron,Hickey,93,93,510,104,-1,-1
Vitaly,Janelt,94,94,86,105,-1,84
Mathias,Jensen,95,95,88,106,-1,86
Kim,Ji-soo,96,96,-1,-1,-1,-1
Yunus Emre,Konak,97,97,-1,-1,-1,-1
Keane,Lewis-Potter,98,98,515,107,-1,-1
Bryan,Mbeumo,99,99,95,108,-1,96
Ben,Mee,100,100,526,109,88,106
Christian,Nørgaard,101,101,79,110,-1,77
Frank,Onyeka,102,102,93,111,-1,479
Myles,Peart-Harris,103,103,-1,744,-1,662
Ethan,Pinnock,104,104,92,112,-1,91
Mads,Roerslev Rasmussen,105,105,90,114,-1,89
Kevin,Schade,106,106,688,115,-1,-1
Igor Thiago,Nascimento Rodrigues,107,107,-1,-1,-1,-1
Ivan,Toney,108,108,80,117,-1,78
Hákon,Valdimarsson,109,109,-1,789,-1,-1
Yoane,Wissa,110,110,89,119,-1,524
Yehor,Yarmoliuk,111,111,-1,-1,-1,-1
Mathias,Jorgensen,112,112,595,121,-1,594
Fábio,Freitas Gouveia Carvalho,314,314,296,-1,-1,-1
Sepp,van den Berg,338,338,500,312,-1,-1
Ryan,Trevitt,602,602,632,118,-1,-1
Gustavo,Nunes Fernandes Gomes,634,634,-1,-1,-1,-1
Jayden,Meghoma,649,649,-1,-1,-1,-1
Tony,Yogane,661,661,-1,-1,-1,-1
Paris,Maghoma,674,674,-1,-1,-1,614
Simon,Adingra,113,113,-1,122,-1,-1
Benicio,Baker-Boaitey,114,114,-1,742,-1,-1
Carlos,Baleba,115,115,-1,690,-1,-1
Valentín,Barco,116,116,-1,816,-1,-1
Amario,Cozier-Duberry,118,118,668,-1,-1,-1
Mahmoud,Dahoud,119,119,-1,128,-1,-1
Lewis,Dunk,120,120,106,129,62,59
Julio,Enciso,121,121,125,130,-1,-1
Pervis,Estupiñán,122,122,586,131,-1,-1
Evan,Ferguson,123,123,596,132,-1,655
Billy,Gilmour,124,124,149,133,124,145
Pascal,Groß,125,125,104,134,57,55
