First_Name,Last_Name,Unique_ID,24_id,22_id,23_id,20_id,21_id
Tom,King,556,556,-1,564,-1,-1
Joshua,King,836,-1,-1,810,651,468
Yunus,Konak,1579,-1,-1,864,-1,-1
Yunus Emre,Konak,97,97,-1,-1,-1,-1
Roméo,Lavia,174,174,321,667,-1,-1
Romeo,Lavia,1273,-1,-1,-1,-1,605
Emerson Aparecido,Leite de Souza Junior,1318,-1,-1,-1,-1,588
Emerson,Leite de Souza Junior,487,487,445,497,-1,-1
Noha,Lemina,1750,-1,-1,800,-1,-1
Mario,Lemina,557,557,698,565,493,-1
Harry,Lewis,1069,-1,-1,-1,625,637
Jamal,Lewis,408,408,372,420,513,311
Rico,Lewis,355,355,573,358,-1,-1
Valentino,Livramento,790,-1,-1,-1,698,-1
Tino,Livramento,409,409,419,633,-1,491
Shane,Long,1049,-1,-1,-1,361,519
Kevin,Long,751,-1,-1,-1,85,103
Matthew,Longstaff,1014,-1,-1,-1,487,312
Sean,Longstaff,410,410,370,421,480,309
Max,Lowe,1037,-1,-1,484,511,-1
Jamal,Lowe,1404,-1,61,73,-1,-1
Frankie,Maguire,1044,-1,-1,-1,670,-1
Harry,Maguire,377,377,330,387,298,273
Solly,March,132,132,107,140,-1,-1
Solomon,March,729,-1,-1,-1,65,60
David,Martin,1135,-1,-1,-1,429,-1
Josh,Martin,1297,-1,-1,-1,-1,330
Gabriel,Martinelli Silva,9,9,19,12,-1,-1
Gabriel Teodoro,Martinelli Silva,691,-1,-1,-1,26,26
Emiliano,Martínez,700,-1,-1,-1,12,30
Lisandro,Martínez,380,380,533,391,-1,-1
John,McAtee,1656,-1,-1,324,-1,-1
James,McAtee,357,357,317,360,-1,629
James,McCarthy,798,-1,-1,-1,131,-1
Alex,McCarthy,469,469,401,-1,363,334
Thomas,McGill,744,-1,-1,-1,662,688
Tom,McGill,1432,-1,756,141,-1,-1
Callan,McKenna,1573,-1,-1,855,-1,-1
Scott,McKenna,1510,-1,385,455,-1,-1
Dermot,Mee,1695,-1,-1,835,-1,-1
Ben,Mee,100,100,526,109,88,106
Edouard,Mendy,787,-1,147,-1,548,143
Nampalys,Mendy,883,-1,252,-1,518,203
Benjamin,Mendy,950,-1,-1,-1,274,253
Kieffer,Moore,1405,-1,62,76,-1,-1
Mikey,Moore,610,610,-1,860,-1,-1
Kris,Moore,1268,-1,-1,-1,-1,657
Simon,Moore,1023,-1,-1,-1,348,-1
Alexandre,Moreno Lopera,1399,-1,694,32,-1,-1
Álex,Moreno Lopera,26,26,-1,-1,-1,-1
Wes,Morgan,869,-1,-1,-1,216,-1
Jimmy,Morgan,1534,-1,671,-1,-1,-1
Carlton,Morris,1658,-1,-1,326,-1,-1
James,Morris,1360,-1,-1,-1,-1,633
Jacob,Murphy,402,402,365,423,497,304
Alex,Murphy,390,390,-1,634,-1,-1
Reiss,Nelson,10,10,23,578,21,531
Ben,Nelson,616,616,-1,-1,-1,645
Zack,Nelson,1679,-1,-1,734,-1,-1
Ivan,Neves Abreu Cavaleiro,1454,-1,214,269,-1,-1
Ivan Ricardo,Neves Abreu Cavaleiro,856,-1,-1,-1,187,-1
Edward,Nketiah,689,-1,-1,-1,22,20
Eddie,Nketiah,11,11,11,13,-1,-1
Jake,O'Brien,582,582,-1,235,-1,-1
Lewis,O'Brien,439,439,524,458,-1,-1
Tommi,O'Reilly,1207,-1,761,767,-1,713
Nico,O'Reilly,607,607,774,-1,-1,-1
Amadou,Onana,233,233,577,261,-1,-1
André,Onana,383,383,-1,597,-1,-1
Travis,Patterson,1402,-1,755,-1,-1,-1
Nathan,Patterson,234,234,197,262,-1,674
Dion,Pereira,1663,-1,-1,332,-1,-1
Andreas,Pereira,977,-1,-1,-1,304,511
Matheus,Pereira,1120,-1,-1,-1,481,-1
Matt,Phillips,1106,-1,-1,-1,411,-1
Ashley,Phillips,478,478,-1,702,-1,-1
Kalvin,Phillips,359,359,325,364,204,191
Killian,Phillips,1439,-1,604,-1,-1,-1
Nathaniel,Phillips,332,332,501,306,589,241
Euan,Pollock,1419,-1,706,-1,-1,-1
Matthew,Pollock,1352,-1,-1,-1,-1,454
Calvin,Ramsay,1483,-1,298,-1,-1,-1
Kayne,Ramsay,1067,-1,-1,-1,598,-1
Aaron,Ramsey,1203,-1,-1,675,-1,496
Jacob,Ramsey,53,53,47,55,554,51
Omar,Richards,438,438,511,461,-1,-1
Taylor,Richards,1232,-1,121,-1,-1,537
Lewis,Richards,1179,-1,-1,-1,615,-1
Chris,Richards,194,194,530,238,-1,-1
Haydon,Roberts,1233,-1,122,-1,-1,560
Connor,Roberts,1241,-1,-1,176,-1,585
Tyler,Roberts,903,-1,229,-1,206,193
Alex,Robertson,1493,-1,772,-1,-1,-1
Andrew,Robertson,335,335,284,307,255,234
Callum,Robinson,1101,-1,-1,-1,358,-1
Charlie,Robinson,1463,-1,750,-1,-1,-1
Jack,Robinson,1026,-1,-1,576,352,-1
Antonee,Robinson,255,255,217,283,484,-1
Guido,Rodríguez,588,588,-1,-1,-1,-1
James,Rodríguez,831,-1,-1,-1,508,166
Sergio,Romero,965,-1,-1,-1,289,-1
Cristian,Romero,498,498,443,511,-1,494
Mbwana Ally,Samatta,1202,-1,-1,-1,-1,48
Mbwana,Samatta,714,-1,-1,-1,49,-1
Malang,Sarr,176,176,143,214,-1,501
Ismaïla,Sarr,585,585,-1,-1,-1,-1
Pape Matar,Sarr,499,499,450,513,-1,-1
Ismaila,Sarr,1346,-1,-1,-1,-1,399
Zeze Steven,Sessegnon,861,-1,-1,-1,192,-1
Ryan,Sessegnon,579,579,436,514,399,368
George,Shelvey,1529,-1,749,636,-1,-1
Jonjo,Shelvey,996,-1,349,463,321,291
Fabio,Silva,1171,-1,488,-1,504,445
Fábio,Silva,545,545,-1,552,-1,-1
Adrien,Silva,872,-1,-1,-1,220,-1
Lyanco,Silveira Neves Vojnovic,1530,-1,413,-1,-1,-1
Lyanco Evangelista,Silveira Neves Vojnovic,1314,-1,-1,-1,-1,567
Will,Smallbone,471,471,415,-1,-1,-1
William,Smallbone,1059,-1,-1,-1,379,347
Jackson,Smith,1555,-1,557,-1,-1,-1
Matthew,Smith,1393,-1,607,-1,-1,-1
Jordan,Smith,1524,-1,675,-1,-1,-1
Adam,Smith,81,81,57,84,-1,-1
Dale,Stephens,747,-1,-1,-1,55,102
Jack,Stephens,472,472,404,-1,367,338
Finley,Stevens,1224,-1,-1,-1,-1,569
Enda,Stevens,1022,-1,-1,-1,347,-1
Jordan,Stevens,909,-1,-1,-1,212,-1
Fin,Stevens,1425,-1,540,-1,-1,-1
Davinson,Sánchez,1087,-1,435,512,398,367
Robert,Sánchez,185,185,113,145,597,69
Fabio Henrique,Tavares,933,-1,282,296,253,232
Sidnei,Tavares,888,-1,-1,-1,676,-1
André Filipe,Tavares Gomes,823,-1,-1,-1,158,172
André,Tavares Gomes,1445,-1,184,244,-1,-1
Dale,Taylor,1523,-1,666,-1,-1,-1
Neil,Taylor,703,-1,-1,-1,31,-1
Lyle,Taylor,1505,-1,380,-1,-1,-1
Jack,Taylor,281,281,-1,-1,-1,-1
Charlie,Taylor,475,475,-1,178,97,113
Caleb,Taylor,1130,-1,-1,-1,700,-1
Joe,Taylor,1667,-1,-1,336,-1,-1
Alex Nicolao,Telles,987,-1,-1,-1,568,279
Alex,Telles,1495,-1,334,370,-1,-1
Bobby,Thomas,763,-1,-1,179,520,534
Luke,Thomas,305,305,270,693,240,219
Max,Thompson,768,-1,-1,-1,591,-1
Dominic,Thompson,1221,-1,98,-1,-1,498
Pau,Torres,52,52,-1,584,-1,-1
Ferran,Torres,956,-1,-1,-1,287,268
Conor,Townsend,583,583,-1,-1,418,-1
Andros,Townsend,803,-1,179,727,137,482
Bénie,Traoré,1720,-1,-1,593,-1,-1
Boubacar,Traoré,534,534,629,574,-1,-1
Adama,Traoré,239,239,-1,662,465,435
Bertrand,Traoré,719,-1,34,59,540,32
