First_Name,Last_Name,Unique_ID,24_id,23_id,22_id
Jefferson,Lerma Solís,206,206,231,64
Jean-Philippe,Mateta,207,207,232,168
Matheus,França de Oliveira,208,208,615,-1
Remi,Matthews,209,209,233,495
Tyrick,Mitchell,210,210,234,170
Daniel,Muñoz,211,211,792,-1
David,Ozoh,212,212,721,676
Jesurun,Rak-Sakyi,213,213,657,172
Jeffrey,Schlupp,214,214,240,161
Joel,Ward,215,215,242,156
Adam,Wharton,216,216,807,-1
Matt,Turner,445,445,28,24
Ismaïla,Sarr,585,585,-1,-1
Franco,Umeh-Chibueze,644,644,821,-1
Justin,Devenny,645,645,-1,-1
Asher,Agbinone,646,646,-1,-1
Kaden,Rodney,647,647,825,601
Maxence,Lacroix,650,650,-1,-1
Caleb,Kporha,666,666,-1,-1
Zach,Marsh,676,676,-1,-1
Armando,Broja,156,156,193,150
Abdoulaye,Doucouré,217,217,249,185
Norberto Bercique,Gomes Betuncal,218,218,691,-1
Jarrad,Branthwaite,219,219,245,196
Dominic,Calvert-Lewin,220,220,246,191
Séamus,Coleman,221,221,-1,-1
Idrissa,Gueye,222,222,254,611
James,Garner,223,223,250,570
Jack,Harrison,224,224,661,233
Mason,Holgate,225,225,255,192
Tim,Iroegbunam,226,226,46,49
João,Neves Virgínia,227,227,266,-1
Michael,Keane,228,228,257,180
Neal,Maupay,229,229,258,110
Dwight,McNeil,230,230,259,534
Vitalii,Mykolenko,231,231,260,194
Iliman,Ndiaye,232,232,486,-1
Nathan,Patterson,234,234,262,197
Jordan,Pickford,235,235,263,182
James,Tarkowski,236,236,265,199
Youssef,Ramalho Chermiti,237,237,645,-1
Ashley,Young,238,238,588,538
Jesper,Lindstrøm,577,577,-1,-1
Jake,O'Brien,582,582,235,-1
Harrison,Armstrong,603,603,-1,-1
Jenson,Metcalfe,614,614,760,-1
Asmir,Begovic,624,624,-1,-1
Roman,Dixon,627,627,-1,-1
Orel,Mangala,651,651,453,536
Callum,Bates,678,678,-1,-1
Martin,Sherif,724,724,-1,-1
Reiss,Nelson,10,10,578,23
Emile,Smith Rowe,19,19,22,12
Joachim,Andersen,191,191,220,165
Adama,Traoré,239,239,662,-1
Andreas,Hoelgebaum Pereira,240,240,267,346
Calvin,Bassey,241,241,610,-1
Steven,Benda,242,242,692,-1
Tom,Cairney,243,243,268,200
Timothy,Castagne,244,244,688,258
Issa,Diop,245,245,271,470
Luke,Harris,246,246,683,546
Alex,Iwobi,247,247,256,186
Bernd,Leno,248,248,275,2
Saša,Lukić,249,249,276,-1
Kevin,Mbabu,250,250,277,532
Rodrigo,Muniz Carvalho,251,251,279,218
Raúl,Jiménez,252,252,558,476
Tim,Ream,253,253,281,201
Harrison,Reed,254,254,282,211
Antonee,Robinson,255,255,283,217
Jay,Stansfield,256,256,651,219
Kenny,Tete,257,257,285,215
Carlos Vinícius,Alves Morais,258,258,287,618
Harry,Wilson,259,259,288,212
Ryan,Sessegnon,579,579,514,436
Jorge,Cuenca Barreno,586,586,-1,-1
Josh,King,604,604,-1,-1
Martial,Godo,605,605,-1,641
Sander,Berge,622,622,475,-1
Samuel,Amissah,690,690,-1,-1
Ali,Al-Hamadi,260,260,-1,-1
Elkan,Baggott,261,261,-1,-1
Nathan,Broadhead,262,262,-1,-1
Cameron,Burgess,263,263,-1,-1
Wes,Burns,264,264,-1,-1
Conor,Chaplin,265,265,-1,-1
Harry,Clarke,266,266,-1,-1
Leif,Davis,267,267,-1,-1
Liam,Delap,268,268,-1,323
George,Edmundson,269,269,-1,-1
