First_Name,Last_Name,Unique_ID,24_id,23_id,22_id,Understat_ID,Full_Name
Mykhailo,Mudryk,179,179,210,699,11305,Mykhailo Mudryk
Nicolas,Jackson,180,180,211,-1,10048,Nicolas Jackson
Christopher,Nkunku,181,181,212,-1,3300,Christopher Nkunku
Cole,Palmer,182,182,362,316,8497,Cole Palmer
Đorđe,Petrović,183,183,687,-1,12032,Đorđe Petrović
Renato,Palma Veiga,184,184,-1,-1,11383,Renato Palma Veiga
Robert,Sánchez,185,185,145,113,9098,Robert Sánchez
Tosin,Adarabioyo,187,187,286,209,5590,Tosin Adarabioyo
Wesley,Fofana,189,189,201,272,7589,Wesley Fofana
Jadon,Sancho,386,386,397,340,6345,Jadon Sancho
Pedro,Lomba Neto,560,560,567,486,6382,Pedro Lomba Neto
Caleb,Wiley,575,575,-1,-1,,Caleb Wiley
Filip,Jørgensen,581,581,-1,-1,9272,Filip Jørgensen
João,Félix Sequeira,621,621,-1,690,7892,João Félix Sequeira
Samuel,Rak-Sakyi,695,695,-1,-1,,Samuel Rak-Sakyi
Tyrique,George,696,696,851,-1,,Tyrique George
Josh,Acheampong,697,697,838,-1,12535,Josh Acheampong
Eddie,Nketiah,11,11,13,11,6482,Eddie Nketiah
Naouirou,Ahamada,190,190,219,725,9274,Naouirou Ahamada
Cheick,Doucouré,193,193,223,514,8666,Cheick Doucouré
Chris,Richards,194,194,238,530,8430,Chris Richards
Chadi,Riad Dnanou,195,195,-1,-1,11167,Chadi Riad Dnanou
Nathaniel,Clyne,196,196,222,157,603,Nathaniel Clyne
Malcolm,Ebiowei,197,197,224,173,10698,Malcolm Ebiowei
Eberechi,Eze,199,199,226,169,8706,Eberechi Eze
Marc,Guéhi,200,200,228,167,7603,Marc Guéhi
Dean,Henderson,201,201,385,398,7702,Dean Henderson
Rob,Holding,202,202,7,5,1749,Rob Holding
Will,Hughes,203,203,229,163,6104,Will Hughes
Daichi,Kamada,205,205,-1,-1,6145,Daichi Kamada
Jefferson,Lerma Solís,206,206,231,64,2182,Jefferson Lerma Solís
Jean-Philippe,Mateta,207,207,232,168,5735,Jean-Philippe Mateta
Matheus,França de Oliveira,208,208,615,-1,12152,Matheus França de Oliveira
Remi,Matthews,209,209,233,495,9834,Remi Matthews
Tyrick,Mitchell,210,210,234,170,8214,Tyrick Mitchell
Daniel,Muñoz,211,211,792,-1,12408,Daniel Muñoz
David,Ozoh,212,212,721,676,11268,David Ozoh
Jesurun,Rak-Sakyi,213,213,657,172,9461,Jesurun Rak-Sakyi
Jeffrey,Schlupp,214,214,240,161,757,Jeffrey Schlupp
Joel,Ward,215,215,242,156,510,Joel Ward
Adam,Wharton,216,216,807,-1,12409,Adam Wharton
Matt,Turner,445,445,28,24,10700,Matt Turner
Ismaïla,Sarr,585,585,-1,-1,5675,Ismaïla Sarr
Franco,Umeh-Chibueze,644,644,821,-1,,Franco Umeh-Chibueze
Justin,Devenny,645,645,-1,-1,13038,Justin Devenny
Asher,Agbinone,646,646,-1,-1,13039,Asher Agbinone
Kaden,Rodney,647,647,825,601,,Kaden Rodney
Maxence,Lacroix,650,650,-1,-1,8853,Maxence Lacroix
Caleb,Kporha,666,666,-1,-1,13130,Caleb Kporha
Zach,Marsh,676,676,-1,-1,,Zach Marsh
Armando,Broja,156,156,193,150,8384,Armando Broja
Abdoulaye,Doucouré,217,217,249,185,1726,Abdoulaye Doucouré
Norberto Bercique,Gomes Betuncal,218,218,691,-1,9983,Norberto Bercique Gomes Betuncal
Jarrad,Branthwaite,219,219,245,196,8476,Jarrad Branthwaite
Dominic,Calvert-Lewin,220,220,246,191,5555,Dominic Calvert-Lewin
Séamus,Coleman,221,221,247,178,585,Séamus Coleman
Idrissa,Gueye,222,222,254,611,668,Idrissa Gueye
James,Garner,223,223,250,570,7438,James Garner
Jack,Harrison,224,224,661,233,8720,Jack Harrison
Mason,Holgate,225,225,255,192,985,Mason Holgate
Tim,Iroegbunam,226,226,46,49,9554,Tim Iroegbunam
João,Neves Virgínia,227,227,266,-1,,João Neves Virgínia
Michael,Keane,228,228,257,180,1653,Michael Keane
Neal,Maupay,229,229,258,110,3621,Neal Maupay
Dwight,McNeil,230,230,259,534,6756,Dwight McNeil
Vitalii,Mykolenko,231,231,260,194,10291,Vitalii Mykolenko
Iliman,Ndiaye,232,232,486,-1,9307,Iliman Ndiaye
Nathan,Patterson,234,234,262,197,10292,Nathan Patterson
Jordan,Pickford,235,235,263,182,741,Jordan Pickford
James,Tarkowski,236,236,265,199,1665,James Tarkowski
Youssef,Ramalho Chermiti,237,237,645,-1,11984,Youssef Ramalho Chermiti
Ashley,Young,238,238,588,538,631,Ashley Young
Jesper,Lindstrøm,577,577,-1,-1,9752,Jesper Lindstrøm
Jake,O'Brien,582,582,235,-1,12014,Jake O'Brien
Harrison,Armstrong,603,603,-1,-1,12757,Harrison Armstrong
Jenson,Metcalfe,614,614,760,-1,,Jenson Metcalfe
Asmir,Begovic,624,624,-1,176,694,Asmir Begovic
Roman,Dixon,627,627,-1,-1,12946,Roman Dixon
Orel,Mangala,651,651,453,536,6088,Orel Mangala
Callum,Bates,678,678,-1,-1,,Callum Bates
Martin,Sherif,724,724,-1,-1,,Martin Sherif
Reiss,Nelson,10,10,578,23,6492,Reiss Nelson
Emile,Smith Rowe,19,19,22,12,7230,Emile Smith Rowe
Joachim,Andersen,191,191,220,165,6314,Joachim Andersen
Adama,Traoré,239,239,662,491,900,Adama Traoré
Andreas,Hoelgebaum Pereira,240,240,267,346,922,Andreas Hoelgebaum Pereira
Calvin,Bassey,241,241,610,-1,11728,Calvin Bassey
Steven,Benda,242,242,692,-1,,Steven Benda
Tom,Cairney,243,243,268,200,6835,Tom Cairney
Timothy,Castagne,244,244,688,258,6157,Timothy Castagne
Issa,Diop,245,245,271,470,3203,Issa Diop
Luke,Harris,246,246,683,546,10719,Luke Harris
Alex,Iwobi,247,247,256,186,500,Alex Iwobi
Bernd,Leno,248,248,275,2,181,Bernd Leno
Saša,Lukić,249,249,276,726,1537,Saša Lukić
Kevin,Mbabu,250,250,277,532,983,Kevin Mbabu
Rodrigo,Muniz Carvalho,251,251,279,218,10717,Rodrigo Muniz Carvalho
Raúl,Jiménez,252,252,558,476,4105,Raúl Jiménez
Tim,Ream,253,253,281,201,7184,Tim Ream
Harrison,Reed,254,254,282,211,910,Harrison Reed
Antonee,Robinson,255,255,283,217,8940,Antonee Robinson
