assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,687,0.0,0.0,0.0,0.0,35,0,0,0.0,0.0,2023-09-02 14:00:00+00:00,0,16,0,0,0,0,4,0,612,0,1,0,0.0,0,279,331,52,45,True,0,7,NFO,1125,1080,CHE,1080,1170,1,2023
0,0,0,0,0.0,687,0.0,0.0,0.0,0.0,42,0,0,0.0,0.0,2023-09-17 13:00:00+00:00,0,3,0,0,0,0,5,0,1883,0,0,0,0.0,0,284,451,167,45,False,0,7,BOU,1055,1145,CHE,1150,1230,1,2023
0,0,0,0,0.0,687,0.0,0.0,0.0,0.0,55,0,0,0.0,0.0,2023-09-24 13:00:00+00:00,0,2,0,0,0,0,6,0,2110,0,1,0,0.0,0,-36,163,199,45,True,0,7,AVL,1220,1350,CHE,1080,1170,1,2023
0,0,0,0,0.0,687,0.0,0.0,0.0,0.0,64,0,0,0.0,0.0,2023-10-02 19:00:00+00:00,0,10,0,0,0,0,7,0,2363,0,2,0,0.0,0,-73,139,212,45,False,0,7,FUL,1050,1060,CHE,1150,1230,1,2023
0,0,0,0,0.0,687,0.0,0.0,0.0,0.0,73,0,0,0.0,0.0,2023-10-07 14:00:00+00:00,0,6,0,0,0,0,8,0,2644,0,4,1,0.0,0,-28,163,191,45,False,0,7,BUR,1050,1040,CHE,1150,1230,1,2023
0,0,0,0,0.0,687,0.0,0.0,0.0,0.0,84,0,0,0.0,0.0,2023-10-21 16:30:00+00:00,0,1,0,0,0,0,9,0,2935,0,2,2,0.0,0,-94,112,206,45,True,0,7,ARS,1370,1360,CHE,1080,1170,1,2023
0,0,0,0,0.0,687,0.0,0.0,0.0,0.0,95,0,0,0.0,0.0,2023-10-28 11:30:00+00:00,0,4,0,0,0,0,10,0,3146,0,2,0,0.0,0,8,159,151,45,True,0,7,BRE,1055,1150,CHE,1080,1170,1,2023
0,0,0,0,0.0,687,0.0,0.0,0.0,0.0,110,0,0,0.0,0.0,2023-11-06 20:00:00+00:00,0,18,0,0,0,0,11,0,3313,0,4,1,0.0,0,-32,137,169,45,False,0,7,TOT,1110,1230,CHE,1150,1230,1,2023
0,0,0,0,0.0,687,0.0,0.0,0.0,0.0,115,0,0,0.0,0.0,2023-11-12 16:30:00+00:00,0,13,0,0,0,0,12,0,3430,0,4,4,0.0,0,-73,88,161,45,True,0,7,MCI,1360,1370,CHE,1080,1170,1,2023
0,0,0,0,0.0,687,0.0,0.0,0.0,0.0,127,0,0,0.0,0.0,2023-11-25 15:00:00+00:00,0,15,0,0,0,0,13,0,3666,0,1,4,0.0,0,-32,154,186,45,False,0,7,NEW,1050,1160,CHE,1150,1230,1,2023
0,0,0,0,0.0,687,0.0,0.0,0.0,0.0,135,0,0,0.0,0.0,2023-12-03 14:00:00+00:00,0,5,0,0,0,0,14,0,3781,0,2,3,0.0,0,-33,90,123,45,True,0,7,BHA,1180,1240,CHE,1080,1170,1,2023
0,0,0,0,0.0,687,0.0,0.0,0.0,0.0,150,0,0,0.0,0.0,2023-12-06 20:15:00+00:00,0,14,0,0,0,0,15,0,3905,0,1,2,0.0,0,-1,104,105,45,False,0,7,MUN,1130,1120,CHE,1150,1230,1,2023
0,0,3,0,0.0,687,0.0,0.0,0.0,0.08,154,1,0,0.1,0.8,2023-12-10 14:00:00+00:00,6,9,0,0,0,0,16,0,4095,0,0,2,0.0,1,51,191,140,45,False,0,7,EVE,1125,1065,CHE,1150,1230,1,2023
0,0,20,1,0.0,687,0.0,0.0,0.0,0.37,165,0,0,0.7,7.4,2023-12-16 15:00:00+00:00,90,17,0,0,0,0,17,1,20392,1,0,2,0.0,6,13877,14397,520,45,True,0,7,SHU,1020,1060,CHE,1080,1170,1,2023
0,0,16,0,0.0,687,0.0,0.0,0.0,1.31,180,2,0,2.4,23.8,2023-12-24 13:00:00+00:00,90,20,0,0,0,0,18,4,62380,1,1,2,0.0,2,41183,43822,2639,45,False,0,7,WOL,1085,1115,CHE,1150,1230,1,2023
0,0,20,0,0.0,687,0.0,0.0,0.0,1.08,186,1,0,3.4,34.0,2023-12-27 19:30:00+00:00,90,8,0,0,0,0,19,4,83658,1,1,2,0.0,3,21993,24195,2202,45,True,0,7,CRY,1120,1085,CHE,1080,1170,1,2023
0,0,18,0,0.0,687,0.0,0.0,0.0,2.53,195,2,0,3.4,34.2,2023-12-30 12:30:00+00:00,90,12,0,0,0,0,20,4,100862,1,3,2,0.0,2,16498,21504,5006,45,False,0,7,LUT,1020,1090,CHE,1150,1230,1,2023
0,3,28,1,0.0,687,0.0,0.0,0.0,0.86,206,0,0,3.1,30.6,2024-01-13 12:30:00+00:00,90,10,0,0,0,0,21,4,105999,1,0,1,0.0,10,2829,21670,18841,45,True,0,7,FUL,1180,1170,CHE,1080,1170,1,2023
0,0,27,0,0.0,687,0.0,0.0,0.0,2.93,219,4,0,5.7,57.0,2024-01-31 20:15:00+00:00,90,11,0,0,0,0,22,9,119257,1,1,4,0.0,3,11035,20605,9570,45,False,0,7,LIV,1210,1270,CHE,1150,1230,1,2023
0,0,16,0,0.0,687,0.0,0.0,0.0,1.93,226,4,0,3.3,32.8,2024-02-04 14:00:00+00:00,90,20,0,0,0,0,23,4,128359,1,4,2,0.0,1,8371,12097,3726,45,True,0,7,WOL,1105,1100,CHE,1080,1170,1,2023
0,0,18,0,0.0,687,0.0,0.0,0.0,0.55,232,1,0,2.3,23.4,2024-02-12 20:00:00+00:00,90,8,0,0,0,0,24,3,130714,1,3,1,0.0,3,1341,10762,9421,45,False,0,7,CRY,1080,1060,CHE,1150,1230,1,2023
0,0,14,0,0.0,687,0.0,0.0,0.0,2.91,246,1,0,3.4,34.0,2024-02-17 17:30:00+00:00,90,13,0,0,0,0,25,4,116373,1,1,1,0.0,2,-11361,4490,15851,45,False,1,7,MCI,1350,1360,CHE,1150,1230,1,2023
0,0,16,0,0.0,687,0.0,0.0,0.0,1.83,261,2,0,2.0,19.8,2024-03-02 15:00:00+00:00,90,4,0,0,0,0,27,3,119465,1,2,2,0.0,2,2705,7931,5226,45,False,0,7,BRE,1110,1090,CHE,1150,1230,1,2023
0,0,7,0,0.0,687,0.0,0.0,0.0,0.8,275,2,0,1.1,10.6,2024-03-11 20:00:00+00:00,90,15,0,0,0,0,28,1,117754,1,2,3,0.0,0,-2281,5820,8101,45,True,1,7,NEW,1210,1355,CHE,1080,1170,1,2023
0,0,11,0,0.0,687,0.0,0.0,0.0,1.58,294,2,0,2.2,22.4,2024-03-30 15:00:00+00:00,90,6,0,0,0,0,30,4,223338,1,2,2,0.0,2,104034,117054,13020,45,True,0,7,BUR,1050,1050,CHE,1080,1170,1,2023
0,0,17,0,0.0,687,0.0,0.0,0.0,1.57,307,3,0,1.2,11.8,2024-04-04 19:15:00+00:00,90,14,0,0,0,0,31,2,243352,1,3,4,0.0,1,20009,32156,12147,46,True,0,7,MUN,1210,1230,CHE,1080,1170,1,2023
0,0,17,0,0.0,687,0.0,0.0,0.0,1.36,318,2,0,2.5,24.8,2024-04-07 16:30:00+00:00,90,17,0,0,0,0,32,3,270405,1,2,2,0.0,2,25815,30910,5095,46,False,0,7,SHU,1045,1020,CHE,1150,1230,1,2023
0,0,26,1,0.0,687,0.0,0.0,0.0,1.41,325,0,0,2.4,23.8,2024-04-15 19:00:00+00:00,90,9,0,0,0,0,33,2,274295,1,0,6,0.0,6,3292,14356,11064,46,True,0,7,EVE,1125,1080,CHE,1080,1170,1,2023
0,0,23,0,0.0,687,0.0,0.0,0.0,3.37,281,5,0,4.4,43.6,2024-04-23 19:00:00+00:00,90,1,0,0,0,0,34,6,224144,1,0,5,0.0,2,513,16077,15564,46,False,0,7,ARS,1370,1330,CHE,1150,1230,1,2023
0,0,14,0,0.0,687,0.0,0.0,0.0,0.87,341,2,0,2.7,27.2,2024-04-27 19:00:00+00:00,90,2,0,0,0,0,35,3,514605,1,2,2,0.0,2,232272,264125,31853,46,False,0,7,AVL,1140,1180,CHE,1150,1230,1,2023
0,2,28,1,0.0,687,0.0,0.0,0.0,1.54,255,0,0,2.6,25.8,2024-05-02 18:30:00+00:00,90,18,0,0,0,0,35,4,514605,1,0,2,0.0,9,232272,264125,31853,46,True,0,7,TOT,1150,1310,CHE,1080,1170,1,2023
0,0,31,1,0.0,687,0.0,0.0,0.0,1.04,355,0,0,1.3,13.4,2024-05-05 13:00:00+00:00,90,19,0,0,0,0,36,2,593526,1,0,5,0.0,6,82945,92078,9133,46,True,0,7,WHU,1140,1150,CHE,1080,1170,1,2023
0,0,12,0,0.0,687,0.0,0.0,0.0,1.62,367,2,0,1.8,17.8,2024-05-11 16:30:00+00:00,90,16,0,0,0,0,37,2,936843,1,3,2,0.0,1,298263,309808,11545,47,False,0,7,NFO,1050,1080,CHE,1150,1230,1,2023
0,0,14,0,0.0,687,0.0,0.0,0.0,1.24,332,1,0,1.0,10.4,2024-05-15 18:45:00+00:00,90,5,0,0,0,0,37,1,936843,1,2,1,0.0,2,298263,309808,11545,47,False,0,7,BHA,1070,1135,CHE,1150,1230,1,2023
0,0,18,0,0.0,687,0.0,0.0,0.0,2.15,375,1,0,3.8,38.4,2024-05-19 15:00:00+00:00,90,3,0,0,0,0,38,5,911462,1,1,2,0.0,3,22145,46910,24765,47,True,0,7,BOU,1130,1075,CHE,1080,1170,1,2023
