id,first_name,second_name,position,value,team_id,penalties_order
5,Karl,Hein,GK,40,1,
15,David,Raya Martin,GK,56,1,
73,Norberto,Murara Neto,GK,42,1,
639,Tommy,Setford,GK,45,1,
39,Joe,Gauci,GK,40,2,
46,Filip,Marschall,GK,40,2,
47,Emiliano,Martínez Romero,GK,50,2,
51,Robin,Olsen,GK,45,2,
55,Viljami,Sinisalo,GK,40,2,
641,Oliwier,Zych,GK,40,2,
75,Alex,Paulsen,GK,40,3,
84,Mark,Travers,GK,44,3,
152,Kepa,Arrizabalaga,GK,45,3,
599,Will,Dennis,GK,40,3,
91,Mark,Flekken,GK,45,4,
109,Hákon,Valdimarsson,GK,39,4,
142,Jason,Steele,GK,42,5,
146,Bart,Verbruggen,GK,45,5,
615,Carl,Rushworth,GK,40,5,
668,Killian,Cahill,GK,39,5,
154,Lucas,Bergström,GK,39,6,
155,Marcus,Bettinelli,GK,39,6,
183,Đorđe,Petrović,GK,44,6,
185,Robert,Sánchez,GK,48,6,
581,Filip,Jørgensen,GK,42,6,
201,Dean,Henderson,GK,44,7,
209,Remi,Matthews,GK,39,7,
445,Matt,Turner,GK,40,7,
227,João,Neves Virgínia,GK,39,8,
235,Jordan,Pickford,GK,49,8,
624,Asmir,Begovic,GK,40,8,
242,Steven,Benda,GK,40,9,
248,Bernd,Leno,GK,50,9,
280,Cieran,Slicker,GK,40,10,
283,Christian,Walton,GK,43,10,
568,Arijanet,Muric,GK,44,10,
293,Mads,Hermansen,GK,45,11,
294,Daniel,Iversen,GK,39,11,
304,Jakub,Stolarczyk,GK,40,11,
308,Danny,Ward,GK,40,11,
310,Alisson,Ramses Becker,GK,54,12,
325,Caoimhin,Kelleher,GK,45,12,
660,Vítezslav,Jaros,GK,40,12,
669,Harvey,Davies,GK,40,12,
344,Scott,Carson,GK,40,13,
347,Ederson,Santana de Moraes,GK,54,13,
358,Stefan,Ortega Moreno,GK,52,13,
367,Altay,Bayindir,GK,43,14,
374,Tom,Heaton,GK,40,14,
383,André,Onana,GK,52,14,
396,Martin,Dúbravka,GK,42,15,
412,Odysseas,Vlachodimos,GK,43,15,
413,Nick,Pope,GK,49,15,
414,John,Ruddy,GK,40,15,
427,Carlos Miguel,dos Santos Pereira,GK,42,16,
443,Matz,Sels,GK,47,16,
14,Aaron,Ramsdale,GK,44,17,
454,Gavin,Bazunu,GK,43,17,
465,Mateusz,Lis,GK,40,17,
466,Joe,Lumley,GK,40,17,
469,Alex,McCarthy,GK,43,17,
479,Brandon,Austin,GK,40,18,
488,Fraser,Forster,GK,43,18,
508,Guglielmo,Vicario,GK,49,18,
510,Alfie,Whiteman,GK,40,18,
513,Alphonse,Areola,GK,42,19,
521,Łukasz,Fabiański,GK,41,19,
522,Wes,Foderingham,GK,43,19,
204,Sam,Johnstone,GK,43,20,
536,Daniel,Bentley,GK,40,20,
554,José,Malheiro de Sá,GK,43,20,
556,Tom,King,GK,40,20,
