id,first_name,second_name,position,value,team_id,penalties_order,rolling_saves_3,rolling_expected_goals_conceded_3,rolling_total_points_3,rolling_minutes_3,rolling_bps_3,rolling_saves_5,rolling_expected_goals_conceded_5,rolling_total_points_5,rolling_minutes_5,rolling_bps_5,rolling_saves_8,rolling_expected_goals_conceded_8,rolling_total_points_8,rolling_minutes_8,rolling_bps_8,rolling_saves_12,rolling_expected_goals_conceded_12,rolling_total_points_12,rolling_minutes_12,rolling_bps_12,avg_yellow_cards,avg_penalties_saved,pred_minutes
185,Robert,Sánchez,GK,48,6,,1.0,0.7533333333333333,2.6666666666666665,60.0,9.333333333333334,1.6,1.046,2.6,72.0,9.0,2.5,1.2425000000000002,2.5,78.75,10.25,3.3333333333333335,1.1766666666666667,4.083333333333333,82.5,15.333333333333334,0.23076923076923078,0.07692307692307693,90.0
581,Filip,Jørgensen,GK,42,6,,1.0,0.52,1.0,30.0,3.3333333333333335,0.6,0.312,0.6,18.0,2.0,0.375,0.195,0.375,11.25,1.25,0.25,0.13,0.25,7.5,0.8333333333333334,0.0,0.0,90.0
201,Dean,Henderson,GK,44,7,,1.6666666666666667,1.2133333333333332,5.333333333333333,90.0,15.333333333333334,2.8,1.4,4.0,90.0,12.8,3.125,1.3425,4.25,90.0,14.375,3.3333333333333335,1.4024999999999999,4.083333333333333,90.0,14.166666666666666,0.07142857142857142,0.07142857142857142,90.0
209,Remi,Matthews,GK,40,7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
445,Matt,Turner,GK,40,7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,João,Neves Virgínia,GK,40,8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,Jordan,Pickford,GK,49,8,,1.6666666666666667,0.8699999999999998,4.0,90.0,16.333333333333332,2.4,0.836,5.0,90.0,17.6,2.375,1.0925,6.0,90.0,20.5,2.5833333333333335,1.2241666666666668,4.666666666666667,90.0,16.0,0.07142857142857142,0.07142857142857142,90.0
624,Asmir,Begovic,GK,40,8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,Steven,Benda,GK,40,9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,Bernd,Leno,GK,50,9,,1.6666666666666667,1.1033333333333335,1.3333333333333333,90.0,4.333333333333333,2.0,1.084,3.0,90.0,11.6,2.75,1.1825,3.125,90.0,12.125,2.6666666666666665,1.0841666666666667,3.0833333333333335,90.0,12.833333333333334,0.14285714285714285,0.0,90.0
