assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,team_xG_rolling_4,team_deep_rolling_4,team_xGA_rolling_4,team_deep_allowed_rolling_4,team_xG_rolling_16,team_deep_rolling_16,team_xGA_rolling_16,team_deep_allowed_rolling_16,opponent_xG_rolling_4,opponent_deep_rolling_4,opponent_xGA_rolling_4,opponent_deep_allowed_rolling_4,opponent_xG_rolling_16,opponent_deep_rolling_16,opponent_xGA_rolling_16,opponent_deep_allowed_rolling_16,season,position
0,0,10,0,3.1,129,0.59,0.71,0.12,1.45,4,1,0,2.4,6.0,2023-08-12T14:00:00Z,90,22,0,0,0,0,1,0,360947,1,1,4,15.0,2,0,0,0,50,True,0,5,LUT,1060,1120,BHA,1070,1135,1.58842575,8.25,2.36635725,8.75,2.243189375,9.5625,1.4550360625,7.125,1.6144362,7.4,2.3053948,10.0,1.6144362,7.4,2.3053948,10.0,2023,DEF
0,0,16,0,0.8,129,0.0,0.0,0.0,2.06,20,1,0,1.8,16.8,2023-08-19T14:00:00Z,90,20,0,0,0,0,2,0,409437,1,4,1,0.0,2,-1953,27306,29259,50,False,0,5,WOL,1085,1115,BHA,1180,1240,2.5319225000000003,12.0,1.80944475,6.25,2.29741125,10.0625,1.5572795,7.25,0.91713725,6.25,2.6416175,12.5,0.9091878125,4.75,1.9591534375,8.8125,2023,DEF
0,0,15,0,17.9,129,0.07,0.24,0.17,3.33,24,3,0,7.6,22.0,2023-08-26T16:30:00Z,90,19,0,0,0,0,3,0,396760,1,3,1,36.0,1,-23762,22701,46463,50,True,0,5,WHU,1140,1150,BHA,1070,1135,2.7172825,10.0,2.2655825000000003,7.25,2.40002,10.3125,1.6879965,7.0625,1.6615254999999998,8.5,1.4488420000000002,8.5,1.39874075,4.5625,1.95232875,9.75,2023,DEF
0,0,14,0,12.4,129,0.02,0.03,0.01,1.3,33,1,0,3.3,12.8,2023-09-02T16:30:00Z,90,15,0,0,0,0,4,0,380390,1,1,3,8.0,2,-23207,15287,38494,50,True,0,5,NEW,1210,1355,BHA,1070,1135,2.5321425,14.25,2.5213250000000005,6.75,2.4491183125,11.4375,1.79663275,7.0625,1.9296485,6.0,1.39666025,9.25,2.4057075,9.8125,1.1131417,5.75,2023,DEF
0,0,17,0,0.3,129,0.01,0.01,0.0,0.96,45,1,0,1.8,18.0,2023-09-16T14:00:00Z,90,14,0,0,0,0,5,0,383682,1,3,1,0.0,2,-8219,20600,28819,50,False,0,5,MUN,1130,1120,BHA,1180,1240,2.554995,15.75,2.1079025,6.25,2.2930608125,11.3125,1.7732552499999998,7.25,2.10276225,11.25,1.782851,10.0,2.24298975,12.625,1.5270466875000002,6.8125,2023,DEF
0,0,12,0,0.7,129,0.01,0.29,0.28,1.37,53,1,0,3.8,22.6,2023-09-24T13:00:00Z,90,3,0,0,0,0,6,0,373577,1,1,3,15.0,1,-14079,22140,36219,50,True,1,5,BOU,1130,1075,BHA,1070,1135,1.947895,12.5,1.8164052500000003,6.25,2.2496333125000003,10.75,1.7461759375,7.125,1.3263905000000002,7.0,2.4960625000000003,15.75,1.340460125,7.0625,1.755989875,10.1875,2023,DEF
0,0,11,0,3.9,129,0.16,0.16,0.0,1.58,61,6,0,2.9,23.4,2023-09-30T11:30:00Z,90,2,0,0,0,0,7,0,358030,1,1,6,2.0,-2,-17719,13748,31467,50,False,1,5,AVL,1140,1180,BHA,1180,1240,1.6953225,11.0,1.5418127500000005,5.75,2.2914983125,10.625,1.80840725,6.9375,1.72559575,8.0,1.4190262499999995,8.5,1.640489375,7.8125,1.2254154375,5.9375,2023,DEF
0,1,27,0,15.1,129,0.06,0.85,0.79,2.49,72,2,1,10.9,52.6,2023-10-08T13:00:00Z,90,12,0,0,0,0,8,0,344242,1,2,2,41.0,8,-15319,10822,26141,50,True,0,5,LIV,1350,1390,BHA,1070,1135,1.783795,8.0,1.28050275,7.75,2.2419433125,10.625,1.898666625,7.5,2.706,12.0,1.2203364999999995,7.75,2.2943055625,11.375,1.1476495625,5.375,2023,DEF
0,0,20,0,1.1,129,0.02,0.02,0.0,0.75,86,2,0,2.2,20.6,2023-10-21T14:00:00Z,90,13,0,0,0,0,9,0,368227,1,1,2,0.0,1,17530,29657,12127,50,False,0,5,MCI,1350,1360,BHA,1180,1240,2.0111175,6.75,1.6818852500000003,9.75,2.2357701875,9.9375,1.903156,8.0625,1.83228025,10.75,0.671321,4.5,2.0211706875,11.3125,0.8024622499999999,4.375,2023,DEF
0,0,12,0,1.8,129,0.02,0.1,0.08,0.71,94,1,0,3.1,28.2,2023-10-29T14:00:00Z,90,9,0,0,0,0,10,0,397161,1,1,1,1.0,2,25770,40835,15065,50,True,0,5,FUL,1180,1170,BHA,1070,1135,1.7672807499999998,6.75,1.74252475,10.25,2.070709125,9.4375,1.92556375,8.3125,1.11100475,7.5,1.06100225,6.0,1.1630473124999998,6.6875,1.8349641875,8.3125,2023,DEF
