id,first_name,second_name,position
163,Marc,Cucurella Saseta,DEF
769,César,Azpilicueta,DEF
770,Thiago,Emiliano da Silva,DEF
771,Marcos,Alonso,DEF
29,Ross,Barkley,MID
772,Mateo,Kovacic,MID
152,Kepa,Arrizabalaga,GK
773,N'Golo,Kanté,MID
774,Hakim,Ziyech,MID
775,Ruben,Loftus-Cheek,MID
509,Timo,Werner,FWD
776,Robert Kenedy,Nunes do Nascimento,DEF
160,Ben,Chilwell,DEF
777,Christian,Pulisic,MID
159,Trevoh,Chalobah,DEF
382,Mason,Mount,MID
176,Malang,Sarr,DEF
434,Callum,Hudson-Odoi,MID
4,Kai,Havertz,FWD
172,Reece,James,DEF
778,Edouard,Mendy,GK
169,Conor,Gallagher,MID
156,Armando,Broja,FWD
779,Ethan,Ampadu,DEF
189,Wesley,Fofana,DEF
186,Raheem,Sterling,MID
780,Kalidou,Koulibaly,DEF
781,Harvey,Vale,MID
782,Denis,Zakaria,MID
783,Pierre-Emerick,Aubameyang,FWD
155,Marcus,Bettinelli,GK
274,Omari,Giraud-Hutchinson,MID
399,Lewis,Hall,MID
785,Bashir,Humphreys,DEF
164,David Datro,Fofana,FWD
153,Benoît,Badiashile,DEF
621,João,Félix Sequeira,FWD
179,Mykhailo,Mudryk,MID
150,Andrey,Nascimento dos Santos,MID
177,Noni,Madueke,MID
168,Enzo,Fernández,MID
786,Ethan,Wady,GK
170,Alfie,Gilchrist,DEF
787,Albert,Sambi Lokonga,MID
788,Vicente,Guaita,GK
789,James,Tomkins,DEF
790,James,McArthur,MID
791,Christian,Benteke,FWD
215,Joel,Ward,DEF
196,Nathaniel,Clyne,DEF
792,Luka,Milivojevic,MID
192,Jordan,Ayew,MID
793,Wilfried,Zaha,MID
214,Jeffrey,Schlupp,MID
203,Will,Hughes,MID
794,Jairo,Riedewald,MID
191,Joachim,Andersen,DEF
198,Odsonne,Edouard,FWD
200,Marc,Guéhi,DEF
207,Jean-Philippe,Mateta,FWD
199,Eberechi,Eze,MID
210,Tyrick,Mitchell,DEF
795,Michael,Olise,MID
213,Jesurun,Rak-Sakyi,MID
197,Malcolm,Ebiowei,MID
796,Nathan,Ferguson,DEF
204,Sam,Johnstone,GK
209,Remi,Matthews,GK
797,Luke,Plange,FWD
193,Cheick,Doucouré,MID
194,Chris,Richards,DEF
798,Joseph,Whitworth,GK
647,Kaden,Rodney,MID
799,Killian,Phillips,MID
800,John-Kymani,Gordon,FWD
801,Kofi,Balmer,DEF
802,Owen,Goodman,GK
803,Jack,Wells-Morrison,MID
212,David,Ozoh,MID
190,Naouirou,Ahamada,MID
804,Tayo,Adaramola,DEF
229,Neal,Maupay,FWD
624,Asmir,Begovic,GK
806,Salomón,Rondón,FWD
221,Séamus,Coleman,DEF
808,Andros,Townsend,MID
228,Michael,Keane,DEF
809,Dele,Alli,MID
235,Jordan,Pickford,GK
810,Allan,Marques Loureiro,MID
811,André,Tavares Gomes,MID
217,Abdoulaye,Doucouré,MID
247,Alex,Iwobi,MID
812,Jean-Philippe,Gbamin,MID
813,Yerry,Mina,DEF
814,Demarai,Gray,MID
815,Tom,Davies,MID
220,Dominic,Calvert-Lewin,FWD
225,Mason,Holgate,DEF
816,Ben,Godfrey,DEF
231,Vitalii,Mykolenko,DEF
219,Jarrad,Branthwaite,DEF
234,Nathan,Patterson,DEF
817,Niels,Nkounkou,DEF
236,James,Tarkowski,DEF
288,Conor,Coady,DEF
818,Rúben,Nascimento Vinagre,DEF
230,Dwight,McNeil,MID
819,Stanley,Mills,MID
820,Lewis,Warrington,MID
223,James,Garner,MID
233,Amadou,Onana,MID
821,Reece,Welch,DEF
222,Idrissa,Gueye,MID
822,Eldin,Jakupovic,GK
823,Kyle,John,DEF
286,Tom,Cannon,FWD
825,Isaac,Price,MID
826,Ellis,Simms,FWD
827,Ishé,Samuels-Smith,DEF
828,Andy,Lonergan,GK
829,Sean,McAllister,MID
830,Cédric,Alves Soares,DEF
248,Bernd,Leno,GK
831,Shane,Duffy,DEF
243,Tom,Cairney,MID
253,Tim,Ream,DEF
832,Anthony,Knockaert,MID
833,Nathaniel,Chalobah,MID
834,Neeskens,Kebano,MID
290,Bobby,De Cordova-Reid,MID
835,Joe,Bryan,DEF
836,Paulo,Gazzaniga Farias,GK
837,Terence,Kongolo,DEF
187,Tosin,Adarabioyo,DEF
838,Aleksandar,Mitrović,FWD
254,Harrison,Reed,MID
259,Harry,Wilson,MID
839,Marek,Rodák,GK
840,Ivan,Neves Abreu Cavaleiro,MID
257,Kenny,Tete,DEF
841,Josh,Onomah,MID
255,Antonee,Robinson,DEF
251,Rodrigo,Muniz Carvalho,FWD
256,Jay,Stansfield,FWD
842,João,Palhinha Gonçalves,MID
843,Daniel,James,MID
240,Andreas,Hoelgebaum Pereira,MID
245,Issa,Diop,DEF
844,Tyrese,Francois,MID
250,Kevin,Mbabu,DEF
246,Luke,Harris,MID
502,Manor,Solomon,MID
845,Terry,Ablade,FWD
846,Layvin,Kurzawa,DEF
847,Willian,Borges da Silva,MID
258,Carlos Vinícius,Alves Morais,FWD
848,Stefan,Parkes,DEF
605,Martial,Godo,MID
849,Kristian,Sekularac,MID
249,Saša,Lukić,MID
851,George,Wickens,GK
852,Charlie,Robinson,DEF
853,Matthew,Dibley-Dias,MID
854,Kasper,Schmeichel,GK
371,Jonny,Evans,DEF
855,Ryan,Bertrand,DEF
856,Marc,Albrighton,MID
857,Nampalys,Mendy,MID
307,Jannik,Vestergaard,DEF
308,Danny,Ward,GK
306,Jamie,Vardy,FWD
302,Ricardo,Barbosa Pereira,DEF
858,Daniel,Amartey,DEF
244,Timothy,Castagne,DEF
57,Youri,Tielemans,MID
859,Ayoze,Pérez,MID
494,James,Maddison,MID
860,Kelechi,Iheanacho,FWD
287,Hamza,Choudhury,MID
392,Harvey,Barnes,MID
300,Wilfred,Ndidi,MID
166,Kiernan,Dewsbury-Hall,MID
861,Çaglar,Söyüncü,DEF
295,James,Justin,DEF
285,Boubakary,Soumaré,MID
305,Luke,Thomas,DEF
289,Patson,Daka,FWD
862,Lewis,Brunt,DEF
294,Daniel,Iversen,GK
863,Dennis,Praet,MID
864,Alex,Smithies,GK
291,Wout,Faes,DEF
865,Sammy,Braybrooke,MID
866,Joe,Wormleighton,DEF
299,Kasey,McAteer,MID
296,Victor,Kristiansen,DEF
867,Mateus,Cardoso Lemos Martins,MID
303,Harry,Souttar,DEF
297,Wanya,Marçal-Madivádua,MID
869,Liam,Cooper,DEF
870,Luke,Ayling,DEF
871,Mateusz,Klich,MID
872,Adam,Forshaw,MID
873,Rodrigo,Moreno,MID
874,Stuart,Dallas,DEF
875,Patrick,Bamford,FWD
876,Diego,Llorente,DEF
877,Tyler,Roberts,MID
878,Robin,Koch,DEF
879,Raphael,Dias Belloli,MID
224,Jack,Harrison,MID
880,Jamie,Shackleton,MID
881,Pascal,Struijk,DEF
882,Kristoffer,Klaesson,GK
883,Sam,Greenwood,FWD
884,Illan,Meslier,GK
885,Junior,Firpo Adames,DEF
587,Crysencio,Summerville,MID
886,Lewis,Bate,MID
887,Joe,Gelhardt,FWD
888,Leo Fuhr,Hjelde,DEF
889,Rasmus,Kristensen,DEF
890,Marc,Roca Junqué,MID
891,Brenden,Aaronson,MID
892,Darko,Gyabi,MID
60,Tyler,Adams,MID
80,Luis,Sinisterra,MID
894,Cody,Drameh,DEF
489,Archie,Gray,MID
895,Joel,Robles,GK
896,Wilfried,Gnonto,FWD
897,Mateo Joseph,Fernández,FWD
898,Sonny,Perkins,FWD
899,Maximilian,Wöber,DEF
618,Georginio,Rutter,FWD
900,Weston,McKennie,MID
901,Jeremiah,Chilokoa-Mullen,DEF
902,Diogo,Pinheiro Monteiro,DEF
134,James,Milner,MID
903,Jordan,Henderson,MID
904,Joel,Matip,DEF
905,Thiago,Alcántara do Nascimento,MID
906,Alex,Oxlade-Chamberlain,MID
907,Roberto,Firmino,FWD
339,Virgil,van Dijk,DEF
310,Alisson,Ramses Becker,GK
908,Fabio Henrique,Tavares,MID
328,Mohamed,Salah,MID
335,Andrew,Robertson,DEF
311,Trent,Alexander-Arnold,DEF
322,Joe,Gomez,DEF
910,Naby,Keita,MID
317,Diogo,Teixeira da Silva,FWD
325,Caoimhin,Kelleher,GK
326,Ibrahima,Konaté,DEF
324,Curtis,Jones,MID
337,Konstantinos,Tsimikas,DEF
327,Luis,Díaz,MID
319,Harvey,Elliott,MID
314,Fábio,Freitas Gouveia Carvalho,MID
316,Darwin,Núñez Ribeiro,FWD
911,Calvin,Ramsay,DEF
912,Adrián,San Miguel del Castillo,GK
334,Rhys,Williams,DEF
338,Sepp,van den Berg,DEF
332,Nathaniel,Phillips,DEF
913,Luke,Chambers,DEF
312,Stefan,Bajčetić Maquieira,MID
315,Bobby,Clark,MID
669,Harvey,Davies,GK
915,Arthur Henrique,Ramos de Oliveira Melo,MID
318,Ben,Doak,MID
321,Cody,Gakpo,MID
363,Kyle,Walker,DEF
625,Ilkay,Gündogan,MID
345,Kevin,De Bruyne,MID
362,John,Stones,DEF
916,Riyad,Mahrez,MID
349,Jack,Grealish,MID
353,João,Cavaco Cancelo,DEF
347,Ederson,Santana de Moraes,GK
341,Nathan,Aké,DEF
918,Aymeric,Laporte,DEF
919,Zack,Steffen,GK
342,Bernardo,Veiga de Carvalho e Silva,MID
361,Rúben,Gato Alves Dias,DEF
348,Phil,Foden,MID
360,Rodrigo 'Rodri',Hernandez,MID
182,Cole,Palmer,MID
357,James,McAtee,MID
351,Erling,Haaland,FWD
