Unique_ID,Full_Name,23_id,Understat_ID
5,Karl Hein,646,
39,Joe Gauci,818,
43,Kaine Kesler-Hayden,793,9409.0
46,Filip Marschall,670,
55,Viljami Sinisalo,57,
641,Oliwier Zych,686,
656,Kadan Young,865,
680,Max Kinsey,802,
87,Ethan Brierley,684,
97,Yunus Emre Konak,864,
111,Yehor Yarmoliuk,120,11772.0
705,Benjamin Arthur,834,
128,Igor Julio dos Santos de Paulo,606,7943.0
129,João Pedro Junqueira de Jesus,135,8272.0
130,Kacper Kozłowski,137,
150,Andrey Nascimento dos Santos,186,11808.0
151,Ângelo Gabriel Borges Damaceno,589,5613.0
154,Lucas Bergström,659,
155,Marcus Bettinelli,192,
165,Deivid Washington de Souza Eugênio,677,12033.0
175,Romelu Lukaku Bolingoli,207,
183,Đorđe Petrović,687,12032.0
696,Tyrique George,851,
208,Matheus França de Oliveira,615,12152.0
644,Franco Umeh-Chibueze,821,
647,Kaden Rodney,825,
218,Norberto Bercique Gomes Betuncal,691,9983.0
227,João Neves Virgínia,266,
237,Youssef Ramalho Chermiti,645,11984.0
614,Jenson Metcalfe,760,
242,Steven Benda,692,
251,Rodrigo Muniz Carvalho,279,10717.0
320,Endo Wataru,668,8808.0
688,Treymaurice Nyoni,743,
692,Amara Nallo,837,
344,Scott Carson,347,
346,Jérémy Doku,678,8981.0
350,Joško Gvardiol,616,9790.0
626,Issa Kaboré,602,9619.0
671,Jacob Wright,814,
364,Amad Diallo,371,8127.0
367,Altay Bayindir,695,
374,Tom Heaton,384,
670,Harry Amass,846,
400,Isaac Hayden,413,
406,Garang Kuol,418,
412,Odysseas Vlachodimos,710,375.0
426,Josh Bowler,440,
436,Murillo Santiago Costa dos Santos,696,12123.0
438,Omar Richards,461,
441,Jonathan Panzo,460,
442,Ibrahim Sangaré,713,5722.0
446,Hwang Ui-jo,466,
188,Lesley Ugochukwu,613,9451.0
478,Ashley Phillips,702,
486,Radu Drăgușin,777,9105.0
505,Destiny Udogie,519,8831.0
510,Alfie Whiteman,521,
511,Edson Álvarez Velázquez,642,11926.0
677,Ollie Scarles,784,
701,Lewis Orford,773,
552,Ki-Jana Hoever,556,
556,Tom King,564,
737,Reuell Walters,736,
738,Mauro Bandeira,815,
752,James Wright,778,
755,Tommi O'Reilly,767,
767,Darren Randolph,80,
771,Michael Dacosta Gonzalez,849,
774,Ben Greenwood,619,
785,Ellery Balcombe,91,
789,Matthew Cox,97,
798,Kjell Scherpen,147,
802,Tom McGill,141,
813,Ethan Ampadu,185,
819,Bashir Humphreys,671,
831,Luke Plange,237,
834,John-Kymani Gordon,658,
838,Tayo Adaramola,763,
860,Ishé Samuels-Smith,819,
861,Andy Lonergan,579,
865,Anthony Knockaert,273,
870,Terence Kongolo,274,
873,Ivan Neves Abreu Cavaleiro,269,
882,Kristian Sekularac,796,
886,Matthew Dibley-Dias,652,
945,Adrián San Miguel del Castillo,289,
946,Luke Chambers,726,
974,Shola Shoretire,399,
975,Rhys Bennett,768,
989,Harrison Ashby,404,
991,Mark Gillespie,411,
993,Harry Arter,435,
1001,Mohamed Dräger,444,
1004,Richie Laryea,452,
1005,Loïc Mbe Soh,454,
1006,Braian Ojeda Rodríguez,459,
1022,George Shelvey,636,
1063,Yago de Santiago Alonso,754,
1077,Joseph Anang,647,
1083,Matija Šarkić,571,
1092,Harvey Griffiths,787,
1094,Folarin Balogun,1,
1095,Rúnar Alex Rúnarsson,18,
1096,Charles Sagoe,735,
1097,Bradley Ibrahim,737,
1098,James Sweet,817,
1099,Wesley Moraes Ferreira da Silva,61,
1100,Nicolò Zaniolo,672,6686.0
1101,Sam Proctor,765,
1103,Lander Emery,866,
1104,Gavin Kilkenny,71,
1105,Ionuț Radu,607,1830.0
1106,Callan McKenna,855,
1108,Ji-Soo Kim,725,
1109,Valintino Adedokun,733,
1110,Vincent Angelini,752,
1111,Benjamin Fredrick,797,6817.0
1113,Aaron Connolly,127,
1114,Michał Karbownik,136,
1115,Andi Zeqiri,155,
1116,Anssumane Fati Vieira,700,7967.0
1117,Ben Jackson,746,
1118,Joshua Duffus,747,
1119,Leigh Kavanagh,753,
1120,Luca Barrington,755,
1121,Samy Chouchane,843,
1122,Noël Atom,861,
1123,Enock Agyei,156,
1124,Ameen Al-Dakhil,157,11669.0
1125,Samuel Bastien,158,
1126,Manuel Benson Hedilazio,159,11702.0
1127,Jordan Beyer,160,6557.0
1129,Darko Churlinov,162,
1131,Dara Costelloe,164,
1133,CJ Egan-Riley,166,
1136,Denis Franchi,169,
1137,Jóhann Berg Gudmundsson,170,1663.0
1138,Luke McNally,171,
1140,Bailey Peacock-Farrell,175,
1143,Bobby Thomas,179,
1144,Scott Twine,180,
1145,Lawrence Vigouroux,181,
1146,Victor da Silva,182,
1152,Owen Dodgson,622,
1158,Maxime Esteve,806,9487.0
1159,Abdul Rahman Baba,190,
1160,Gabriel Słonina,215,5613.0
1162,Eddie Beach,680,
1163,Diego Manuel Jadon da Silva Moreira,681,
1164,Ronnie Stutter,717,
1166,Josh Brooking,723,
1167,Leo Castledine,758,
1168,Ollie Harrison,820,
1170,Teddy Sharman-Lowe,847,
1171,Kiano Dyer,852,
1172,Ted Curd,858,
1173,Zak Sturge,859,
1175,Ademola Ola-Adebomi,720,
1176,Jadan Raymond,724,
1177,Roshaun Mathurin,842,
1180,Mackenzie Hunt,719,
1181,Elijah Campbell,761,
1182,Billy Crellin,863,
1183,Luc De Fougerolles,625,
1184,Fodé Ballo-Touré,707,
1185,Devan Tanton,732,
1188,Callum Scanlon,728,
1189,Marcelo de Araújo Pitaluga Filho,756,
1192,Lewis Koumas,812,
1193,Fabian Mrozek,813,
1195,Mads Juel Andersen,315,11715.0
1199,Allan Campbell,319,
1202,Luke Freeman,322,
1203,Matt Macey,323,
1204,John McAtee,324,
1205,Carlos Mendes Gomes,325,
1207,Admiral Muskwe,327,
1210,Aribim Pepple,331,
1211,Dion Pereira,332,
1212,Dan Potts,333,
1213,Glen Rea,334,
1215,Joe Taylor,336,
1216,Elliot Thorpe,337,
1217,Jack Walton,338,
1218,Louie Watson,339,
1221,Ryan Giles,553,7277.0
1227,Aidan Francis-Clarke,648,
1228,Tim Krul,665,
1230,Jayden Luker,729,
1233,Axel Piesold,831,
1234,Dominic Dos Santos Martins,839,
1235,Christian Chigozie,844,
1236,Taylan Harris,848,
1237,Mahamadou Susoho,762,
1238,Micah Hamilton,771,
1239,Álvaro Fernández Carreras,380,
1241,Radek Vítek,669,
1244,Joe Hugill,748,
1246,Habeeb Ogunneye,833,
1247,Dermot Mee,835,
1248,Louis Jackson,856,
1249,Kell Watts,431,
1253,Travis Hernes,795,
1254,Brandon Aguilera Zamora,434,12034.0
1255,Ethan Horvath,449,
1257,Josh Powell,637,
1260,Jamie McDonnell,779,
1261,Detlef Esapa Osong,780,
1262,Joe Gardner,781,
1264,Rodrigo Duarte Ribeiro,809,
1266,Anel Ahmedhodžić,471,10386.0
1267,Jordan Amissah,472,
1272,Ismaila Coulibaly,478,
1273,Adam Davies,479,
1282,Anis Slimane,587,11730.0
1285,Vini de Souza Costa,638,10872.0
1286,Femi Seriki,653,
1287,Louie Marsh,654,
1292,Jili Buyabu,731,
1296,Billy Blacker,822,
1298,Dovydas Sasnauskas,827,
1300,Owen Hampson,857,
1301,Tanguy Ndombélé Alvaro,505,
1304,Tyrese Hall,862,
1305,Nikola Vlašić,543,
1307,Callum Marshall,785,
1308,Bendegúz Bolla,547,
1309,Bruno Cavaco Jordão,561,
1310,Matthew Whittingham,749,
1311,Justin Hubner,751,
1312,Owen Hesketh,769,
1313,Ty Barnett,770,
1314,Noha Lemina,800,
1315,Wesley Okoduwa,832,
1316,Fletcher Holman,840,
1317,Temple Ojinnaka,853,
