Unique_ID,Full_Name,24_id,Understat_ID
154,Lucas Bergström,154,-1
155,Marcus Bettinelli,155,-1
157,Moisés Caicedo Corozo,157,9453
158,Cesare Casadei,158,10433
160,Ben Chilwell,160,782
161,Carney Chukwuemeka,161,9356
162,Levi Colwill,162,10805
163,Marc Cucurella Saseta,163,7134
164,David Datro Fofana,164,11295
165,Deivid Washington de Souza Eugênio,165,12033
166,Kiernan Dewsbury-Hall,166,9739
167,Axel Disasi,167,6885
168,Enzo Fernández,168,11356
169,Conor Gallagher,169,9040
170,Alfie Gilchrist,170,11595
171,Malo Gusto,171,9017
172,Reece James,172,8067
173,Omari Kellyman,173,11739
174,Roméo Lavia,174,10004
175,Romelu Lukaku Bolingoli,175,-1
176,Malang Sarr,176,-1
177,Noni Madueke,177,11357
178,Marc Guiu Paz,178,11633
179,Mykhailo Mudryk,179,11305
180,Nicolas Jackson,180,10048
181,Christopher Nkunku,181,3300
182,Cole Palmer,182,8497
183,Đorđe Petrović,183,12032
184,Renato Palma Veiga,184,11383
185,Robert Sánchez,185,9098
187,Tosin Adarabioyo,187,5590
189,Wesley Fofana,189,7589
386,Jadon Sancho,386,6345
560,Pedro Lomba Neto,560,1297
575,Caleb Wiley,575,-1
581,Filip Jørgensen,581,9272
621,João Félix Sequeira,621,7892
11,Eddie Nketiah,11,6482
159,Trevoh Chalobah,159,6615
190,Naouirou Ahamada,190,9274
193,Cheick Doucouré,193,8666
194,Chris Richards,194,8430
195,Chadi Riad Dnanou,195,11167
196,Nathaniel Clyne,196,603
197,Malcolm Ebiowei,197,10698
199,Eberechi Eze,199,8706
200,Marc Guéhi,200,7603
201,Dean Henderson,201,7702
202,Rob Holding,202,1749
203,Will Hughes,203,6104
205,Daichi Kamada,205,6145
206,Jefferson Lerma Solís,206,2182
207,Jean-Philippe Mateta,207,5735
208,Matheus França de Oliveira,208,12152
209,Remi Matthews,209,9834
210,Tyrick Mitchell,210,8214
211,Daniel Muñoz,211,12408
212,David Ozoh,212,11268
213,Jesurun Rak-Sakyi,213,9461
214,Jeffrey Schlupp,214,757
215,Joel Ward,215,510
216,Adam Wharton,216,12409
445,Matt Turner,445,10700
585,Ismaïla Sarr,585,5675
644,Franco Umeh-Chibueze,644,-1
645,Justin Devenny,645,13038
646,Asher Agbinone,646,13039
647,Kaden Rodney,647,-1
650,Maxence Lacroix,650,8853
666,Caleb Kporha,666,13130
676,Zach Marsh,676,-1
156,Armando Broja,156,8384
217,Abdoulaye Doucouré,217,1726
218,Norberto Bercique Gomes Betuncal,218,9983
219,Jarrad Branthwaite,219,8476
220,Dominic Calvert-Lewin,220,5555
221,Séamus Coleman,221,585
222,Idrissa Gueye,222,668
223,James Garner,223,7438
224,Jack Harrison,224,8720
225,Mason Holgate,225,985
226,Tim Iroegbunam,226,9554
227,João Neves Virgínia,227,-1
228,Michael Keane,228,1653
229,Neal Maupay,229,3621
230,Dwight McNeil,230,6756
231,Vitalii Mykolenko,231,10291
232,Iliman Ndiaye,232,9307
234,Nathan Patterson,234,10292
235,Jordan Pickford,235,741
236,James Tarkowski,236,1665
237,Youssef Ramalho Chermiti,237,11984
238,Ashley Young,238,631
577,Jesper Lindstrøm,577,9752
582,Jake O'Brien,582,12014
603,Harrison Armstrong,603,12757
614,Jenson Metcalfe,614,-1
624,Asmir Begovic,624,-1
627,Roman Dixon,627,12946
651,Orel Mangala,651,6088
678,Callum Bates,678,-1
10,Reiss Nelson,10,6492
19,Emile Smith Rowe,19,7230
191,Joachim Andersen,191,6314
239,Adama Traoré,239,900
240,Andreas Hoelgebaum Pereira,240,922
241,Calvin Bassey,241,11728
242,Steven Benda,242,-1
243,Tom Cairney,243,6835
244,Timothy Castagne,244,6157
245,Issa Diop,245,3203
246,Luke Harris,246,10719
247,Alex Iwobi,247,500
248,Bernd Leno,248,181
249,Saša Lukić,249,1537
250,Kevin Mbabu,250,983
251,Rodrigo Muniz Carvalho,251,10717
252,Raúl Jiménez,252,4105
253,Tim Ream,253,7184
254,Harrison Reed,254,910
255,Antonee Robinson,255,8940
256,Jay Stansfield,256,10718
257,Kenny Tete,257,5973
258,Carlos Vinícius Alves Morais,258,7395
259,Harry Wilson,259,5596
579,Ryan Sessegnon,579,6837
586,Jorge Cuenca Barreno,586,8489
604,Josh King,604,12410
