assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,Full_Name,Unique_ID,shots,key_passes,npg,npxG,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,team_xG_rolling_3,team_deep_rolling_3,team_xGA_rolling_3,team_deep_allowed_rolling_3,team_xG_rolling_4,team_deep_rolling_4,team_xGA_rolling_4,team_deep_allowed_rolling_4,team_xG_rolling_5,team_deep_rolling_5,team_xGA_rolling_5,team_deep_allowed_rolling_5,team_xG_rolling_13,team_deep_rolling_13,team_xGA_rolling_13,team_deep_allowed_rolling_13,team_xG_rolling_16,team_deep_rolling_16,team_xGA_rolling_16,team_deep_allowed_rolling_16,team_xG_rolling_20,team_deep_rolling_20,team_xGA_rolling_20,team_deep_allowed_rolling_20,opponent_xG_rolling_3,opponent_deep_rolling_3,opponent_xGA_rolling_3,opponent_deep_allowed_rolling_3,opponent_xG_rolling_4,opponent_deep_rolling_4,opponent_xGA_rolling_4,opponent_deep_allowed_rolling_4,opponent_xG_rolling_5,opponent_deep_rolling_5,opponent_xGA_rolling_5,opponent_deep_allowed_rolling_5,opponent_xG_rolling_13,opponent_deep_rolling_13,opponent_xGA_rolling_13,opponent_deep_allowed_rolling_13,opponent_xG_rolling_16,opponent_deep_rolling_16,opponent_xGA_rolling_16,opponent_deep_allowed_rolling_16,opponent_xG_rolling_20,opponent_deep_rolling_20,opponent_xGA_rolling_20,opponent_deep_allowed_rolling_20,season,position
0,0,0,0,0.0,227,0,0.0,0,0.0,3,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,False,5,0,0,0,0,1,0,59289,0,3,0,0.0,0,0,0,0,40,True,0,João Neves Virgínia,227,0,0,0,0,8,BHA,1100,1200,EVE,1130,1060,1.2395346666666665,5.666666666666667,1.5425379999999995,7.666666666666667,1.2331485000000002,6.75,1.3959924999999995,7.75,1.3647408,6.6,1.4911039999999998,11.0,1.3104319999999998,6.923076923076923,1.7800192307692306,8.692307692307692,1.433273625,6.5,1.6491885,8.4375,1.42785595,5.95,1.7516743,8.6,1.7371633333333332,9.333333333333334,1.666556666666667,9.333333333333334,1.9617875,8.0,1.2660188750000003,7.75,1.840794,7.8,1.5090791000000003,7.2,1.2382698461538462,7.384615384615385,1.6501818076923078,8.23076923076923,1.429484875,7.75,1.52431215625,7.875,1.5628869,8.2,1.610796225,8.35,2024,GK
0,0,0,0,0.0,227,0,0.0,0,0.0,19,0,0,0.0,0.0,2024-08-24T14:00:00Z,0,False,18,0,0,0,0,2,0,61712,0,0,4,0.0,0,-641,1424,2065,40,False,0,João Neves Virgínia,227,0,0,0,0,8,TOT,1140,1300,EVE,1150,1100,0.9647796666666664,5.333333333333333,1.822684333333333,8.333333333333334,1.03098225,5.25,1.6046109999999998,7.0,1.0675838,6.2,1.4749599999999998,7.2,1.3195604615384615,6.923076923076923,1.7905599999999997,8.384615384615385,1.2549308125,6.375,1.7034671874999998,8.3125,1.3863577,6.0,1.7270553,8.4,2.1491166666666666,13.333333333333334,1.4755873333333334,3.333333333333333,2.3624325,13.0,1.34427325,3.0,2.124356,12.2,1.7278626,6.8,1.9317912307692309,13.153846153846152,1.7773403846153843,6.076923076923077,1.967671625,13.6875,1.6657544999999998,6.0,1.96147835,12.85,1.70063875,6.8,2024,GK
0,0,0,0,0.0,227,0,0.0,0,0.0,24,0,0,0.0,0.0,2024-08-31T14:00:00Z,0,False,3,0,0,0,0,3,0,60738,0,3,2,0.0,0,-2091,2316,4407,40,True,0,João Neves Virgínia,227,0,0,0,0,8,BOU,1140,1210,EVE,1130,1060,0.5730326666666664,4.0,2.5379866666666664,10.0,0.8858020000000002,5.25,2.01987075,8.5,0.9545596,5.2,1.8059748,7.4,1.1294157692307691,6.615384615384615,1.823786923076923,8.76923076923077,1.2834806250000002,6.625,1.7673246875,8.25,1.3928191,6.1,1.7253883,8.35,2.14876,7.333333333333333,1.5782099999999994,9.0,1.8796625,8.25,1.6654625000000003,9.5,1.59747,7.2,2.115114,13.2,1.8055067692307687,6.846153846153846,1.6748917692307694,10.153846153846152,1.8600129375,7.375,1.6932551875,9.75,1.83858385,7.55,1.64956405,9.05,2024,GK
0,0,0,0,0.0,227,0,0.0,0,0.0,31,0,0,0.0,0.0,2024-09-14T16:30:00Z,0,False,2,0,0,0,0,4,0,55019,0,2,3,0.0,0,-6252,1335,7587,40,False,0,João Neves Virgínia,227,0,0,0,0,8,AVL,1080,1140,EVE,1150,1100,1.2034946666666666,8.0,2.453046666666667,7.0,1.068847,6.75,2.64271,9.25,1.2198996000000002,7.2,2.2072726,8.2,1.185945769230769,6.769230769230769,1.8280392307692304,8.76923076923077,1.2903812499999998,7.125,1.906211875,8.375,1.4688016,6.7,1.8060573,8.1,2.050263333333334,5.666666666666667,1.6644769999999998,6.0,1.6874089999999995,4.25,1.80633025,7.25,1.8932372,6.2,1.8250002,7.2,1.4032701153846152,7.230769230769231,1.965777,8.153846153846153,1.56560321875,7.4375,2.0311075625,7.8125,1.685218575,7.4,2.0605915500000003,7.75,2024,GK
0,0,0,0,0.0,227,0,0.0,0,0.0,45,0,0,0.0,0.0,2024-09-21T14:00:00Z,0,False,11,0,0,0,0,5,0,53751,0,1,1,0.0,0,-1497,752,2249,40,False,0,João Neves Virgínia,227,0,0,0,0,8,LEI,1050,1090,EVE,1150,1100,1.3524389999999995,7.666666666666667,2.9090233333333333,8.333333333333334,1.1156605000000002,6.75,2.629475,7.5,1.0255092,6.0,2.7459199999999995,9.2,1.1796671538461538,6.153846153846154,1.9638915384615383,9.0,1.3257251875,7.0625,2.000271875,8.375,1.369751,6.55,1.8452458,8.25,1.0945386666666663,3.6666666666666665,2.33773,9.333333333333334,1.077439,3.25,2.1052350000000004,12.25,1.2679772,4.2,1.8782584,11.4,1.5858403230769231,4.384615384615385,1.882766307692308,9.076923076923077,1.4317381375,4.125,1.7430455625,9.375,1.417841825,4.65,1.7847759,8.95,2024,GK
0,0,0,0,0.0,227,0,0.0,0,0.0,55,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,False,7,0,0,0,0,6,0,47217,0,1,2,0.0,0,-6748,1968,8716,40,True,0,João Neves Virgínia,227,0,0,0,0,8,CRY,1140,1110,EVE,1130,1060,1.7440726666666666,8.0,2.484523333333333,8.0,1.47027175,7.25,2.51625,8.25,1.2572824,6.6,2.371166,7.6,1.1893156153846154,6.153846153846154,1.8629561538461537,8.76923076923077,1.2446639375000002,6.875,1.947675,8.625,1.297999,6.55,1.86602375,8.3,1.6720493333333335,8.666666666666666,2.32662,7.666666666666667,1.598062,8.0,2.1285175,7.0,1.5079636,7.2,1.978942,5.8,1.8603321538461537,7.769230769230769,1.583898692307692,6.307692307692308,1.7819193125,7.4375,1.4856459375,5.75,1.63294585,6.9,1.51121083,6.1,2024,GK
0,0,0,0,0.0,227,0,0.0,0,0.0,67,0,0,0.0,0.0,2024-10-05T16:30:00Z,0,False,15,0,0,0,0,7,0,47052,0,0,0,0.0,0,-455,2072,2527,40,True,0,João Neves Virgínia,227,0,0,0,0,8,NEW,1150,1290,EVE,1130,1060,1.261839333333333,5.0,1.8734233333333328,8.333333333333334,1.585452,7.5,2.1442875,8.0,1.3981354,7.0,2.237716,8.2,1.2239114615384616,5.923076923076923,1.922693846153846,8.923076923076923,1.2001758125000002,6.4375,1.83654875,8.6875,1.3438749,6.8,1.84271725,8.2,1.308183333333333,6.666666666666667,1.9820866666666668,9.666666666666666,1.3778725000000005,6.25,1.894825,9.5,1.4808719999999995,6.8,2.022886,9.2,2.085175307692308,8.923076923076923,1.728312,7.923076923076923,2.1716693125,9.375,1.6247215000000002,7.6875,2.06258585,8.95,1.64804015,7.6,2024,GK
0,0,0,0,0.0,227,0,0.0,0,0.0,73,0,0,0.0,0.0,2024-10-19T14:15:00Z,0,False,10,0,0,0,0,8,0,47060,0,2,0,0.0,0,-229,1358,1587,40,False,0,João Neves Virgínia,227,0,0,0,0,8,IPS,1070,1080,EVE,1150,1100,1.2085246666666665,5.0,1.41733,9.0,1.119433,4.5,1.8526875,9.0,1.4068044,6.6,2.073526,8.6,1.1834733076923076,5.769230769230769,1.8011207692307694,9.153846153846152,1.1850779375,5.9375,1.86141125,9.0,1.2561916,6.6,1.895507,8.5,1.5585700000000002,5.666666666666667,2.8123633333333338,6.0,1.34925825,4.5,2.5485125,7.5,1.2208162000000002,4.0,2.276576,6.8,0.9895258571428572,3.2857142857142856,2.6271600000000004,8.857142857142858,0.9895258571428572,3.2857142857142856,2.6271600000000004,8.857142857142858,0.9895258571428572,3.2857142857142856,2.6271600000000004,8.857142857142858,2024,GK
0,0,0,0,0.0,227,0,0.0,0,0.0,87,0,0,0.0,0.0,2024-10-26T16:30:00Z,0,False,9,0,0,0,0,9,0,46791,0,1,1,0.0,0,-373,690,1063,40,True,0,João Neves Virgínia,227,0,0,0,0,8,FUL,1140,1160,EVE,1130,1060,1.1366146666666666,6.0,1.3626866666666668,7.333333333333333,1.3084034999999998,6.0,1.3564974999999997,7.5,1.2171544,5.4,1.71695,7.8,1.270766153846154,6.461538461538462,1.799954615384615,8.846153846153847,1.1794341875,6.125,1.769155625,8.5,1.32226085,6.85,1.871517,8.2,2.27504,6.0,1.139047,8.333333333333334,2.5091325,6.25,1.12870525,7.0,2.584508,6.2,1.039508,6.4,1.6450527307692309,5.307692307692308,1.300890923076923,6.230769230769231,1.67983871875,6.125,1.343185125,6.0625,1.738494475,6.9,1.3936356,6.95,2024,GK
0,0,0,0,0.0,227,0,0.0,0,0.0,98,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,False,17,0,0,0,0,10,0,46029,0,0,1,0.0,0,-862,377,1239,40,False,0,João Neves Virgínia,227,0,0,0,0,8,SOU,1060,1050,EVE,1150,1100,1.0616996666666665,6.333333333333333,1.4865966666666666,7.0,1.07367225,6.25,1.3958424999999997,7.25,1.2236918,6.2,1.3842599999999998,7.4,1.193361153846154,6.538461538461538,1.771013076923077,7.538461538461538,1.19349675,6.0,1.840925625,8.5625,1.2104656,6.75,1.8373085,8.35,1.3569596666666666,5.666666666666667,3.084256666666666,12.333333333333334,1.1917367500000002,6.0,2.67373,11.0,1.5330154,6.2,2.467984,9.8,1.4232174615384616,6.384615384615385,2.471510692307692,11.923076923076923,1.3316666250000002,5.9375,2.4643033125,12.1875,1.26584735,6.0,2.3320131500000003,11.15,2024,GK
