id,first_name,second_name,own_team,opponent_team,own_short_name,opponent_short_name,own_attack,opponent_attack,own_defense,opponent_defense,was_home,crowds,season,POS,gameweek,value,mean_xg_5
2,Gabriel,Fernando de Jesus,1,16,ARS,NFO,1360,1130,1340,1070,1,1,24,4,12,68,0.0
2,Gabriel,Fernando de Jesus,1,14,ARS,MUN,1360,1140,1340,1170,1,1,24,4,14,68,0.0
2,Gabriel,Fernando de Jesus,1,8,ARS,EVE,1360,1100,1340,1100,1,1,24,4,16,68,0.0
4,Kai,Havertz,1,16,ARS,NFO,1360,1130,1340,1070,1,1,24,4,12,81,0.5740000000000001
4,Kai,Havertz,1,14,ARS,MUN,1360,1140,1340,1170,1,1,24,4,14,81,0.5740000000000001
4,Kai,Havertz,1,8,ARS,EVE,1360,1100,1340,1100,1,1,24,4,16,81,0.5740000000000001
665,Nathan,Butler-Oyedeji,1,16,ARS,NFO,1360,1130,1340,1070,1,1,24,4,12,45,0.0
665,Nathan,Butler-Oyedeji,1,14,ARS,MUN,1360,1140,1340,1170,1,1,24,4,14,45,0.0
665,Nathan,Butler-Oyedeji,1,8,ARS,EVE,1360,1100,1340,1100,1,1,24,4,16,45,0.0
38,Jhon,Durán,2,7,AVL,CRY,1120,1100,1200,1090,1,1,24,4,12,60,0.0
38,Jhon,Durán,2,4,AVL,BRE,1120,1120,1200,1190,1,1,24,4,14,60,0.0
38,Jhon,Durán,2,17,AVL,SOU,1120,1070,1200,1060,1,1,24,4,15,60,0.0
58,Ollie,Watkins,2,7,AVL,CRY,1120,1100,1200,1090,1,1,24,4,12,90,0.3359999999999999
58,Ollie,Watkins,2,4,AVL,BRE,1120,1120,1200,1190,1,1,24,4,14,90,0.3359999999999999
58,Ollie,Watkins,2,17,AVL,SOU,1120,1070,1200,1060,1,1,24,4,15,90,0.3359999999999999
65,Enes,Ünal,3,5,BOU,BHA,1070,1130,1130,1220,1,1,24,4,12,54,0.0
65,Enes,Ünal,3,18,BOU,TOT,1070,1170,1130,1350,1,1,24,4,14,54,0.0
65,Enes,Ünal,3,19,BOU,WHU,1070,1070,1130,1130,1,1,24,4,16,54,0.0
69,Daniel,Jebbison,3,5,BOU,BHA,1070,1130,1130,1220,1,1,24,4,12,45,0.0
69,Daniel,Jebbison,3,18,BOU,TOT,1070,1170,1130,1350,1,1,24,4,14,45,0.0
69,Daniel,Jebbison,3,19,BOU,WHU,1070,1070,1130,1130,1,1,24,4,16,45,0.0
617,Francisco Evanilson,de Lima Barbosa,3,5,BOU,BHA,1070,1130,1130,1220,1,1,24,4,12,59,0.2219999999999999
617,Francisco Evanilson,de Lima Barbosa,3,18,BOU,TOT,1070,1170,1130,1350,1,1,24,4,14,59,0.2219999999999999
617,Francisco Evanilson,de Lima Barbosa,3,19,BOU,WHU,1070,1070,1130,1130,1,1,24,4,16,59,0.2219999999999999
107,Igor Thiago,Nascimento Rodrigues,4,3,BRE,BOU,1080,1130,1100,1160,1,1,24,4,11,59,0.0
107,Igor Thiago,Nascimento Rodrigues,4,11,BRE,LEI,1080,1120,1100,1080,1,1,24,4,13,59,0.0
107,Igor Thiago,Nascimento Rodrigues,4,15,BRE,NEW,1080,1130,1100,1310,1,1,24,4,15,59,0.0
108,Ivan,Toney,4,3,BRE,BOU,1080,1130,1100,1160,1,1,24,4,11,73,0.0
108,Ivan,Toney,4,11,BRE,LEI,1080,1120,1100,1080,1,1,24,4,13,73,0.0
108,Ivan,Toney,4,15,BRE,NEW,1080,1130,1100,1310,1,1,24,4,15,73,0.0
110,Yoane,Wissa,4,3,BRE,BOU,1080,1130,1100,1160,1,1,24,4,11,60,0.7060000000000001
110,Yoane,Wissa,4,11,BRE,LEI,1080,1120,1100,1080,1,1,24,4,13,60,0.7060000000000001
110,Yoane,Wissa,4,15,BRE,NEW,1080,1130,1100,1310,1,1,24,4,15,60,0.7060000000000001
123,Evan,Ferguson,5,13,BHA,MCI,1070,1350,1130,1390,1,1,24,4,11,55,0.0
123,Evan,Ferguson,5,17,BHA,SOU,1070,1070,1130,1060,1,1,24,4,13,55,0.0
123,Evan,Ferguson,5,7,BHA,CRY,1070,1100,1130,1090,1,1,24,4,16,55,0.0
129,João Pedro,Junqueira de Jesus,5,13,BHA,MCI,1070,1350,1130,1390,1,1,24,4,11,54,0.0
129,João Pedro,Junqueira de Jesus,5,17,BHA,SOU,1070,1070,1130,1060,1,1,24,4,13,54,0.0
129,João Pedro,Junqueira de Jesus,5,7,BHA,CRY,1070,1100,1130,1090,1,1,24,4,16,54,0.0
138,Mark,O’Mahony,5,13,BHA,MCI,1070,1350,1130,1390,1,1,24,4,11,45,0.0
138,Mark,O’Mahony,5,17,BHA,SOU,1070,1070,1130,1060,1,1,24,4,13,45,0.0
138,Mark,O’Mahony,5,7,BHA,CRY,1070,1100,1130,1090,1,1,24,4,16,45,0.0
143,Deniz,Undav,5,13,BHA,MCI,1070,1350,1130,1390,1,1,24,4,11,55,0.0
143,Deniz,Undav,5,17,BHA,SOU,1070,1070,1130,1060,1,1,24,4,13,55,0.0
143,Deniz,Undav,5,7,BHA,CRY,1070,1100,1130,1090,1,1,24,4,16,55,0.0
148,Danny,Welbeck,5,13,BHA,MCI,1070,1350,1130,1390,1,1,24,4,11,59,0.5700000000000001
148,Danny,Welbeck,5,17,BHA,SOU,1070,1070,1130,1060,1,1,24,4,13,59,0.5700000000000001
148,Danny,Welbeck,5,7,BHA,CRY,1070,1100,1130,1090,1,1,24,4,16,59,0.5700000000000001
164,David Datro,Fofana,6,1,CHE,ARS,1130,1360,1320,1390,1,1,24,4,11,54,0.0
164,David Datro,Fofana,6,2,CHE,AVL,1130,1140,1320,1300,1,1,24,4,13,54,0.0
164,David Datro,Fofana,6,4,CHE,BRE,1130,1120,1320,1190,1,1,24,4,16,54,0.0
165,Deivid Washington,de Souza Eugênio,6,1,CHE,ARS,1130,1360,1320,1390,1,1,24,4,11,50,0.0
165,Deivid Washington,de Souza Eugênio,6,2,CHE,AVL,1130,1140,1320,1300,1,1,24,4,13,50,0.0
165,Deivid Washington,de Souza Eugênio,6,4,CHE,BRE,1130,1120,1320,1190,1,1,24,4,16,50,0.0
175,Romelu,Lukaku Bolingoli,6,1,CHE,ARS,1130,1360,1320,1390,1,1,24,4,11,63,0.0
175,Romelu,Lukaku Bolingoli,6,2,CHE,AVL,1130,1140,1320,1300,1,1,24,4,13,63,0.0
175,Romelu,Lukaku Bolingoli,6,4,CHE,BRE,1130,1120,1320,1190,1,1,24,4,16,63,0.0
178,Marc,Guiu Paz,6,1,CHE,ARS,1130,1360,1320,1390,1,1,24,4,11,48,0.0
178,Marc,Guiu Paz,6,2,CHE,AVL,1130,1140,1320,1300,1,1,24,4,13,48,0.0
178,Marc,Guiu Paz,6,4,CHE,BRE,1130,1120,1320,1190,1,1,24,4,16,48,0.0
180,Nicolas,Jackson,6,1,CHE,ARS,1130,1360,1320,1390,1,1,24,4,11,79,0.5680000000000002
180,Nicolas,Jackson,6,2,CHE,AVL,1130,1140,1320,1300,1,1,24,4,13,79,0.5680000000000002
180,Nicolas,Jackson,6,4,CHE,BRE,1130,1120,1320,1190,1,1,24,4,16,79,0.5680000000000002
11,Eddie,Nketiah,7,9,CRY,FUL,1100,1140,1090,1180,1,1,24,4,11,59,0.136
11,Eddie,Nketiah,7,15,CRY,NEW,1100,1130,1090,1310,1,1,24,4,13,59,0.136
11,Eddie,Nketiah,7,13,CRY,MCI,1100,1350,1090,1390,1,1,24,4,15,59,0.136
207,Jean-Philippe,Mateta,7,9,CRY,FUL,1100,1140,1090,1180,1,1,24,4,11,73,0.398
207,Jean-Philippe,Mateta,7,15,CRY,NEW,1100,1130,1090,1310,1,1,24,4,13,73,0.398
207,Jean-Philippe,Mateta,7,13,CRY,MCI,1100,1350,1090,1390,1,1,24,4,15,73,0.398
156,Armando,Broja,8,4,EVE,BRE,1080,1120,1080,1190,1,1,24,4,12,54,0.0
156,Armando,Broja,8,20,EVE,WOL,1080,1060,1080,1120,1,1,24,4,14,54,0.0
156,Armando,Broja,8,12,EVE,LIV,1080,1370,1080,1360,1,1,24,4,15,54,0.0
218,Norberto Bercique,Gomes Betuncal,8,4,EVE,BRE,1080,1120,1080,1190,1,1,24,4,12,50,0.0
218,Norberto Bercique,Gomes Betuncal,8,20,EVE,WOL,1080,1060,1080,1120,1,1,24,4,14,50,0.0
218,Norberto Bercique,Gomes Betuncal,8,12,EVE,LIV,1080,1370,1080,1360,1,1,24,4,15,50,0.0
220,Dominic,Calvert-Lewin,8,4,EVE,BRE,1080,1120,1080,1190,1,1,24,4,12,59,0.414
220,Dominic,Calvert-Lewin,8,20,EVE,WOL,1080,1060,1080,1120,1,1,24,4,14,59,0.414
220,Dominic,Calvert-Lewin,8,12,EVE,LIV,1080,1370,1080,1360,1,1,24,4,15,59,0.414
229,Neal,Maupay,8,4,EVE,BRE,1080,1120,1080,1190,1,1,24,4,12,49,0.0
229,Neal,Maupay,8,20,EVE,WOL,1080,1060,1080,1120,1,1,24,4,14,49,0.0
229,Neal,Maupay,8,12,EVE,LIV,1080,1370,1080,1360,1,1,24,4,15,49,0.0
232,Iliman,Ndiaye,8,4,EVE,BRE,1080,1120,1080,1190,1,1,24,4,12,54,0.064
232,Iliman,Ndiaye,8,20,EVE,WOL,1080,1060,1080,1120,1,1,24,4,14,54,0.064
232,Iliman,Ndiaye,8,12,EVE,LIV,1080,1370,1080,1360,1,1,24,4,15,54,0.064
237,Youssef,Ramalho Chermiti,8,4,EVE,BRE,1080,1120,1080,1190,1,1,24,4,12,49,0.0
237,Youssef,Ramalho Chermiti,8,20,EVE,WOL,1080,1060,1080,1120,1,1,24,4,14,49,0.0
237,Youssef,Ramalho Chermiti,8,12,EVE,LIV,1080,1370,1080,1360,1,1,24,4,15,49,0.0
251,Rodrigo,Muniz Carvalho,9,20,FUL,WOL,1100,1060,1100,1120,1,1,24,4,12,56,0.0
251,Rodrigo,Muniz Carvalho,9,5,FUL,BHA,1100,1130,1100,1220,1,1,24,4,14,56,0.0
251,Rodrigo,Muniz Carvalho,9,1,FUL,ARS,1100,1360,1100,1390,1,1,24,4,15,56,0.0
252,Raúl,Jiménez,9,20,FUL,WOL,1100,1060,1100,1120,1,1,24,4,12,58,0.53
252,Raúl,Jiménez,9,5,FUL,BHA,1100,1130,1100,1220,1,1,24,4,14,58,0.53
252,Raúl,Jiménez,9,1,FUL,ARS,1100,1360,1100,1390,1,1,24,4,15,58,0.53
