id,first_name,second_name,position
3,Granit,Xhaka,MID
4,Mohamed,Elneny,MID
5,Rob,Holding,DEF
6,Thomas,Partey,MID
7,Martin,Ødegaard,MID
8,Kieran,Tierney,DEF
9,Nicolas,Pépé,MID
10,Benjamin,White,DEF
11,Eddie,Nketiah,FWD
12,Emile,Smith Rowe,MID
13,Bukayo,Saka,MID
14,Takehiro,Tomiyasu,DEF
15,Aaron,Ramsdale,GK
16,Gabriel,dos Santos Magalhães,DEF
17,Nuno,Varela Tavares,DEF
19,Gabriel,Martinelli Silva,MID
20,Pablo,Marí Villar,DEF
22,Lucas,Torreira di Pascua,MID
23,Reiss,Nelson,MID
24,Matt,Turner,GK
25,Fábio,Ferreira Vieira,MID
26,William,Saliba,DEF
27,Marcus,Oliveira Alencar,MID
28,Gabriel,Fernando de Jesus,FWD
111,Leandro,Trossard,MID
130,Jorge Luiz,Frello Filho,MID
313,Oleksandr,Zinchenko,DEF
607,Matthew,Smith,MID
630,Ethan,Nwaneri,MID
631,Lino,Sousa,DEF
655,Karl,Hein,GK
668,Amario,Cozier-Duberry,MID
685,Nathan,Butler-Oyedeji,FWD
710,Jakub,Kiwior,DEF
751,Reuell,Walters,DEF
767,Mauro,Bandeira,MID
29,Philippe,Coutinho Correia,MID
31,Emiliano,Martínez Romero,GK
32,Calum,Chambers,DEF
33,Lucas,Digne,DEF
34,Bertrand,Traoré,MID
35,Robin,Olsen,GK
36,Morgan,Sanson,MID
37,John,McGinn,MID
38,Kortney,Hause,DEF
39,Tyrone,Mings,DEF
40,Ollie,Watkins,FWD
41,Marvelous,Nakamba,MID
42,Emiliano,Buendía Stati,MID
43,Matty,Cash,DEF
44,Ezri,Konsa Ngoyo,DEF
45,Leon,Bailey,MID
46,Douglas Luiz,Soares de Paulo,MID
47,Jacob,Ramsey,MID
49,Tim,Iroegbunam,MID
50,Diego Carlos,Santos Silva,DEF
51,Anwar,El Ghazi,MID
52,Keinan,Davis,FWD
53,Boubacar,Kamara,MID
54,Cameron,Archer,FWD
55,Jaden,Philogene-Bidace,MID
56,Frédéric,Guilbert,DEF
479,Leander,Dendoncker,MID
525,Ludwig,Augustinsson,DEF
537,Kaine,Kesler Hayden,DEF
538,Ashley,Young,DEF
638,Lamare,Bogarde,DEF
670,Filip,Marschall,GK
672,Kadan,Young,MID
694,Alexandre,Moreno Lopera,DEF
707,Viljami,Sinisalo,GK
711,Jhon,Durán,FWD
744,Sil,Swinkels,DEF
745,Oliwier,Zych,GK
753,James,Wright,GK
754,Sebastian,Revan,DEF
755,Travis,Patterson,MID
761,Tommi,O'Reilly,MID
57,Adam,Smith,DEF
58,Junior,Stanislas,MID
59,Ryan,Fredericks,DEF
60,David,Brooks,MID
61,Jamal,Lowe,MID
62,Kieffer,Moore,FWD
63,Emiliano,Marcondes,MID
64,Jefferson,Lerma Solís,MID
65,Jack,Stacey,DEF
66,Dominic,Solanke,FWD
67,Lewis,Cook,MID
68,Ben,Pearson,MID
69,Ryan,Christie,MID
70,Philip,Billing,MID
71,Chris,Mepham,DEF
72,Mark,Travers,GK
73,Lloyd,Kelly,DEF
74,Siriki,Dembélé,MID
75,Jaidon,Anthony,MID
76,Jordan,Zemura,DEF
77,Will,Dennis,GK
404,Jack,Stephens,DEF
505,Joe,Rothwell,MID
535,Marcus,Tavernier,MID
539,James,Hill,DEF
571,Darren,Randolph,GK
574,Norberto,Murara Neto,GK
576,Marcos,Senesi,DEF
597,Christian,Saydee,FWD
598,Owen,Bevan,DEF
649,Cameron,Plain,GK
695,Daniel,Adu-Adjei,FWD
696,Michael,Dacosta Gonzalez,MID
697,Dominic,Sadi,FWD
705,Dango,Ouattara,MID
706,Euan,Pollock,FWD
714,Antoine,Semenyo,FWD
718,Matías,Viña,DEF
722,Illia,Zabarnyi,DEF
723,Hamed,Traorè,MID
737,Ben,Greenwood,DEF
738,Max,Kinsey-Wellings,DEF
78,Pontus,Jansson,DEF
79,Christian,Nørgaard,MID
80,Ivan,Toney,FWD
81,David,Raya Martin,GK
82,Sergi,Canós Tenés,DEF
83,Josh,Dasilva,MID
84,Kristoffer,Ajer,DEF
85,Rico,Henry,DEF
86,Vitaly,Janelt,MID
87,Saman,Ghoddos,MID
88,Mathias,Jensen,MID
89,Yoane,Wissa,MID
90,Mads,Roerslev Rasmussen,DEF
91,Mads,Bech Sørensen,DEF
92,Ethan,Pinnock,DEF
93,Frank,Onyeka,MID
94,Shandon,Baptiste,MID
95,Bryan,Mbeumo,FWD
96,Charlie,Goode,DEF
97,Marcus,Forss,FWD
98,Dominic,Thompson,DEF
99,Mads,Bidstrup,MID
100,Ellery,Balcombe,GK
510,Aaron,Hickey,DEF
515,Keane,Lewis-Potter,MID
517,Thomas,Strakosha,GK
526,Ben,Mee,DEF
540,Fin,Stevens,DEF
541,Halil,Dervişoğlu,FWD
580,Mikkel,Damsgaard,MID
595,Mathias,Jorgensen,DEF
632,Ryan,Trevitt,MID
633,Matthew,Cox,GK
646,Tristan,Crama,DEF
650,Yegor,Yarmolyuk,MID
688,Kevin,Schade,MID
752,Michael,Olakigbe,MID
101,Adam,Lallana,MID
102,Jason,Steele,GK
103,Danny,Welbeck,FWD
104,Pascal,Groß,MID
106,Lewis,Dunk,DEF
107,Solly,March,MID
108,Adam,Webster,DEF
109,Joël,Veltman,DEF
113,Robert,Sánchez,GK
114,Tariq,Lamptey,DEF
115,Steven,Alzate,MID
116,Alexis,Mac Allister,MID
117,Jakub,Moder,MID
118,Enock,Mwepu,MID
119,Jeremy,Sarmiento Morante,MID
120,Moisés,Caicedo Corozo,MID
121,Taylor,Richards,MID
122,Haydon,Roberts,DEF
123,Deniz,Undav,FWD
124,Kaoru,Mitoma,MID
125,Julio,Enciso,FWD
126,Kacper,Kozłowski,MID
149,Billy,Gilmour,MID
542,Kjell,Scherpen,GK
543,Matt,Clarke,DEF
544,Jan Paul,van Hecke,DEF
559,Levi,Colwill,DEF
586,Pervis,Estupiñán,DEF
596,Evan,Ferguson,FWD
640,Ed,Turns,DEF
651,Andrew,Moran,MID
652,James,Furlong,DEF
677,Jack,Hinshelwood,MID
679,Facundo,Buonanotte,MID
719,Yasin,Ayari,MID
736,Odeluga,Offiah,DEF
756,Tom,McGill,GK
762,Cameron,Peupion,MID
765,Imari,Samuels,DEF
48,Carney,Chukwuemeka,MID
112,Marc,Cucurella Saseta,DEF
127,César,Azpilicueta,DEF
128,Thiago,Emiliano da Silva,DEF
129,Marcos,Alonso,DEF
131,Ross,Barkley,MID
132,Mateo,Kovacic,MID
133,Kepa,Arrizabalaga,GK
134,N'Golo,Kanté,MID
135,Hakim,Ziyech,MID
136,Ruben,Loftus-Cheek,MID
137,Timo,Werner,FWD
138,Robert Kenedy,Nunes do Nascimento,DEF
139,Ben,Chilwell,DEF
140,Christian,Pulisic,MID
141,Trevoh,Chalobah,DEF
142,Mason,Mount,MID
143,Malang,Sarr,DEF
144,Callum,Hudson-Odoi,MID
145,Kai,Havertz,FWD
146,Reece,James,DEF
147,Edouard,Mendy,GK
148,Conor,Gallagher,MID
150,Armando,Broja,FWD
151,Ethan,Ampadu,DEF
272,Wesley,Fofana,DEF
304,Raheem,Sterling,MID
520,Kalidou,Koulibaly,DEF
606,Harvey,Vale,MID
616,Denis,Zakaria,MID
617,Pierre-Emerick,Aubameyang,FWD
635,Marcus,Bettinelli,GK
653,Omari,Hutchinson,MID
661,Lewis,Hall,MID
673,Bashir,Humphreys,DEF
684,David Datro,Fofana,FWD
689,Benoît,Badiashile,DEF
690,João,Félix Sequeira,FWD
699,Mykhailo,Mudryk,MID
702,Andrey,Nascimento dos Santos,MID
708,Noni,Madueke,MID
724,Enzo,Fernández,MID
771,Ethan,Wady,GK
775,Alfie,Gilchrist,DEF
18,Albert,Sambi Lokonga,MID
152,Vicente,Guaita,GK
153,James,Tomkins,DEF
154,James,McArthur,MID
155,Christian,Benteke,FWD
156,Joel,Ward,DEF
157,Nathaniel,Clyne,DEF
158,Luka,Milivojevic,MID
159,Jordan,Ayew,MID
160,Wilfried,Zaha,MID
161,Jeffrey,Schlupp,MID
163,Will,Hughes,MID
