Understat_ID,FPL_ID,Understat_Name,FPL_Name,Unique_ID
1828,334,Alex Telles,Alex Telles,936
2163,228,Diego Llorente,Diego Llorente,879
2182,64,Jefferson Lerma,Jefferson Lerma Solís,206
2190,152,Vicente Guaita,Vicente Guaita,791
2203,42,Emiliano Buendía,Emiliano Buendía Stati,31
2245,329,Raphael Varane,Raphaël Varane,934
2254,132,Mateo Kovacic,Mateo Kovacic,775
2280,477,Jonny,Jonathan Castro Otto,1051
2310,473,Alphonse Areola,Alphonse Areola,513
2328,6,Thomas Partey,Thomas Partey,20
2335,469,Pablo Fornals,Pablo Fornals Malla,1043
2371,326,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,931
2379,306,João Cancelo,João Cancelo,353
2381,225,Rodrigo,Rodrigo Moreno,876
2383,184,André Gomes,André Tavares Gomes,814
2496,315,Rodri,Rodrigo Hernandez,360
2498,309,Aymeric Laporte,Aymeric Laporte,921
2517,7,Martin Odegaard,Martin Ødegaard,13
2662,140,Christian Pulisic,Christian Pulisic,780
2958,313,Oleksandr Zinchenko,Oleksandr Zinchenko,25
3203,470,Issa Diop,Issa Diop,245
3288,128,Thiago Silva,Thiago Emiliano da Silva,773
3293,431,Lucas Moura,Lucas Rodrigues Moura da Silva,1021
3303,256,Ricardo Pereira,Ricardo Barbosa Pereira,302
3420,282,Fabinho,Fabio Henrique Tavares,911
3422,503,João Moutinho,João Filipe Iria Santos Moutinho,1057
3585,464,Said Benrahma,Saïd Benrahma,1040
3621,110,Neal Maupay,Neal Maupay,229
3635,311,Bernardo Silva,Bernardo Veiga de Carvalho e Silva,342
3696,36,Morgan Sanson,Morgan Sanson,709
3697,166,Odsonne Edouard,Odsonne Edouard,198
4105,476,Raúl Jiménez,Raúl Jiménez,252
4381,223,Mateusz Klich,Mateusz Klich,874
4401,31,Emiliano Martinez,Emiliano Martínez Romero,47
4419,408,Adam Armstrong,Adam Armstrong,453
4456,354,Chris Wood,Chris Wood,447
4764,187,Jean-Philippe Gbamin,Jean-Philippe Gbamin,815
5050,513,Clement Lenglet,Clément Lenglet,1029
5061,133,Kepa,Kepa Arrizabalaga,152
5086,245,Marc Roca,Marc Roca Junqué,893
5220,145,Kai Havertz,Kai Havertz,4
5221,45,Leon Bailey,Leon Bailey,28
5247,287,Naby Keita,Naby Keita,913
5264,267,Caglar Söyüncü,Çaglar Söyüncü,864
5543,28,Gabriel Jesus,Gabriel Fernando de Jesus,2
5545,265,Wilfred Ndidi,Wilfred Ndidi,300
5549,158,Luka Milivojevic,Luka Milivojevic,795
5552,376,Nick Pope,Nick Pope,413
5553,467,Declan Rice,Declan Rice,16
5555,191,Dominic Calvert-Lewin,Dominic Calvert-Lewin,220
5560,338,Scott McTominay,Scott McTominay,381
5584,341,Aaron Wan-Bissaka,Aaron Wan-Bissaka,388
5590,209,Tosin Adarabioyo,Tosin Adarabioyo,187
5595,231,Daniel James,Daniel James,846
5602,391,Sam Surridge,Sam Surridge,973
5603,15,Aaron Ramsdale,Aaron Ramsdale,14
5609,444,Yves Bissouma,Yves Bissouma,482
5612,51,Anwar El Ghazi,Anwar El Ghazi,712
