assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,Full_Name,Unique_ID,shots,key_passes,npg,npxG,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,team_xG_rolling_4,team_deep_rolling_4,team_xGA_rolling_4,team_deep_allowed_rolling_4,team_xG_rolling_16,team_deep_rolling_16,team_xGA_rolling_16,team_deep_allowed_rolling_16,opponent_xG_rolling_4,opponent_deep_rolling_4,opponent_xGA_rolling_4,opponent_deep_allowed_rolling_4,opponent_xG_rolling_16,opponent_deep_rolling_16,opponent_xGA_rolling_16,opponent_deep_allowed_rolling_16,season,position
0,0,2,0,3.4,617,0.0,0.52,0.8557373285293579,0.94,113,2,0,6.0,3.0,2024-11-23,90,False,5,0,0,0,0,12,0,228884,1,2,1,54.0,2,95489,109576,14087,60,True,0,Francisco Evanilson de Lima Barbosa,617,5,0,0,0.8557373285293579,3,BHA,1100,1200,BOU,1080,1190,1.86362025,6.25,1.6580495000000002,12.75,1.8551263125,6.875,1.6614686875,11.0625,1.7695525,7.0,1.865255,7.75,1.783539375,7.1875,1.62231334375,6.8125,2024,FWD
3,1,43,0,11.6,617,0.0306258890777826,0.52,0.4042715728282928,0.45,130,2,0,6.5,11.8,2024-11-30,76,False,20,0,0,0,0,13,0,201899,1,4,2,42.0,12,-22500,16180,38680,60,False,0,Francisco Evanilson de Lima Barbosa,617,2,1,0,0.4042715728282928,3,WOL,1070,1100,BOU,1140,1210,1.79546525,7.25,1.7805075,13.0,1.8244050625,6.8125,1.7081021875,10.9375,1.25318275,6.0,1.4179432499999998,6.5,1.05717825,4.3125,2.2386733125,10.9375,2024,FWD
0,0,7,1,21.5,617,0.120865598320961,0.67,0.8267034292221069,0.55,133,0,0,9.0,11.4,2024-12-05,84,False,18,0,0,0,0,14,0,320792,1,0,1,57.0,2,111688,124833,13145,60,True,0,Francisco Evanilson de Lima Barbosa,617,3,2,0,0.8267034292221069,3,TOT,1140,1350,BOU,1080,1190,2.483055,6.75,1.503516,11.0,1.8617606875,6.75,1.6774280625000002,11.0,2.040935,9.0,2.100785,7.5,2.2190659375,11.0,1.40255075,5.1875,2024,FWD
0,0,4,0,13.6,617,0.3134911656379699,0.15,0.1648774147033691,1.13,146,1,0,2.9,0.0,2024-12-08,73,False,10,0,0,0,0,15,0,514864,1,2,1,18.0,2,185701,200386,14685,61,False,0,Francisco Evanilson de Lima Barbosa,617,3,1,0,0.1648774147033691,3,IPS,1070,1080,BOU,1140,1210,2.69002,7.75,1.0713245000000002,9.5,2.0372894375,7.1875,1.4718164375,9.9375,1.27638475,4.25,1.6100224999999997,6.0,1.1570978571428572,3.7857142857142856,2.3481042857142858,8.142857142857142,2024,FWD
0,0,13,1,32.7,617,0.0777804031968116,0.44,0.1449641436338424,1.25,152,0,0,8.6,7.4,2024-12-16,79,False,19,0,0,0,0,16,0,505756,1,1,1,46.0,2,-1149,51426,52575,61,True,0,Francisco Evanilson de Lima Barbosa,617,2,3,0,0.1449641436338424,3,WHU,1070,1130,BOU,1080,1190,2.9397525,9.25,1.0718395000000005,9.0,2.1884706875,7.25,1.4492901875000002,10.0,1.5633634999999997,7.25,2.4383600000000003,5.5,1.4750804375000002,6.3125,2.0892859375,8.5625,2024,FWD
0,0,10,1,7.1,617,0.0,0.16,0.0603676103055477,1.51,168,0,0,2.0,5.4,2024-12-22,70,False,14,0,0,0,0,17,0,435471,1,3,0,7.0,2,-68875,18764,87639,61,False,0,Francisco Evanilson de Lima Barbosa,617,1,0,0,0.0603676103055477,3,MUN,1140,1110,BOU,1140,1210,2.973965,9.0,1.2187595000000002,9.25,2.1913719375,7.25,1.4630751875,9.875,1.3835032499999995,5.75,1.2557272499999996,4.75,1.6154950625,6.875,1.6345904375,6.25,2024,FWD
0,0,5,0,0.8,617,0.0,0.1,0.1378099173307418,0.2,172,0,0,2.4,2.4,2024-12-26,28,False,7,0,0,0,0,18,0,404188,0,0,0,21.0,1,-35428,57004,92432,60,True,0,Francisco Evanilson de Lima Barbosa,617,2,0,0,0.1378099173307418,3,CRY,1140,1110,BOU,1080,1190,2.66129,8.75,1.5735835000000002,10.75,2.1863194375,7.1875,1.5281551875,10.125,1.87009,5.25,1.6084695,8.25,1.6211538124999998,5.9375,1.7503010625,7.5,2024,FWD
0,2,32,0,2.2,617,0.0,0.28,0.3800939917564392,1.11,185,2,1,9.6,33.4,2024-12-29,81,False,9,0,0,0,0,19,0,349734,1,2,2,60.0,8,-55195,35372,90567,60,False,0,Francisco Evanilson de Lima Barbosa,617,3,0,1,0.3800939917564392,3,FUL,1140,1110,BOU,1140,1210,2.1424725,8.75,1.5426165000000005,10.0,2.1029919375,7.3125,1.4411049375,10.0625,1.1172570000000004,4.5,1.59164275,7.25,1.6697331249999998,6.0,1.2065553125,5.8125,2024,FWD
0,0,6,1,21.1,617,0.0629624053835868,0.34,0.1757784783840179,0.65,192,0,0,5.8,0.4,2025-01-04,81,False,8,0,0,0,0,20,0,389187,1,0,1,36.0,2,34289,81666,47377,59,True,0,Francisco Evanilson de Lima Barbosa,617,3,2,0,0.1757784783840179,3,EVE,1150,1100,BOU,1080,1190,1.6963849999999998,8.25,1.3913080000000002,8.25,2.0248694375,7.5,1.3414346875,9.4375,0.617864,2.75,1.842935,9.75,1.1569403125,5.5625,1.6265749374999998,7.5625,2024,FWD
0,0,0,0,0.0,617,0.0,0.0,0.0,0.0,208,0,0,0.0,0.0,2025-01-14,0,False,6,0,0,0,0,21,0,201608,0,2,2,0.0,0,-183572,5980,189552,58,False,0,Francisco Evanilson de Lima Barbosa,617,0,0,0,0.0,3,CHE,1150,1360,BOU,1140,1210,1.83891,9.25,1.0769942500000005,7.0,2.0924450625,8.0625,1.31820275,8.9375,1.5484500000000003,10.5,1.4069075000000002,3.5,2.231195625,10.1875,1.6259398125,5.5,2024,FWD
