h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,xG_rolling_4,deep_rolling_4,xGA_rolling_4,deep_allowed_rolling_4,xG_rolling_16,deep_rolling_16,xGA_rolling_16,deep_allowed_rolling_16
h,0.455695,0.931067,0.455695,0.931067,"{'att': 301, 'def': 17}","{'att': 311, 'def': 14}",5,3,2,2,0.8336000000000001,d,2022-08-07,0,1,0,1,-0.4753719999999999,0.7929636,5.4,1.6064333999999998,6.2,0.7929636,5.4,1.6064333999999998,6.2
a,0.690679,3.0107,0.690679,3.0107,"{'att': 196, 'def': 14}","{'att': 279, 'def': 27}",5,10,2,4,0.1659999999999999,l,2022-08-13,0,0,1,0,-2.320021,0.455695,5.0,0.931067,3.0,0.455695,5.0,0.931067,3.0
h,0.242948,1.24155,0.242948,1.24155,"{'att': 149, 'def': 31}","{'att': 331, 'def': 21}",5,4,1,2,0.4478,l,2022-08-20,0,0,1,0,-0.998602,0.573187,5.0,1.9708835,6.5,0.573187,5.0,1.9708835,6.5
a,1.96023,1.74916,1.96023,1.74916,"{'att': 258, 'def': 12}","{'att': 281, 'def': 25}",10,3,1,2,1.4883,l,2022-08-27,0,0,1,0,0.2110699999999998,0.4631073333333333,5.0,1.7277723333333332,5.666666666666667,0.4631073333333333,5.0,1.7277723333333332,5.666666666666667
h,0.615266,1.09969,0.615266,1.09969,"{'att': 276, 'def': 23}","{'att': 390, 'def': 17}",2,11,0,1,0.8414999999999999,l,2022-09-01,0,0,1,0,-0.4844240000000001,0.837388,6.25,1.7331192500000001,5.0,0.837388,6.25,1.7331192500000001,5.0
a,1.06549,2.73166,1.06549,1.97049,"{'att': 270, 'def': 6}","{'att': 296, 'def': 25}",4,10,2,5,0.3777,l,2022-09-04,0,0,1,0,-0.905,0.8772807499999999,5.5,1.7752750000000002,7.0,0.7929636,5.4,1.6064333999999998,6.2
a,1.59449,1.98619,0.833326,1.98619,"{'att': 308, 'def': 18}","{'att': 297, 'def': 14}",10,6,2,6,1.0978,l,2022-09-17,0,0,1,0,-1.152864,0.9709834999999999,5.25,1.7055150000000001,7.0,0.8383846666666667,5.166666666666667,1.7939711666666665,6.833333333333333
h,1.2497,1.22169,1.2497,1.22169,"{'att': 291, 'def': 29}","{'att': 280, 'def': 13}",7,4,4,0,1.3702,w,2022-10-03,1,0,0,3,0.02801,1.308869,6.5,1.891675,7.5,0.9463997142857143,5.857142857142857,1.821431,6.714285714285714
a,1.18125,1.14891,1.18125,1.14891,"{'att': 243, 'def': 28}","{'att': 338, 'def': 9}",8,7,1,2,1.38,l,2022-10-08,0,0,1,0,0.0323399999999998,1.1312365,5.75,1.7598075,7.75,0.98431225,6.0,1.746463375,6.375
h,0.973426,0.346808,0.973426,0.346808,"{'att': 293, 'def': 38}","{'att': 341, 'def': 14}",13,1,0,0,1.9329,d,2022-10-15,0,1,0,1,0.626618,1.2727325,7.25,1.7721125,6.75,1.0061942222222222,6.222222222222222,1.6800685555555555,6.444444444444445
h,0.655249,1.19464,0.655249,1.19464,"{'att': 299, 'def': 28}","{'att': 261, 'def': 30}",4,5,2,0,0.8526,w,2022-10-20,1,0,0,3,-0.539391,1.2497165,9.5,1.1758994999999999,4.5,1.0029173999999998,6.9,1.5467425000000001,5.9
a,0.989075,1.61785,0.989075,1.61785,"{'att': 332, 'def': 17}","{'att': 173, 'def': 7}",5,11,4,0,0.915,w,2022-10-23,1,0,0,3,-0.628775,1.01490625,8.0,0.9780120000000001,4.25,0.9713111818181818,6.636363636363637,1.5147331818181817,5.818181818181818
h,0.693597,0.703827,0.693597,0.703827,"{'att': 255, 'def': 8}","{'att': 254, 'def': 17}",2,14,0,1,1.3143,l,2022-10-29,0,0,1,0,-0.0102299999999999,0.9497500000000001,7.5,1.0770520000000001,6.0,0.9727915,6.5,1.52332625,6.25
a,2.2679,1.3729,2.2679,1.3729,"{'att': 236, 'def': 15}","{'att': 338, 'def': 15}",11,12,2,0,1.9554,w,2022-11-05,1,0,0,3,0.895,0.8278367499999999,6.0,0.96578125,7.75,0.9513149999999999,6.153846153846154,1.4602878461538462,6.846153846153846
a,1.60566,0.720721,0.844493,0.720721,"{'att': 268, 'def': 23}","{'att': 257, 'def': 21}",5,6,2,0,2.1716,w,2022-11-12,1,0,0,3,0.1237720000000001,1.15145525,5.5,1.22230425,10.5,1.0453567857142858,6.5,1.4540458571428572,7.214285714285714
h,0.31099,1.76382,0.31099,1.00265,"{'att': 209, 'def': 30}","{'att': 348, 'def': 15}",4,5,0,3,0.2514,l,2022-12-26,0,0,1,0,-0.69166,1.389058,5.75,1.1038245,10.75,1.0827103333333334,6.4,1.4051575333333333,7.133333333333334
a,0.863312,2.02463,0.863312,2.02463,"{'att': 353, 'def': 16}","{'att': 293, 'def': 20}",3,6,1,2,0.5978,l,2022-12-30,0,0,1,0,-1.161318,1.21953675,5.5,1.140317,9.25,1.0344778125,6.25,1.4275739375,7.0
h,1.45221,1.33493,1.45221,1.33493,"{'att': 175, 'def': 28}","{'att': 335, 'def': 22}",6,4,0,1,1.4493,l,2023-01-03,0,0,1,0,0.11728,1.2619654999999999,5.75,1.47051775,7.25,1.0599538750000002,6.125,1.495921625,7.1875
a,0.803421,1.75313,0.803421,1.75313,"{'att': 186, 'def': 16}","{'att': 324, 'def': 19}",3,6,0,2,0.6593,l,2023-01-14,0,0,1,0,-0.949709,1.0580429999999998,4.5,1.46102525,5.25,1.1075495624999998,6.1875,1.391186,6.8125
h,1.35941,1.94491,1.35941,1.94491,"{'att': 361, 'def': 11}","{'att': 206, 'def': 21}",2,12,2,2,0.9099,d,2023-01-21,0,1,0,1,-0.5854999999999999,0.8574832499999998,4.0,1.7191275000000001,5.25,1.142579125,6.0625,1.4231597500000002,6.9375
a,2.49784,1.4989,2.49784,1.4989,"{'att': 360, 'def': 27}","{'att': 193, 'def': 25}",5,15,4,2,2.0979,w,2023-02-04,1,0,0,3,0.9989400000000002,1.1195882499999998,3.5,1.7644000000000002,7.0,1.105027875,5.5625,1.4353941250000002,7.5
h,1.41208,1.11709,1.41208,1.11709,"{'att': 290, 'def': 41}","{'att': 259, 'def': 16}",6,4,4,1,1.5917,w,2023-02-11,1,0,0,3,0.2949900000000001,1.52822025,4.0,1.6329675000000001,9.25,1.2226887499999999,5.75,1.46034475,7.75
a,1.39678,4.24663,1.39678,4.24663,"{'att': 336, 'def': 29}","{'att': 232, 'def': 22}",7,12,0,3,0.1849,l,2023-02-19,0,0,1,0,-2.84985,1.51818775,4.0,1.5785075000000002,9.25,1.2443506249999998,5.875,1.359434125,7.375
h,0.0203463,0.722059,0.0203463,0.722059,"{'att': 283, 'def': 18}","{'att': 151, 'def': 19}",2,10,0,1,0.4856,l,2023-02-25,0,0,1,0,-0.7017127,1.6665275,5.0,2.2018825,10.75,1.23199375,5.6875,1.500711625,7.75
a,1.67051,1.34332,1.67051,0.582156,"{'att': 167, 'def': 28}","{'att': 341, 'def': 26}",12,1,0,1,1.6174,l,2023-03-04,0,0,1,0,1.0883539999999998,1.3317615749999998,5.0,1.89616975,10.25,1.15515914375,5.375,1.4694846875,8.125
h,2.36139,1.49478,2.36139,1.49478,"{'att': 331, 'def': 31}","{'att': 290, 'def': 22}",6,6,1,3,2.0371,l,2023-03-11,0,0,1,0,0.8666100000000001,1.1249290749999998,6.75,1.8572747500000002,6.75,1.1857378937499998,5.625,1.4816353125,7.75
a,1.42133,0.476467,1.42133,0.476467,"{'att': 247, 'def': 25}","{'att': 274, 'def': 30}",5,7,1,1,2.1993,d,2023-03-18,0,1,0,1,0.944863,1.362256575,6.75,1.95169725,7.25,1.2724856437499998,5.1875,1.5533835625,8.0625
a,0.198959,1.93471,0.198959,1.93471,"{'att': 227, 'def': 27}","{'att': 272, 'def': 21}",2,14,1,2,0.2256999999999999,l,2023-04-01,0,0,1,0,-1.735751,1.3683940749999999,6.25,1.0091565000000002,6.0,1.32036570625,5.25,1.50849775,8.1875
h,0.671597,1.00159,0.671597,1.00159,"{'att': 276, 'def': 27}","{'att': 156, 'def': 15}",2,11,1,2,1.0131,l,2023-04-04,0,0,1,0,-0.329993,1.41304725,6.25,1.3123192500000003,7.0,1.27098345625,5.0625,1.5283015,8.375
h,0.731965,1.92396,0.731965,1.92396,"{'att': 207, 'def': 17}","{'att': 235, 'def': 22}",5,7,0,1,0.5454,l,2023-04-08,0,0,1,0,-1.191995,1.163319,3.75,1.2268867500000002,9.5,1.26960845625,5.0625,1.5469116875,8.1875
a,1.92692,1.60702,1.92692,0.845854,"{'att': 414, 'def': 19}","{'att': 192, 'def': 20}",7,2,1,3,1.6119,l,2023-04-15,0,0,1,0,1.081066,0.7559627499999999,3.5,1.3341817500000002,9.75,1.17361251875,4.6875,1.5813529375,7.875
h,2.66929,0.59626,1.90812,0.59626,"{'att': 269, 'def': 19}","{'att': 188, 'def': 29}",5,5,2,1,2.7367000000000004,w,2023-04-22,1,0,0,3,1.31186,0.8823602499999998,4.0,1.6168200000000001,8.5,1.1936912687499999,4.8125,1.636746625,7.625
a,2.08594,2.09645,2.08594,2.09645,"{'att': 128, 'def': 25}","{'att': 211, 'def': 29}",7,2,1,1,1.3744,d,2023-04-25,0,1,0,1,-0.01051,1.499943,4.75,1.2822075000000002,6.25,1.3410850187499999,4.875,1.563774125,7.625
h,3.32486,3.28648,2.56369,2.52531,"{'att': 158, 'def': 21}","{'att': 226, 'def': 26}",5,9,2,2,1.4183,d,2023-05-01,0,1,0,1,0.0383799999999996,1.8535287499999997,6.0,1.5559225000000003,4.0,1.4174992687499999,5.125,1.568262875,7.375
a,2.92566,1.75276,1.31616,1.75276,"{'att': 298, 'def': 28}","{'att': 197, 'def': 27}",4,10,3,5,2.1988000000000003,l,2023-05-08,0,0,1,0,-0.4366000000000001,2.5017525,6.0,1.8965525000000003,4.5,1.53453989375,5.0625,1.6902347500000001,7.6875
h,0.527496,1.77085,0.527496,1.77085,"{'att': 365, 'def': 30}","{'att': 164, 'def': 30}",3,13,0,3,0.4529999999999999,l,2023-05-15,0,0,1,0,-1.243354,2.7514374999999998,5.25,1.9329875,6.5,1.6671798312500001,5.125,1.6902116249999999,7.9375
