h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,xG_rolling_4,deep_rolling_4,xGA_rolling_4,deep_allowed_rolling_4,xG_rolling_16,deep_rolling_16,xGA_rolling_16,deep_allowed_rolling_16
a,2.34111,1.26822,2.34111,0.507047,"{'att': 114, 'def': 18}","{'att': 351, 'def': 19}",11,4,2,2,2.2059,d,2022-08-06,0,1,0,1,1.834063,2.5443240000000005,15.6,1.1510154,4.0,2.5443240000000005,15.6,1.1510154,4.0
h,2.23596,1.64468,2.23596,1.64468,"{'att': 140, 'def': 41}","{'att': 454, 'def': 11}",20,2,1,1,1.7697,d,2022-08-15,0,1,0,1,0.59128,2.34111,11.0,1.26822,4.0,2.34111,11.0,1.26822,4.0
a,1.52301,2.01764,1.52301,2.01764,"{'att': 125, 'def': 19}","{'att': 354, 'def': 20}",16,8,1,2,1.0188,l,2022-08-22,0,0,1,0,-0.4946300000000001,2.288535,15.5,1.4564499999999998,3.0,2.288535,15.5,1.4564499999999998,3.0
h,4.86035,0.180991,4.86035,0.180991,"{'att': 160, 'def': 18}","{'att': 355, 'def': 12}",18,4,9,0,2.9969,w,2022-08-27,1,0,0,3,4.679359000000001,2.03336,15.666666666666666,1.6435133333333332,4.666666666666667,2.03336,15.666666666666666,1.6435133333333332,4.666666666666667
h,1.76119,0.643546,1.76119,0.643546,"{'att': 119, 'def': 12}","{'att': 361, 'def': 17}",13,2,2,1,2.2571,w,2022-08-31,1,0,0,3,1.117644,2.7401075,16.25,1.2778827499999998,4.5,2.7401075,16.25,1.2778827499999998,4.5
a,1.38617,1.39169,1.38617,1.39169,"{'att': 146, 'def': 24}","{'att': 254, 'def': 11}",12,10,0,0,1.3394,d,2022-09-03,0,1,0,1,-0.0055200000000001,2.5951275000000003,16.75,1.12171425,4.0,2.5443240000000005,15.6,1.1510154,4.0
h,2.1515,2.36567,2.1515,2.36567,"{'att': 259, 'def': 20}","{'att': 260, 'def': 15}",13,7,3,3,1.2212,d,2022-10-01,0,1,0,1,-0.2141700000000002,2.3826800000000006,14.75,1.05846675,6.0,2.3512983333333337,15.0,1.1911278333333333,5.0
a,0.765151,2.81968,0.765151,2.05851,"{'att': 174, 'def': 16}","{'att': 285, 'def': 17}",4,14,2,3,0.1379,l,2022-10-09,0,0,1,0,-1.293359,2.5398025,14.0,1.14547425,5.75,2.3227557142857145,14.714285714285714,1.3589195714285716,5.285714285714286
h,1.9992,0.911493,1.9992,0.911493,"{'att': 456, 'def': 16}","{'att': 239, 'def': 19}",6,17,1,0,2.1733,w,2022-10-16,1,0,0,3,1.087707,1.51600275,10.5,1.8051465,8.25,2.128055125,13.375,1.541514625,6.375
h,2.24066,2.48649,2.24066,1.72532,"{'att': 319, 'def': 25}","{'att': 374, 'def': 14}",8,4,1,0,1.1908,w,2022-10-19,1,0,0,3,0.5153400000000001,1.57550525,8.75,1.8721332499999999,12.0,2.113737888888889,12.555555555555555,1.4715122222222223,7.555555555555555
a,2.19752,2.50163,2.19752,2.50163,"{'att': 109, 'def': 20}","{'att': 372, 'def': 15}",13,6,0,1,1.1612,l,2022-10-22,0,0,1,0,-0.3041100000000001,1.78912775,7.75,2.14583325,10.5,2.1264301,12.1,1.57301,7.2
h,1.90889,1.61271,1.90889,1.61271,"{'att': 131, 'def': 12}","{'att': 410, 'def': 14}",14,6,1,2,1.5762,l,2022-10-29,0,0,1,0,0.2961799999999999,1.80063275,7.75,2.17982325,10.25,2.1328928181818183,12.181818181818182,1.65743,7.090909090909091
a,1.46548,1.81736,1.46548,1.81736,"{'att': 290, 'def': 17}","{'att': 371, 'def': 24}",7,4,2,1,1.1415,w,2022-11-06,1,0,0,3,-0.3518800000000002,2.0865675,10.25,1.87808075,8.25,2.114225916666667,12.333333333333334,1.6537033333333333,7.0
h,2.74418,1.43427,2.74418,1.43427,"{'att': 240, 'def': 12}","{'att': 436, 'def': 20}",10,9,3,1,2.2507,w,2022-11-12,1,0,0,3,1.30991,1.9531375,10.5,2.1045475,5.0,2.0643223846153846,11.923076923076923,1.6662923076923077,6.769230769230769
a,3.50694,1.69155,3.50694,1.69155,"{'att': 271, 'def': 22}","{'att': 330, 'def': 11}",8,5,3,1,2.4625000000000004,w,2022-12-26,1,0,0,3,1.81539,2.0790175,11.0,1.8414925,6.25,2.1128836428571427,11.785714285714286,1.6497192857142857,6.928571428571429
h,2.02463,0.863312,2.02463,0.863312,"{'att': 293, 'def': 20}","{'att': 353, 'def': 16}",6,3,2,1,2.1905,w,2022-12-30,1,0,0,3,1.161318,2.4063725,9.75,1.6389725,6.0,2.2058207333333333,11.533333333333333,1.652508,6.8
a,2.10461,2.0991,2.10461,2.0991,"{'att': 86, 'def': 18}","{'att': 274, 'def': 17}",19,0,1,3,1.3323999999999998,l,2023-01-02,0,0,1,0,0.0055100000000001,2.4353075000000004,7.75,1.4516229999999999,5.25,2.1944963125,11.1875,1.60318325,6.5625
a,1.28853,2.40062,1.28853,2.40062,"{'att': 418, 'def': 27}","{'att': 260, 'def': 20}",5,13,0,3,0.6101000000000001,l,2023-01-14,0,0,1,0,-1.11209,2.5950900000000003,10.75,1.522058,4.25,2.1797150625,11.6875,1.65511325,6.3125
h,1.30125,1.84467,1.30125,1.84467,"{'att': 338, 'def': 32}","{'att': 265, 'def': 27}",7,7,0,0,0.9706,d,2023-01-21,0,1,0,1,-0.54342,2.2311775000000003,9.5,1.7636455,5.25,2.1205006875000003,10.75,1.7023595,7.0
a,1.30193,2.63328,1.30193,2.63328,"{'att': 234, 'def': 20}","{'att': 306, 'def': 11}",14,5,0,3,0.5375,l,2023-02-04,0,0,1,0,-1.33135,1.679755,9.25,1.8019254999999998,5.75,2.1066406875,10.1875,1.691548875,6.9375
h,2.23291,0.402331,2.23291,0.402331,"{'att': 262, 'def': 24}","{'att': 389, 'def': 27}",7,3,2,0,2.6659,w,2023-02-13,1,0,0,3,1.830579,1.49908,11.25,2.2444175,6.25,1.8842394375,9.9375,1.8448169375,7.0
a,2.16549,1.74852,2.16549,1.74852,"{'att': 184, 'def': 26}","{'att': 412, 'def': 10}",7,5,2,0,1.6645,w,2023-02-18,1,0,0,3,0.41697,1.531155,8.25,1.82022525,7.0,1.9137219375,9.5625,1.829741,7.0625
a,1.35123,0.989086,1.35123,0.989086,"{'att': 158, 'def': 19}","{'att': 411, 'def': 22}",5,1,0,0,1.6729,d,2023-02-25,0,1,0,1,0.3621439999999999,1.7503950000000001,8.75,1.65720025,5.0,1.9624294375,9.25,1.852042875,6.75
h,2.70191,0.78681,2.70191,0.78681,"{'att': 267, 'def': 35}","{'att': 330, 'def': 39}",11,4,2,0,2.6343,w,2023-03-01,1,0,0,3,1.9151,1.76289,8.25,1.4433042499999997,3.5,1.9124125625000001,8.75,1.7660063750000001,6.375
h,3.44269,0.837542,3.44269,0.837542,"{'att': 137, 'def': 23}","{'att': 251, 'def': 19}",14,3,7,0,2.776,w,2023-03-05,1,0,0,3,2.605148,2.1128850000000003,7.5,0.9816867499999998,3.25,2.0334600000000003,9.1875,1.638952,5.75
a,2.13465,1.10128,1.37349,1.10128,"{'att': 135, 'def': 27}","{'att': 358, 'def': 13}",12,1,0,1,2.1862,l,2023-03-11,0,0,1,0,0.27221,2.41533,9.25,1.0904895,3.25,2.123678125,9.6875,1.6343300625,4.875
a,0.318171,3.01243,0.318171,3.01243,"{'att': 458, 'def': 18}","{'att': 220, 'def': 20}",3,18,1,4,0.0746,l,2023-04-01,0,0,1,0,-2.694259,2.40762,10.5,0.9286794999999999,2.25,2.1170525000000002,9.9375,1.5477544375,4.6875
a,0.202217,2.18903,0.202217,2.18903,"{'att': 323, 'def': 31}","{'att': 315, 'def': 20}",8,12,0,0,0.1217999999999999,d,2023-04-04,0,1,0,1,-1.986813,2.14935525,10.0,1.4345154999999998,6.5,1.9995931875,9.3125,1.5796794375,5.4375
h,4.64012,1.53631,3.87895,1.53631,"{'att': 193, 'def': 26}","{'att': 278, 'def': 21}",19,1,2,2,2.8477,d,2023-04-09,0,1,0,1,2.3426400000000003,1.524432,9.25,1.7850704999999998,8.5,1.892926125,8.9375,1.6156994375,5.8125
a,2.65476,1.16748,2.65476,1.16748,"{'att': 137, 'def': 32}","{'att': 550, 'def': 17}",13,2,6,1,2.3787000000000003,w,2023-04-17,1,0,0,3,1.48728,1.8237895,10.5,1.9597624999999999,8.0,2.091341125,9.6875,1.5981338125,5.625
h,3.32745,0.724666,3.32745,0.724666,"{'att': 43, 'def': 17}","{'att': 357, 'def': 11}",11,8,3,2,2.8212,w,2023-04-22,1,0,0,3,2.602784,1.953817,10.75,1.9763124999999997,8.25,2.085752375,9.875,1.5814594375,5.1875
a,1.7045,0.939348,1.7045,0.939348,"{'att': 153, 'def': 32}","{'att': 491, 'def': 19}",12,2,2,1,1.9903,w,2023-04-26,1,0,0,3,0.7651519999999999,2.7061367499999998,12.75,1.4043714999999999,5.75,2.07453425,10.0625,1.5210291875,5.375
h,2.42911,1.44927,1.66794,1.44927,"{'att': 210, 'def': 24}","{'att': 416, 'def': 15}",7,3,4,3,2.0989,w,2023-04-30,1,0,0,3,0.2186699999999999,3.0817075000000003,13.75,1.091951,3.25,2.0545261249999998,10.4375,1.5257814375,5.3125
h,1.67372,0.740125,0.912551,0.740125,"{'att': 279, 'def': 28}","{'att': 341, 'def': 12}",10,4,1,0,2.1703,w,2023-05-03,1,0,0,3,0.1724259999999999,2.528955,10.75,1.070191,3.75,2.074807375,9.6875,1.4851670625,5.5
h,1.992,0.183892,1.992,0.183892,"{'att': 177, 'def': 23}","{'att': 180, 'def': 20}",13,3,1,0,2.8452,w,2023-05-06,1,0,0,3,1.808108,2.2836950000000003,10.0,0.9633522499999998,4.25,2.09888175,10.0,1.381386125,4.9375
