h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,xG_rolling_3,deep_rolling_3,xGA_rolling_3,deep_allowed_rolling_3,xG_rolling_4,deep_rolling_4,xGA_rolling_4,deep_allowed_rolling_4,xG_rolling_5,deep_rolling_5,xGA_rolling_5,deep_allowed_rolling_5,xG_rolling_13,deep_rolling_13,xGA_rolling_13,deep_allowed_rolling_13,xG_rolling_16,deep_rolling_16,xGA_rolling_16,deep_allowed_rolling_16,xG_rolling_20,deep_rolling_20,xGA_rolling_20,deep_allowed_rolling_20
a,0.386546,1.6172,0.386546,1.6172,"{'att': 342, 'def': 22}","{'att': 171, 'def': 30}",7,12,1,4,0.4576,l,2022-08-06,0,0,1,0,-1.230654,1.1673772,5.8,1.3410756,8.8,1.1673772,5.8,1.3410756,8.8,1.1673772,5.8,1.3410756,8.8,1.1673772,5.8,1.3410756,8.8,1.1673772,5.8,1.3410756,8.8,1.1673772,5.8,1.3410756,8.8
h,1.40906,1.99694,1.40906,1.99694,"{'att': 252, 'def': 19}","{'att': 165, 'def': 34}",4,9,2,2,0.9052,d,2022-08-13,0,1,0,1,-0.58788,0.386546,7.0,1.6172,12.0,0.386546,7.0,1.6172,12.0,0.386546,7.0,1.6172,12.0,0.386546,7.0,1.6172,12.0,0.386546,7.0,1.6172,12.0,0.386546,7.0,1.6172,12.0
a,1.24155,0.242948,1.24155,0.242948,"{'att': 331, 'def': 21}","{'att': 149, 'def': 31}",4,5,2,1,2.282,w,2022-08-20,1,0,0,3,0.998602,0.897803,5.5,1.80707,10.5,0.897803,5.5,1.80707,10.5,0.897803,5.5,1.80707,10.5,0.897803,5.5,1.80707,10.5,0.897803,5.5,1.80707,10.5,0.897803,5.5,1.80707,10.5
h,1.35887,1.34359,1.35887,1.34359,"{'att': 201, 'def': 16}","{'att': 150, 'def': 18}",11,11,0,1,1.3067,l,2022-08-27,0,0,1,0,0.0152799999999999,1.0123853333333332,5.0,1.285696,8.666666666666666,1.0123853333333332,5.0,1.285696,8.666666666666666,1.0123853333333332,5.0,1.285696,8.666666666666666,1.0123853333333332,5.0,1.285696,8.666666666666666,1.0123853333333332,5.0,1.285696,8.666666666666666,1.0123853333333332,5.0,1.285696,8.666666666666666
h,1.44086,1.5047,1.44086,1.5047,"{'att': 291, 'def': 24}","{'att': 92, 'def': 27}",3,7,2,1,1.2903,w,2022-08-30,1,0,0,3,-0.0638399999999999,1.3364933333333333,6.333333333333333,1.1944926666666666,8.333333333333334,1.0990065,6.5,1.3001695,9.25,1.0990065,6.5,1.3001695,9.25,1.0990065,6.5,1.3001695,9.25,1.0990065,6.5,1.3001695,9.25,1.0990065,6.5,1.3001695,9.25
a,1.20838,1.10039,1.20838,1.10039,"{'att': 218, 'def': 29}","{'att': 178, 'def': 19}",12,8,0,1,1.4135,l,2022-09-03,0,0,1,0,0.10799,1.3470933333333333,6.0,1.0304126666666666,7.666666666666667,1.362585,5.5,1.2720445,8.0,1.1673772,5.8,1.3410756,8.8,1.1673772,5.8,1.3410756,8.8,1.1673772,5.8,1.3410756,8.8,1.1673772,5.8,1.3410756,8.8
a,0.218302,1.34365,0.218302,1.34365,"{'att': 201, 'def': 25}","{'att': 232, 'def': 39}",2,6,0,1,0.3137999999999999,l,2022-09-16,0,0,1,0,-1.125348,1.3360366666666668,8.666666666666666,1.3162266666666664,8.666666666666666,1.3124149999999999,7.5,1.047907,7.75,1.331744,6.8,1.2377135999999997,8.0,1.174211,6.833333333333333,1.3009613333333332,8.666666666666666,1.174211,6.833333333333333,1.3009613333333332,8.666666666666666,1.174211,6.833333333333333,1.3009613333333332,8.666666666666666
h,1.95961,1.99979,1.95961,1.99979,"{'att': 194, 'def': 21}","{'att': 231, 'def': 16}",12,4,1,2,1.3222999999999998,l,2022-10-01,0,0,1,0,-0.0401799999999998,0.9558473333333334,5.666666666666667,1.3162466666666666,7.0,1.0566030000000002,7.0,1.3230825,8.0,1.0935924,6.4,1.1070556,7.4,1.0376525714285714,6.142857142857143,1.3070597142857143,8.285714285714286,1.0376525714285714,6.142857142857143,1.3070597142857143,8.285714285714286,1.0376525714285714,6.142857142857143,1.3070597142857143,8.285714285714286
a,0.101148,2.73536,0.101148,2.73536,"{'att': 508, 'def': 19}","{'att': 227, 'def': 15}",0,12,0,4,0.0678,l,2022-10-08,0,0,1,0,-2.634212,1.128764,8.666666666666666,1.4812766666666668,6.0,1.206788,7.25,1.4871325,6.25,1.2372044,8.0,1.458424,7.2,1.15289725,6.875,1.393651,7.75,1.15289725,6.875,1.393651,7.75,1.15289725,6.875,1.393651,7.75
h,0.524479,1.70727,0.524479,1.70727,"{'att': 234, 'def': 13}","{'att': 146, 'def': 13}",2,8,1,1,0.5014,d,2022-10-16,0,1,0,1,-1.182791,0.7596866666666666,4.666666666666667,2.026266666666667,7.333333333333333,0.8718600000000001,6.5,1.7947975,7.5,0.98566,5.8,1.736778,7.4,1.0360362222222221,6.111111111111111,1.5427297777777778,8.222222222222221,1.0360362222222221,6.111111111111111,1.5427297777777778,8.222222222222221,1.0360362222222221,6.111111111111111,1.5427297777777778,8.222222222222221
a,1.23878,0.810452,1.23878,0.810452,"{'att': 273, 'def': 20}","{'att': 247, 'def': 21}",6,8,1,0,1.7622,w,2022-10-19,1,0,0,3,0.428328,0.8617456666666667,4.666666666666667,2.1474733333333336,8.0,0.7008847500000001,4.0,1.9465175000000001,7.5,0.8023838000000001,5.6,1.7772919999999999,7.6,0.9848805,5.7,1.5591838,8.2,0.9848805,5.7,1.5591838,8.2,0.9848805,5.7,1.5591838,8.2
