h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,xG_rolling_4,deep_rolling_4,xGA_rolling_4,deep_allowed_rolling_4,xG_rolling_16,deep_rolling_16,xGA_rolling_16,deep_allowed_rolling_16
h,0.541983,1.92315,0.541983,1.16198,"{'att': 264, 'def': 22}","{'att': 161, 'def': 26}",3,7,0,1,0.3517,l,2022-08-06,0,0,1,0,-0.619997,1.2355346,5.0,1.767569,7.8,1.2355346,5.0,1.767569,7.8
a,1.37507,2.66696,1.37507,2.66696,"{'att': 242, 'def': 13}","{'att': 214, 'def': 23}",4,13,1,2,0.4885,l,2022-08-13,0,0,1,0,-1.29189,0.541983,3.0,1.92315,7.0,0.541983,3.0,1.92315,7.0
h,1.43408,0.918315,1.43408,0.918315,"{'att': 242, 'def': 13}","{'att': 221, 'def': 14}",8,1,1,1,1.7744,d,2022-08-20,0,1,0,1,0.515765,0.9585265000000001,3.5,2.295055,10.0,0.9585265000000001,3.5,2.295055,10.0
a,1.65465,2.28391,1.65465,2.28391,"{'att': 261, 'def': 15}","{'att': 207, 'def': 18}",7,9,1,1,0.911,d,2022-08-27,0,1,0,1,-0.6292600000000002,1.1170443333333333,5.0,1.8361416666666666,7.0,1.1170443333333333,5.0,1.8361416666666666,7.0
a,1.17189,1.04551,1.17189,1.04551,"{'att': 341, 'def': 25}","{'att': 164, 'def': 28}",3,9,1,1,1.4663,d,2022-08-30,0,1,0,1,0.1263800000000001,1.25144575,5.5,1.94808375,7.5,1.25144575,5.5,1.94808375,7.5
h,1.39169,1.38617,1.39169,1.38617,"{'att': 254, 'def': 11}","{'att': 146, 'def': 24}",10,12,0,0,1.3898,d,2022-09-03,0,1,0,1,0.0055200000000001,1.4089225,5.5,1.72867375,8.0,1.2355346,5.0,1.767569,7.8
h,0.39773,0.655351,0.39773,0.655351,"{'att': 201, 'def': 13}","{'att': 239, 'def': 21}",3,2,1,0,1.0071,w,2022-09-18,1,0,0,3,-0.257621,1.4130775,7.0,1.4084762499999999,7.75,1.2615605,5.833333333333333,1.7040024999999999,8.5
a,1.99979,1.95961,1.99979,1.95961,"{'att': 231, 'def': 16}","{'att': 194, 'def': 21}",4,12,2,1,1.4327,w,2022-10-01,1,0,0,3,0.0401799999999998,1.15399,5.75,1.3427352499999998,8.0,1.138156142857143,5.428571428571429,1.5541951428571428,7.571428571428571
h,0.365844,1.82612,0.365844,1.82612,"{'att': 338, 'def': 17}","{'att': 202, 'def': 23}",7,8,1,2,0.3113,l,2022-10-09,0,0,1,0,-1.460276,1.240275,5.0,1.2616602499999998,8.75,1.245860375,5.25,1.6048719999999999,8.125
a,0.560039,2.49409,0.560039,1.73292,"{'att': 351, 'def': 14}","{'att': 250, 'def': 20}",0,8,0,2,0.2183,l,2022-10-15,0,0,1,0,-1.172881,1.0387635,6.0,1.4568127499999997,8.5,1.1480807777777777,5.444444444444445,1.629455111111111,8.11111111111111
a,0.0609567,1.13393,0.0609567,1.13393,"{'att': 218, 'def': 20}","{'att': 249, 'def': 26}",5,8,0,1,0.3695,l,2022-10-19,0,0,1,0,-1.0729733,0.83085075,3.5,1.7337927499999997,7.5,1.0892766,4.9,1.7159185999999997,8.1
h,1.93396,0.597167,1.93396,0.597167,"{'att': 280, 'def': 29}","{'att': 206, 'def': 24}",5,4,3,0,2.4649,w,2022-10-22,1,0,0,3,1.336793,0.746657425,4.0,1.8534374999999998,9.0,0.9957929727272727,4.909090909090909,1.6630105454545452,8.090909090909092
a,1.19166,1.76438,1.19166,1.76438,"{'att': 249, 'def': 11}","{'att': 223, 'def': 20}",2,11,0,0,0.9375,d,2022-10-29,0,1,0,1,-0.5727200000000001,0.730199925,4.25,1.5128267499999997,7.0,1.0739735583333332,4.916666666666667,1.57419025,7.75
h,1.3729,2.2679,1.3729,2.2679,"{'att': 338, 'def': 15}","{'att': 236, 'def': 15}",12,11,0,2,0.8298,l,2022-11-05,0,0,1,0,-0.895,0.9366539249999999,3.0,1.4973917499999998,7.75,1.0830263615384614,4.6923076923076925,1.5888202307692307,8.0
a,0.768756,2.45642,0.768756,2.45642,"{'att': 143, 'def': 26}","{'att': 314, 'def': 14}",7,8,0,3,0.3039,l,2022-11-12,0,0,1,0,-1.687664,1.139869175,6.0,1.4408442499999998,8.5,1.1037316214285713,5.214285714285714,1.6373259285714286,8.214285714285714
h,1.22653,1.22076,1.22653,1.22076,"{'att': 189, 'def': 22}","{'att': 329, 'def': 35}",4,6,1,2,1.3318,l,2022-12-26,0,0,1,0,0.0057699999999998,1.316819,6.5,1.7714667499999996,8.5,1.0813999133333332,5.333333333333333,1.6919321999999999,8.2
a,0.0760019,2.36333,0.0760019,2.36333,"{'att': 339, 'def': 10}","{'att': 145, 'def': 29}",2,13,1,1,0.076,d,2022-12-31,0,1,0,1,-2.2873281,1.1399615,6.25,1.9273649999999998,9.0,1.09047054375,5.25,1.6624839375,8.0625
h,1.16896,2.50731,0.407788,2.50731,"{'att': 335, 'def': 15}","{'att': 318, 'def': 15}",4,4,1,4,0.4971,l,2023-01-03,0,0,1,0,-2.099522,0.861046975,6.25,2.0771024999999996,9.5,1.0613467250000002,5.1875,1.6899951875,8.4375
h,1.18191,1.08412,1.18191,1.08412,"{'att': 183, 'def': 14}","{'att': 171, 'def': 25}",4,8,1,2,1.4442,l,2023-01-14,0,0,1,0,0.09779,0.810061975,4.25,2.136955,7.75,1.04846485,5.1875,1.6800170625,7.875
