h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,xG_rolling_4,deep_rolling_4,xGA_rolling_4,deep_allowed_rolling_4,xG_rolling_16,deep_rolling_16,xGA_rolling_16,deep_allowed_rolling_16
h,0.588341,0.488895,0.588341,0.488895,"{'att': 292, 'def': 25}","{'att': 152, 'def': 23}",3,11,2,0,1.4036,w,2022-08-06,1,0,0,3,0.0994459999999999,0.2933296,3.0,2.0566310000000003,12.4,0.2933296,3.0,2.0566310000000003,12.4
a,0.123946,1.69064,0.123946,1.69064,"{'att': 307, 'def': 6}","{'att': 231, 'def': 19}",0,11,0,4,0.2243,l,2022-08-13,0,0,1,0,-1.566694,0.588341,3.0,0.488895,11.0,0.588341,3.0,0.488895,11.0
h,0.211335,1.71081,0.211335,1.71081,"{'att': 360, 'def': 23}","{'att': 218, 'def': 25}",1,8,0,3,0.242,l,2022-08-20,0,0,1,0,-1.499475,0.3561435,1.5,1.0897675,11.0,0.3561435,1.5,1.0897675,11.0
a,0.180991,4.86035,0.180991,4.86035,"{'att': 355, 'def': 12}","{'att': 160, 'def': 18}",4,18,0,9,0.0017,l,2022-08-27,0,0,1,0,-4.679359000000001,0.307874,1.3333333333333333,1.2967816666666667,10.0,0.307874,1.3333333333333333,1.2967816666666667,10.0
h,0.362035,1.53246,0.362035,1.53246,"{'att': 317, 'def': 18}","{'att': 164, 'def': 24}",7,14,0,0,0.4185,d,2022-08-31,0,1,0,1,-1.1704249999999998,0.27615325,2.0,2.18767375,12.0,0.27615325,2.0,2.18767375,12.0
a,0.905041,1.32895,0.905041,0.567779,"{'att': 251, 'def': 16}","{'att': 232, 'def': 17}",10,6,3,2,0.9244,w,2022-09-03,1,0,0,3,0.3372619999999999,0.21957675,3.0,2.4485650000000003,12.75,0.29332959999999997,3.0,2.0566310000000003,12.4
a,0.976948,1.54758,0.976948,0.786407,"{'att': 285, 'def': 14}","{'att': 123, 'def': 29}",5,18,1,1,0.8562000000000001,d,2022-09-17,0,1,0,1,0.190541,0.4148505,5.5,2.3581425,11.5,0.3952815,4.166666666666667,1.9353508333333334,11.333333333333334
h,0.758128,1.046,0.758128,1.046,"{'att': 305, 'def': 16}","{'att': 191, 'def': 25}",6,9,0,0,1.0694,d,2022-10-01,0,1,0,1,-0.287872,0.60625375,6.5,2.317335,14.0,0.4783767142857143,4.285714285714286,1.879955,12.285714285714286
h,1.14891,1.18125,1.14891,1.18125,"{'att': 338, 'def': 9}","{'att': 243, 'def': 28}",7,8,2,1,1.2888,w,2022-10-08,1,0,0,3,-0.0323399999999998,0.7505379999999999,7.0,1.3637475000000001,11.75,0.513345625,4.5,1.775710625,11.875
a,1.62829,1.61738,1.62829,0.856206,"{'att': 299, 'def': 20}","{'att': 132, 'def': 16}",4,8,2,2,1.3628,d,2022-10-15,0,1,0,1,0.772084,0.9472567500000001,7.0,1.275945,10.25,0.583963888888889,4.777777777777778,1.7096594444444446,11.444444444444445
