h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,xG_rolling_4,deep_rolling_4,xGA_rolling_4,deep_allowed_rolling_4,xG_rolling_16,deep_rolling_16,xGA_rolling_16,deep_allowed_rolling_16
h,1.8591,0.235825,1.8591,0.235825,"{'att': 152, 'def': 25}","{'att': 200, 'def': 15}",24,2,2,0,2.5764000000000005,w,2022-08-06,1,0,0,3,1.623275,1.3665835999999998,10.0,1.6823329999999999,8.4,1.3665835999999998,10.0,1.6823329999999999,8.4
a,0.183952,1.60835,0.183952,1.60835,"{'att': 158, 'def': 17}","{'att': 151, 'def': 24}",2,15,0,0,0.2676,d,2022-08-13,0,1,0,1,-1.424398,1.8591,24.0,0.235825,2.0,1.8591,24.0,0.235825,2.0
h,2.2127,3.67382,2.2127,3.67382,"{'att': 350, 'def': 29}","{'att': 122, 'def': 18}",9,9,3,3,0.6023,d,2022-08-21,0,1,0,1,-1.4611200000000002,1.021526,13.0,0.9220875,8.5,1.021526,13.0,0.9220875,8.5
a,1.93362,1.13248,1.93362,1.13248,"{'att': 123, 'def': 13}","{'att': 246, 'def': 13}",13,3,1,1,1.9598,d,2022-08-28,0,1,0,1,0.80114,1.4185839999999998,11.666666666666666,1.8393316666666666,8.666666666666666,1.4185839999999998,11.666666666666666,1.8393316666666666,8.666666666666666
a,0.643546,1.76119,0.643546,1.76119,"{'att': 361, 'def': 17}","{'att': 119, 'def': 12}",2,13,1,2,0.5213,l,2022-08-31,0,0,1,0,-1.117644,1.547343,12.0,1.66261875,7.25,1.547343,12.0,1.66261875,7.25
h,2.90672,0.920595,2.90672,0.920595,"{'att': 208, 'def': 33}","{'att': 178, 'def': 15}",10,4,0,0,2.5724,d,2022-09-03,0,1,0,1,1.986125,1.2434545,6.5,2.0439599999999998,10.0,1.3665835999999998,10.0,1.6823329999999999,8.4
h,1.54758,0.976948,0.786407,0.976948,"{'att': 123, 'def': 29}","{'att': 285, 'def': 14}",18,5,1,1,1.8408,d,2022-09-17,0,1,0,1,-0.190541,1.9241464999999998,8.5,1.87202125,7.25,1.623273,10.0,1.5553766666666666,7.666666666666667
a,4.67198,0.683701,4.67198,0.683701,"{'att': 147, 'def': 18}","{'att': 354, 'def': 11}",17,5,4,1,2.9858,w,2022-10-01,1,0,0,3,3.988279,1.7578665,10.75,1.19780325,6.25,1.6124597142857142,11.142857142857142,1.472744,7.285714285714286
h,2.44631,1.13466,2.44631,0.373493,"{'att': 170, 'def': 22}","{'att': 183, 'def': 20}",9,4,5,1,2.3994,w,2022-10-08,1,0,0,3,2.072817,2.4424564999999996,11.75,1.0856085,6.75,1.9948997499999999,11.875,1.3741136250000001,7.0
a,0.78815,1.41606,0.78815,1.41606,"{'att': 239, 'def': 18}","{'att': 153, 'def': 17}",9,8,0,0,0.7922,d,2022-10-16,0,1,0,1,-0.6279100000000001,2.8931474999999995,13.5,0.928976,4.5,2.045056444444444,11.555555555555555,1.3475076666666665,6.666666666666667
