h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,xG_rolling_4,deep_rolling_4,xGA_rolling_4,deep_allowed_rolling_4,xG_rolling_16,deep_rolling_16,xGA_rolling_16,deep_allowed_rolling_16
h,1.26822,2.34111,0.507047,2.34111,"{'att': 351, 'def': 19}","{'att': 114, 'def': 18}",4,11,2,2,0.5808,d,2022-08-06,0,1,0,1,-1.834063,1.4505253999999999,4.2,1.8275730000000003,8.2,1.4505253999999999,4.2,1.8275730000000003,8.2
a,1.08813,0.975375,0.326966,0.975375,"{'att': 309, 'def': 21}","{'att': 176, 'def': 15}",2,1,0,0,1.4798000000000002,d,2022-08-13,0,1,0,1,-0.648409,1.26822,4.0,2.34111,11.0,1.26822,4.0,2.34111,11.0
h,2.89934,1.59352,2.89934,1.59352,"{'att': 231, 'def': 24}","{'att': 145, 'def': 13}",7,8,3,2,2.2969,w,2022-08-20,1,0,0,3,1.30582,1.178175,3.0,1.6582425,6.0,1.178175,3.0,1.6582425,6.0
a,0.926007,2.47427,0.926007,2.47427,"{'att': 327, 'def': 22}","{'att': 103, 'def': 19}",1,17,1,2,0.3972,l,2022-08-27,0,0,1,0,-1.5482630000000002,1.7518966666666664,4.333333333333333,1.6366683333333334,6.666666666666667,1.7518966666666664,4.333333333333333,1.6366683333333334,6.666666666666667
h,1.07093,1.75359,1.07093,0.992416,"{'att': 310, 'def': 22}","{'att': 198, 'def': 30}",7,4,2,1,0.7675,w,2022-08-30,1,0,0,3,0.0785139999999999,1.54542425,3.5,1.8460687500000001,9.25,1.54542425,3.5,1.8460687500000001,9.25
a,0.381556,2.67823,0.381556,2.67823,"{'att': 292, 'def': 18}","{'att': 229, 'def': 19}",1,16,1,2,0.1251,l,2022-09-03,0,0,1,0,-2.2966740000000003,1.4961017500000002,4.25,1.6991887499999998,7.5,1.4505254,4.2,1.827573,8.2
a,1.3496,1.41541,1.3496,1.41541,"{'att': 218, 'def': 18}","{'att': 306, 'def': 19}",2,2,3,2,1.3054,w,2022-09-16,1,0,0,3,-0.0658100000000001,1.31945825,4.0,2.1249025,11.25,1.2723638333333334,3.6666666666666665,1.9693491666666667,9.5
h,0.683701,4.67198,0.683701,4.67198,"{'att': 354, 'def': 11}","{'att': 147, 'def': 18}",5,17,1,4,0.0083,l,2022-10-01,0,0,1,0,-3.988279,0.93202325,2.75,2.080375,9.75,1.2833975714285712,3.4285714285714284,1.890215,8.428571428571429
a,0.549848,3.43676,0.549848,2.67559,"{'att': 269, 'def': 15}","{'att': 277, 'def': 9}",5,7,1,3,0.0618,l,2022-10-09,0,0,1,0,-2.125742,0.87144675,3.75,2.6298025,9.75,1.2084355,3.625,2.237935625,9.5
h,1.61738,1.62829,0.856206,1.62829,"{'att': 132, 'def': 16}","{'att': 299, 'def': 20}",8,4,2,2,1.3505,d,2022-10-15,0,1,0,1,-0.772084,0.74117625,3.25,3.050595,10.5,1.135259111111111,3.7777777777777777,2.371138333333333,9.222222222222221
h,2.892,0.711487,2.13083,0.711487,"{'att': 169, 'def': 15}","{'att': 279, 'def': 15}",8,2,3,0,2.7297,w,2022-10-20,1,0,0,3,1.419343,1.0501322499999999,5.0,2.7881099999999996,7.5,1.1834712,4.2,2.2968535,8.7
a,2.47512,1.96384,2.47512,1.96384,"{'att': 279, 'def': 19}","{'att': 181, 'def': 30}",3,8,3,2,1.7397,w,2022-10-23,1,0,0,3,0.51128,1.43573225,6.5,2.6121292499999997,7.5,1.338792,4.545454545454546,2.1527292727272727,8.090909090909092
h,1.76438,1.19166,1.76438,1.19166,"{'att': 223, 'def': 20}","{'att': 249, 'def': 11}",11,2,0,0,1.7925,d,2022-10-29,0,1,0,1,0.5727200000000001,1.883587,6.0,1.9350942500000001,5.25,1.433486,4.416666666666667,2.1369884999999997,8.083333333333334
a,0.843884,2.39332,0.0827148,1.63215,"{'att': 461, 'def': 13}","{'att': 193, 'def': 16}",1,11,1,2,0.2887,l,2022-11-05,0,0,1,0,-1.5494352,2.18722,7.5,1.3738192500000002,4.0,1.4589393846153844,4.923076923076923,2.064270923076923,7.615384615384615
h,1.70218,3.37664,1.70218,3.37664,"{'att': 249, 'def': 21}","{'att': 245, 'def': 12}",6,6,1,2,0.4,l,2022-11-13,0,0,1,0,-1.67446,1.993846,5.75,1.56507675,5.75,1.4150068571428573,4.642857142857143,2.0877744285714286,7.857142857142857
a,2.69927,0.421754,2.69927,0.421754,"{'att': 243, 'def': 28}","{'att': 326, 'def': 18}",13,2,3,0,2.7766,w,2022-12-26,1,0,0,3,2.277516,1.696391,5.25,2.2313650000000003,6.75,1.4341517333333333,4.733333333333333,2.1736988,7.733333333333333
h,1.49305,0.698711,0.731881,0.698711,"{'att': 158, 'def': 21}","{'att': 299, 'def': 22}",6,2,2,1,2.1262,w,2022-12-31,1,0,0,3,0.03317,1.7524285000000002,7.75,1.8458435000000002,5.25,1.513221625,5.25,2.06420225,7.375
a,1.33493,1.45221,1.33493,1.45221,"{'att': 335, 'def': 22}","{'att': 175, 'def': 28}",4,6,1,0,1.2708,w,2023-01-03,1,0,0,3,-0.11728,1.6845959999999998,6.5,1.7226062500000001,5.25,1.5272735,5.375,1.9615523125,6.8125
h,0.711266,2.39911,0.711266,2.39911,"{'att': 321, 'def': 22}","{'att': 227, 'def': 26}",2,7,2,1,0.2999,w,2023-01-12,1,0,0,3,-1.687844,1.8073575,7.25,1.48732875,4.0,1.5426985,5.5,1.9913545,7.125
a,0.989872,1.96256,0.228703,1.96256,"{'att': 221, 'def': 15}","{'att': 148, 'def': 24}",3,13,0,1,0.6275,l,2023-01-15,0,0,1,0,-1.733857,1.559629,6.25,1.24294625,4.25,1.405943875,5.1875,2.041703875,7.0625
