h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,xG_rolling_4,deep_rolling_4,xGA_rolling_4,deep_allowed_rolling_4,xG_rolling_16,deep_rolling_16,xGA_rolling_16,deep_allowed_rolling_16
a,2.58739,0.246188,1.82623,0.246188,"{'att': 153, 'def': 6}","{'att': 520, 'def': 20}",11,2,2,0,2.8649,w,2022-08-07,1,0,0,3,1.580042,2.8349480000000002,12.4,0.6809124,2.6,2.8349480000000002,12.4,0.6809124,2.6
h,1.69064,0.123946,1.69064,0.123946,"{'att': 231, 'def': 19}","{'att': 307, 'def': 6}",11,0,4,0,2.6036,w,2022-08-13,1,0,0,3,1.566694,2.58739,11.0,0.246188,2.0,2.58739,11.0,0.246188,2.0
a,3.67382,2.2127,3.67382,2.2127,"{'att': 122, 'def': 18}","{'att': 350, 'def': 29}",9,9,3,3,2.2403,d,2022-08-21,0,1,0,1,1.4611200000000002,2.139015,11.0,0.18506699999999998,1.0,2.139015,11.0,0.18506699999999998,1.0
h,2.3853,0.091976,2.3853,0.091976,"{'att': 145, 'def': 21}","{'att': 336, 'def': 6}",18,1,4,2,2.8698,w,2022-08-27,1,0,0,3,2.293324,2.6506166666666666,10.333333333333334,0.8609446666666667,3.6666666666666665,2.6506166666666666,10.333333333333334,0.8609446666666667,3.6666666666666665
h,3.83759,0.729752,3.83759,0.729752,"{'att': 147, 'def': 23}","{'att': 464, 'def': 10}",13,1,6,0,2.8749,w,2022-08-31,1,0,0,3,3.107838,2.5842875000000003,12.25,0.6687025,3.0,2.5842875000000003,12.25,0.6687025,3.0
a,1.92143,0.279392,1.92143,0.279392,"{'att': 149, 'def': 11}","{'att': 483, 'def': 11}",12,2,1,1,2.6436,d,2022-09-03,0,1,0,1,1.642038,2.8968375,12.75,0.7895935000000001,2.75,2.834948,12.4,0.6809124000000001,2.6
a,1.4242,0.310995,1.4242,0.310995,"{'att': 301, 'def': 21}","{'att': 419, 'def': 23}",8,4,3,0,2.3667,w,2022-09-17,1,0,0,3,1.1132049999999998,2.954535,13.0,0.8284549999999999,3.25,2.6826950000000003,12.333333333333334,0.6139923333333334,2.5
h,3.01103,1.71335,3.01103,0.952176,"{'att': 288, 'def': 19}","{'att': 372, 'def': 19}",17,5,6,3,2.2432,w,2022-10-02,1,0,0,3,2.058854,2.3921300000000003,12.75,0.35302875,2.0,2.50291,11.714285714285714,0.570707,2.7142857142857144
h,2.73536,0.101148,2.73536,0.101148,"{'att': 227, 'def': 15}","{'att': 508, 'def': 19}",12,0,4,0,2.8791,w,2022-10-08,1,0,0,3,2.634212,2.5485625,12.5,0.75837225,3.0,2.566425,12.375,0.713537375,3.0
a,0.911493,1.9992,0.911493,1.9992,"{'att': 239, 'def': 19}","{'att': 456, 'def': 16}",17,6,0,1,0.6178,l,2022-10-16,0,0,1,0,-1.087707,2.273005,12.25,0.6012212499999999,2.75,2.585195555555556,12.333333333333334,0.6454941111111111,2.6666666666666665
