h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,xG_rolling_3,deep_rolling_3,xGA_rolling_3,deep_allowed_rolling_3,xG_rolling_4,deep_rolling_4,xGA_rolling_4,deep_allowed_rolling_4,xG_rolling_5,deep_rolling_5,xGA_rolling_5,deep_allowed_rolling_5,xG_rolling_13,deep_rolling_13,xGA_rolling_13,deep_allowed_rolling_13,xG_rolling_16,deep_rolling_16,xGA_rolling_16,deep_allowed_rolling_16,xG_rolling_20,deep_rolling_20,xGA_rolling_20,deep_allowed_rolling_20
h,0.342601,3.92906,0.342601,3.92906,"{'att': 338, 'def': 18}","{'att': 201, 'def': 23}",2,13,0,2,0.0257999999999999,l,2024-08-17,0,0,1,0,-3.586459,0.7791942,2.2,2.570232,10.2,0.7791942,2.2,2.570232,10.2,0.7791942,2.2,2.570232,10.2,0.7791942,2.2,2.570232,10.2,0.7791942,2.2,2.570232,10.2,0.7791942,2.2,2.570232,10.2
a,0.479999,3.07818,0.479999,2.31701,"{'att': 296, 'def': 17}","{'att': 163, 'def': 20}",1,15,1,4,0.0688999999999999,l,2024-08-24,0,0,1,0,-1.837011,0.342601,2.0,3.92906,13.0,0.342601,2.0,3.92906,13.0,0.342601,2.0,3.92906,13.0,0.342601,2.0,3.92906,13.0,0.342601,2.0,3.92906,13.0,0.342601,2.0,3.92906,13.0
h,0.707048,1.18883,0.707048,1.18883,"{'att': 250, 'def': 27}","{'att': 229, 'def': 21}",2,4,1,1,0.9218,d,2024-08-31,0,1,0,1,-0.481782,0.4113,1.5,3.50362,14.0,0.4113,1.5,3.50362,14.0,0.4113,1.5,3.50362,14.0,0.4113,1.5,3.50362,14.0,0.4113,1.5,3.50362,14.0,0.4113,1.5,3.50362,14.0
a,0.721323,1.75696,0.721323,1.75696,"{'att': 324, 'def': 22}","{'att': 146, 'def': 38}",1,12,0,0,0.519,d,2024-09-14,0,1,0,1,-1.035637,0.5098826666666666,1.6666666666666667,2.7320233333333337,10.666666666666666,0.5098826666666666,1.6666666666666667,2.7320233333333337,10.666666666666666,0.5098826666666666,1.6666666666666667,2.7320233333333337,10.666666666666666,0.5098826666666666,1.6666666666666667,2.7320233333333337,10.666666666666666,0.5098826666666666,1.6666666666666667,2.7320233333333337,10.666666666666666,0.5098826666666666,1.6666666666666667,2.7320233333333337,10.666666666666666
a,1.645,2.89813,1.645,2.89813,"{'att': 314, 'def': 34}","{'att': 220, 'def': 25}",5,7,1,1,0.5590999999999999,d,2024-09-21,0,1,0,1,-1.25313,0.6361233333333334,1.3333333333333333,2.00799,10.333333333333334,0.56274275,1.5,2.4882575,11.0,0.56274275,1.5,2.4882575,11.0,0.56274275,1.5,2.4882575,11.0,0.56274275,1.5,2.4882575,11.0,0.56274275,1.5,2.4882575,11.0
h,1.84608,1.14494,1.84608,1.14494,"{'att': 265, 'def': 16}","{'att': 262, 'def': 22}",6,5,2,2,1.9245,d,2024-09-29,0,1,0,1,0.7011399999999999,1.024457,2.6666666666666665,1.9479733333333336,7.666666666666667,0.8883425,2.25,2.230525,9.5,0.7791942000000001,2.2,2.570232,10.2,0.7791942000000001,2.2,2.570232,10.2,0.7791942000000001,2.2,2.570232,10.2,0.7791942000000001,2.2,2.570232,10.2
a,1.18463,4.39402,1.18463,4.39402,"{'att': 337, 'def': 23}","{'att': 244, 'def': 15}",6,6,1,4,0.0715,l,2024-10-05,0,0,1,0,-3.20939,1.4041343333333334,4.0,1.9333433333333332,8.0,1.22986275,3.5,1.7472150000000002,7.0,1.07989,3.0,2.013408,8.6,0.9570085,2.8333333333333335,2.332683333333333,9.333333333333334,0.9570085,2.8333333333333335,2.332683333333333,9.333333333333334,0.9570085,2.8333333333333335,2.332683333333333,9.333333333333334
h,1.174,1.60804,1.174,1.60804,"{'att': 240, 'def': 21}","{'att': 302, 'def': 19}",3,9,0,2,1.0132,l,2024-10-19,0,0,1,0,-0.43404,1.5585700000000002,5.666666666666667,2.8123633333333338,6.0,1.34925825,4.5,2.5485125,7.5,1.2208162000000002,4.0,2.276576,6.8,0.9895258571428572,3.2857142857142856,2.6271600000000004,8.857142857142858,0.9895258571428572,3.2857142857142856,2.6271600000000004,8.857142857142858,0.9895258571428572,3.2857142857142856,2.6271600000000004,8.857142857142858
a,1.65698,4.09663,1.65698,3.33546,"{'att': 354, 'def': 19}","{'att': 119, 'def': 15}",6,9,3,4,0.2695,l,2024-10-26,0,0,1,0,-1.67848,1.4015699999999998,5.0,2.382333333333334,6.666666666666667,1.4624275,5.0,2.5112825,6.75,1.3142066,4.2,2.360418,7.8,1.012585125,3.25,2.4997700000000003,8.875,1.012585125,3.25,2.4997700000000003,8.875,1.012585125,3.25,2.4997700000000003,8.875
h,1.33617,2.33858,1.33617,2.33858,"{'att': 249, 'def': 22}","{'att': 138, 'def': 13}",4,10,1,1,0.6904,d,2024-11-02,0,1,0,1,-1.0024099999999998,1.3385366666666665,5.0,3.3662300000000003,8.0,1.4654224999999999,5.25,2.8109075,7.25,1.501338,5.2,2.828352,7.2,1.0841845555555556,3.5555555555555554,2.6771988888888893,8.88888888888889,1.0841845555555556,3.5555555555555554,2.6771988888888893,8.88888888888889,1.0841845555555556,3.5555555555555554,2.6771988888888893,8.88888888888889
