h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,xG_rolling_4,deep_rolling_4,xGA_rolling_4,deep_allowed_rolling_4,xG_rolling_16,deep_rolling_16,xGA_rolling_16,deep_allowed_rolling_16
a,0.235825,1.8591,0.235825,1.8591,"{'att': 200, 'def': 15}","{'att': 152, 'def': 25}",2,24,0,2,0.2541,l,2022-08-06,0,0,1,0,-1.623275,0.9313922000000001,3.8,2.3323679999999998,11.6,0.9313922000000001,3.8,2.3323679999999998,11.6
h,1.9717,2.08634,1.9717,1.32517,"{'att': 173, 'def': 16}","{'att': 123, 'def': 15}",4,7,1,0,1.2978,w,2022-08-14,1,0,0,3,0.64653,0.235825,2.0,1.8591,24.0,0.235825,2.0,1.8591,24.0
a,0.918315,1.43408,0.918315,1.43408,"{'att': 221, 'def': 14}","{'att': 242, 'def': 13}",1,8,1,1,0.9539,d,2022-08-20,0,1,0,1,-0.515765,1.1037625,3.0,1.9727199999999998,15.5,1.1037625,3.0,1.9727199999999998,15.5
h,0.801369,2.44473,0.801369,1.68356,"{'att': 282, 'def': 29}","{'att': 272, 'def': 18}",11,6,0,2,0.3642,l,2022-08-28,0,0,1,0,-0.882191,1.0419466666666668,2.3333333333333335,1.793173333333333,13.0,1.0419466666666668,2.3333333333333335,1.793173333333333,13.0
a,0.729752,3.83759,0.729752,3.83759,"{'att': 464, 'def': 10}","{'att': 147, 'def': 23}",1,13,0,6,0.0807,l,2022-08-31,0,0,1,0,-3.107838,0.98180225,4.5,1.9560624999999998,11.25,0.98180225,4.5,1.9560624999999998,11.25
h,1.32895,0.905041,0.567779,0.905041,"{'att': 232, 'def': 17}","{'att': 251, 'def': 16}",6,10,2,3,1.7698,l,2022-09-03,0,0,1,0,-0.3372619999999999,1.105284,4.25,2.450685,8.5,0.9313922,3.8,2.3323679999999998,11.6
h,1.41541,1.3496,1.41541,1.3496,"{'att': 306, 'def': 19}","{'att': 218, 'def': 18}",2,2,2,3,1.4134000000000002,l,2022-09-16,0,0,1,0,0.0658100000000001,0.9445965000000001,4.75,2.1553602499999998,9.25,0.9976518333333333,4.166666666666667,2.0944801666666666,11.333333333333334
a,1.22169,1.2497,1.22169,1.2497,"{'att': 280, 'def': 13}","{'att': 291, 'def': 29}",4,7,0,4,1.345,l,2022-10-03,0,0,1,0,-0.02801,1.06887025,5.0,2.13424025,7.75,1.0573315714285714,3.857142857142857,1.988068714285714,10.0
h,0.221346,0.657187,0.221346,0.657187,"{'att': 278, 'def': 11}","{'att': 157, 'def': 22}",0,9,1,1,0.7877000000000001,d,2022-10-10,0,1,0,1,-0.435841,1.1739505000000001,3.25,1.83548275,8.0,1.077876375,3.875,1.895772625,9.625
a,1.24761,1.22368,0.486443,0.462512,"{'att': 240, 'def': 25}","{'att': 168, 'def': 16}",3,5,0,1,1.3323,l,2022-10-15,0,0,1,0,0.023931,1.046849,3.0,1.040382,7.0,0.9827063333333333,3.4444444444444446,1.758152,9.555555555555555
