h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,xG_rolling_4,deep_rolling_4,xGA_rolling_4,deep_allowed_rolling_4,xG_rolling_16,deep_rolling_16,xGA_rolling_16,deep_allowed_rolling_16
a,1.7289,1.42103,1.7289,1.42103,"{'att': 259, 'def': 26}","{'att': 111, 'def': 11}",5,7,2,1,1.6190000000000002,w,2022-08-07,1,0,0,3,0.3078700000000001,1.7054300000000002,6.4,0.9186572,5.4,1.7054300000000002,6.4,0.9186572,5.4
h,1.60835,0.183952,1.60835,0.183952,"{'att': 151, 'def': 24}","{'att': 158, 'def': 17}",15,2,0,0,2.5527,d,2022-08-13,0,1,0,1,1.424398,1.7289,5.0,1.42103,7.0,1.7289,5.0,1.42103,7.0
a,1.82645,0.768634,1.06528,0.768634,"{'att': 264, 'def': 14}","{'att': 261, 'def': 10}",2,6,2,0,2.2613,w,2022-08-21,1,0,0,3,0.2966459999999999,1.668625,10.0,0.8024910000000001,4.5,1.668625,10.0,0.8024910000000001,4.5
h,1.60986,1.14874,1.60986,1.14874,"{'att': 247, 'def': 20}","{'att': 165, 'def': 30}",6,5,1,0,1.7092,w,2022-08-27,1,0,0,3,0.46112,1.7212333333333334,7.333333333333333,0.7912053333333334,5.0,1.7212333333333334,7.333333333333333,0.7912053333333334,5.0
a,1.75359,1.07093,0.992416,1.07093,"{'att': 198, 'def': 30}","{'att': 310, 'def': 22}",4,7,1,2,1.9696,l,2022-08-30,0,0,1,0,-0.0785139999999999,1.69339,7.0,0.8805890000000001,5.0,1.69339,7.0,0.8805890000000001,5.0
h,2.73166,1.06549,1.97049,1.06549,"{'att': 296, 'def': 25}","{'att': 270, 'def': 6}",10,4,5,2,2.4690000000000003,w,2022-09-04,1,0,0,3,0.905,1.6995624999999999,6.75,0.793064,5.0,1.7054300000000002,6.4,0.9186572,5.4
a,2.36567,2.1515,2.36567,2.1515,"{'att': 260, 'def': 15}","{'att': 259, 'def': 20}",7,13,3,3,1.5401,d,2022-10-01,0,1,0,1,0.2141700000000002,1.98039,5.5,1.0134485,5.5,1.8764683333333334,7.0,0.9431293333333334,5.166666666666667
h,0.899735,0.771641,0.899735,0.771641,"{'att': 301, 'def': 21}","{'att': 340, 'def': 24}",15,6,0,1,1.4115000000000002,l,2022-10-08,0,0,1,0,0.1280939999999999,2.115195,6.75,1.359165,7.25,1.9463542857142857,7.0,1.1157537142857143,6.285714285714286
a,2.15668,1.90636,2.15668,1.1452,"{'att': 99, 'def': 25}","{'att': 260, 'def': 20}",14,8,0,2,1.536,l,2022-10-14,0,0,1,0,1.0114800000000002,1.9376637500000002,9.0,1.26489025,7.5,1.815526875,8.0,1.072739625,6.25
h,2.10188,0.195003,2.10188,0.195003,"{'att': 132, 'def': 17}","{'att': 320, 'def': 16}",15,1,0,0,2.7455,d,2022-10-18,0,1,0,1,1.906877,2.03843625,11.5,1.4737477500000002,7.75,1.8534327777777777,8.666666666666666,1.165364111111111,6.444444444444445
