h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,xG_rolling_4,deep_rolling_4,xGA_rolling_4,deep_allowed_rolling_4,xG_rolling_16,deep_rolling_16,xGA_rolling_16,deep_allowed_rolling_16
a,0.488895,0.588341,0.488895,0.588341,"{'att': 152, 'def': 23}","{'att': 292, 'def': 25}",11,3,0,2,1.1566999999999998,l,2022-08-06,0,0,1,0,-0.0994459999999999,0.9122812,6.8,1.6018160000000001,7.2,0.9122812,6.8,1.6018160000000001,7.2
h,2.66696,1.37507,2.66696,1.37507,"{'att': 214, 'def': 23}","{'att': 242, 'def': 13}",13,4,2,1,2.3254,w,2022-08-13,1,0,0,3,1.29189,0.488895,11.0,0.588341,3.0,0.488895,11.0,0.588341,3.0
a,0.803828,2.91137,0.803828,2.00662,"{'att': 252, 'def': 34}","{'att': 251, 'def': 18}",3,8,1,3,0.2122,l,2022-08-20,0,0,1,0,-1.202792,1.5779275,12.0,0.9817055,3.5,1.5779275,12.0,0.9817055,3.5
h,0.304555,0.334589,0.304555,0.334589,"{'att': 243, 'def': 18}","{'att': 351, 'def': 20}",4,3,0,1,1.1528,l,2022-08-28,0,0,1,0,-0.030034,1.3198943333333333,9.0,1.6249269999999998,5.0,1.3198943333333333,9.0,1.6249269999999998,5.0
a,0.297168,2.79971,0.297168,2.79971,"{'att': 278, 'def': 19}","{'att': 168, 'def': 17}",3,18,1,2,0.0894,l,2022-08-31,0,0,1,0,-2.502542,1.0660595,7.75,1.3023425,4.5,1.0660595,7.75,1.3023425,4.5
h,0.279392,1.92143,0.279392,1.92143,"{'att': 483, 'def': 11}","{'att': 149, 'def': 11}",2,12,1,1,0.2217,d,2022-09-03,0,1,0,1,-1.642038,1.01812775,5.75,1.85518475,8.25,0.9122812,6.8,1.6018160000000001,7.2
h,1.34365,0.218302,1.34365,0.218302,"{'att': 232, 'def': 39}","{'att': 201, 'def': 25}",6,2,1,0,2.4747,w,2022-09-16,1,0,0,3,1.125348,0.42123575,3.0,1.99177475,10.25,0.8067996666666666,6.0,1.655085,8.0
a,1.89645,0.298626,1.89645,0.298626,"{'att': 230, 'def': 24}","{'att': 240, 'def': 18}",12,6,0,0,2.6060000000000003,d,2022-10-02,0,1,0,1,1.597824,0.5561912499999999,3.75,1.3185077500000002,8.75,0.8834925714285714,6.0,1.4498302857142857,7.142857142857143
a,0.657187,0.221346,0.657187,0.221346,"{'att': 157, 'def': 22}","{'att': 278, 'def': 11}",9,0,1,1,1.7468,d,2022-10-10,0,1,0,1,0.435841,0.9541649999999999,5.75,1.309517,9.5,1.01011225,6.75,1.30592975,7.0
h,2.44542,1.23643,2.44542,1.23643,"{'att': 379, 'def': 27}","{'att': 203, 'def': 15}",6,5,0,2,2.2306,l,2022-10-16,0,0,1,0,1.20899,1.04416975,7.25,0.664926,5.0,0.9708983333333333,7.0,1.1854204444444445,6.222222222222222
a,0.711487,2.892,0.711487,2.13083,"{'att': 279, 'def': 15}","{'att': 169, 'def': 15}",2,8,0,3,0.1854,l,2022-10-20,0,0,1,0,-1.419343,1.58567675,8.25,0.493676,3.25,1.1183505,6.9,1.1905214000000002,6.1
h,3.45617,1.00462,2.695,1.00462,"{'att': 208, 'def': 29}","{'att': 162, 'def': 22}",9,3,4,0,2.8011,w,2022-10-23,1,0,0,3,1.6903799999999998,1.427636,7.25,1.1621005,4.75,1.081362909090909,6.454545454545454,1.3452012727272729,6.2727272727272725
a,0.270814,4.18808,0.270814,3.42692,"{'att': 280, 'def': 16}","{'att': 193, 'def': 18}",2,15,0,4,0.0113,l,2022-10-29,0,0,1,0,-3.156106,1.817566,6.5,1.338599,4.0,1.2792634999999999,6.666666666666667,1.3168195,6.0
h,0.578563,0.517189,0.578563,0.517189,"{'att': 270, 'def': 15}","{'att': 252, 'def': 23}",5,10,3,1,1.3351,w,2022-11-06,1,0,0,3,0.061374,1.7209727499999998,4.75,2.3302825,7.75,1.2016904615384616,6.3076923076923075,1.5376856923076923,6.6923076923076925
a,1.15437,0.829107,0.393198,0.829107,"{'att': 295, 'def': 18}","{'att': 159, 'def': 32}",6,7,2,1,1.6934,w,2022-11-13,1,0,0,3,-0.435909,1.2542585000000002,4.5,2.15047225,9.0,1.157181357142857,6.214285714285714,1.4647930714285715,6.928571428571429
h,1.69155,3.50694,1.69155,3.50694,"{'att': 330, 'def': 11}","{'att': 271, 'def': 22}",5,8,1,3,0.4063,l,2022-12-26,0,0,1,0,-1.81539,1.36497925,5.5,1.634749,8.75,1.1569939333333332,6.2,1.422414,6.933333333333334
a,1.21733,0.569383,1.21733,0.569383,"{'att': 311, 'def': 18}","{'att': 226, 'def': 22}",7,6,2,0,1.9871,w,2023-01-01,1,0,0,3,0.647947,0.92382425,4.5,2.260329,10.0,1.1904036875,6.125,1.552696875,7.0
h,1.03226,0.832522,1.03226,0.832522,"{'att': 243, 'def': 13}","{'att': 274, 'def': 20}",4,2,1,1,1.5178999999999998,d,2023-01-04,0,1,0,1,0.1997379999999999,1.16045325,5.75,1.35565475,7.75,1.235930875,5.875,1.551512,7.1875
h,1.64599,2.46295,1.64599,2.46295,"{'att': 149, 'def': 20}","{'att': 255, 'def': 41}",5,1,2,1,0.8034999999999999,w,2023-01-13,1,0,0,3,-0.8169600000000001,1.2738775,5.5,1.434488,5.75,1.133762125,5.3125,1.51760275,7.0625
a,1.16432,0.672444,1.16432,0.672444,"{'att': 159, 'def': 21}","{'att': 337, 'def': 28}",8,4,1,0,1.7348,w,2023-01-21,1,0,0,3,0.491876,1.3967825,5.25,1.8429487500000001,4.25,1.1863972500000002,5.4375,1.4895765,6.625
h,1.4989,2.49784,1.4989,2.49784,"{'att': 193, 'def': 25}","{'att': 360, 'def': 27}",15,5,2,4,0.6897,l,2023-02-04,0,0,1,0,-0.9989400000000002,1.264975,6.0,1.13432475,3.25,1.2401325625000001,5.6875,1.5106924375000002,6.6875
a,0.275348,3.60987,0.275348,2.8487,"{'att': 354, 'def': 15}","{'att': 178, 'def': 22}",4,7,1,3,0.0284999999999999,l,2023-02-12,0,0,1,0,-2.573352,1.3353675,8.0,1.616439,3.0,1.3152408125,6.4375,1.4918255625,5.875
h,0.335752,2.85981,0.335752,2.85981,"{'att': 279, 'def': 19}","{'att': 174, 'def': 19}",2,14,2,4,0.1094,l,2023-02-18,0,0,1,0,-2.524058,1.1461395,8.0,2.3107759999999997,4.25,1.3149880625,6.5625,1.5973530625,5.5625
a,2.06037,1.54109,1.2992,1.54109,"{'att': 165, 'def': 15}","{'att': 270, 'def': 38}",5,9,2,0,1.7866,w,2023-02-25,1,0,0,3,-0.2418900000000001,0.8185799999999999,7.25,2.4099909999999998,7.5,1.2519944375,6.3125,1.7624473125,6.3125
h,0.890605,0.152761,0.890605,0.152761,"{'att': 223, 'def': 26}","{'att': 348, 'def': 37}",8,0,1,0,2.0777,w,2023-03-04,1,0,0,3,0.7378439999999999,1.0425924999999998,6.5,2.6271525,8.75,1.2622394375,5.875,1.8401013125,6.5
a,1.99139,2.14634,1.99139,1.38517,"{'att': 230, 'def': 10}","{'att': 334, 'def': 27}",10,3,1,1,1.2802,d,2023-03-12,0,1,0,1,0.60622,0.8905187499999998,4.75,2.0408827499999997,7.5,1.2768280625000001,5.8125,1.8358147500000002,6.5
h,3.45474,0.50014,3.45474,0.50014,"{'att': 206, 'def': 25}","{'att': 272, 'def': 35}",16,5,3,0,2.8841,w,2023-03-18,1,0,0,3,2.9546,1.31952925,6.25,1.67500025,6.5,1.2484511875,6.0625,1.892684125,6.375
a,0.765794,2.38024,0.765794,2.38024,"{'att': 295, 'def': 24}","{'att': 159, 'def': 35}",2,19,2,0,0.3856,w,2023-04-01,1,0,0,3,-1.614446,2.09927625,9.75,1.0850827499999998,4.25,1.4199045000000001,6.9375,1.743192875,6.1875
a,1.00159,0.671597,1.00159,0.671597,"{'att': 156, 'def': 15}","{'att': 276, 'def': 27}",11,2,2,1,1.6521,w,2023-04-04,1,0,0,3,0.329993,1.77563225,9.0,1.2948702499999998,6.75,1.251756,6.5,1.8291691250000002,7.1875
h,1.42718,0.232452,1.42718,0.232452,"{'att': 115, 'def': 19}","{'att': 285, 'def': 23}",8,1,2,0,2.4333,w,2023-04-08,1,0,0,3,1.194728,1.8033785,9.75,1.4245792499999999,7.25,1.2974295,7.0625,1.6093889375,6.375
h,1.91802,0.425086,1.91802,0.425086,"{'att': 188, 'def': 27}","{'att': 219, 'def': 38}",12,6,3,0,2.5232,w,2023-04-15,1,0,0,3,1.492934,1.6623259999999997,9.25,0.94610725,6.75,1.3504680625,7.25,1.591592875,5.8125
a,1.66602,2.03162,1.66602,2.03162,"{'att': 133, 'def': 16}","{'att': 240, 'def': 26}",4,7,1,1,1.1498000000000002,d,2023-04-22,0,1,0,1,-0.3656000000000001,1.2781459999999998,8.25,0.9273437499999999,7.0,1.3981961875,7.625,1.5663415625,5.75
h,0.839159,0.079864,0.839159,0.079864,"{'att': 245, 'def': 16}","{'att': 260, 'def': 32}",7,1,1,0,2.0634,w,2023-04-25,1,0,0,3,0.7592949999999999,1.5032025,8.75,0.8401887499999999,4.0,1.3966005625,7.5625,1.4741340625,5.6875
a,0.434738,1.3056,0.434738,1.3056,"{'att': 331, 'def': 14}","{'att': 239, 'def': 25}",4,12,0,1,0.6027,l,2023-04-30,0,0,1,0,-0.870862,1.4625947499999998,7.75,0.6922555,3.75,1.372964875,7.5625,1.443539125,5.375
