id,first_name,second_name,position,value,team_id,rolling_xg_3,rolling_goals_3,last_game_goals,last_game_xg,cumulative_goals,cumulative_xg
270,Jacob,Greaves,DEF,40,10,0.10000000000000002,0.0,0.0,0.0,0,0.42000000000000004
275,Ben,Johnson,DEF,40,10,0.013333333333333334,0.0,0.0,0.04,0,0.04
279,Corrie,Ndaba,DEF,40,10,0.0,0.0,0.0,0.0,0,0.0
282,Axel,Tuanzebe,DEF,40,10,0.03666666666666667,0.0,0.0,0.0,0,0.18
284,Luke,Woolfenden,DEF,40,10,0.01,0.0,0.0,0.03,0,0.03
583,Conor,Townsend,DEF,40,10,0.0,0.0,0.0,0.0,0,0.0
630,Dara,O'Shea,DEF,40,10,0.09333333333333334,0.0,0.0,0.1,0,0.5800000000000001
288,Conor,Coady,DEF,40,11,0.0,0.0,0.0,0.0,0,0.0
291,Wout,Faes,DEF,41,11,0.03666666666666667,0.0,0.0,0.0,1,0.9400000000000001
295,James,Justin,DEF,46,11,0.0,0.0,0.0,0.0,2,0.37
296,Victor,Kristiansen,DEF,45,11,0.0,0.0,0.0,0.0,0,0.0
301,Caleb,Okoli,DEF,40,11,0.0,0.0,0.0,0.0,0,0.14
302,Ricardo,Barbosa Pereira,DEF,42,11,0.0,0.0,0.0,0.0,0,0.0
303,Harry,Souttar,DEF,40,11,0.0,0.0,0.0,0.0,0,0.0
305,Luke,Thomas,DEF,39,11,0.0,0.0,0.0,0.0,0,0.0
307,Jannik,Vestergaard,DEF,40,11,0.0033333333333333335,0.0,0.0,0.0,0,0.01
616,Ben,Nelson,DEF,40,11,0.0,0.0,0.0,0.0,0,0.0
311,Trent,Alexander-Arnold,DEF,69,12,0.016666666666666666,0.0,0.0,0.05,0,0.38
313,Conor,Bradley,DEF,47,12,0.085,0.0,0.0,0.0,0,0.17
322,Joe,Gomez,DEF,48,12,0.0,0.0,0.0,0.0,0,0.0
326,Ibrahima,Konaté,DEF,54,12,0.03666666666666667,0.0,0.0,0.11,1,0.51
332,Nathaniel,Phillips,DEF,40,12,0.0,0.0,0.0,0.0,0,0.0
333,Jarell,Quansah,DEF,39,12,0.0,0.0,0.0,0.0,0,0.0
334,Rhys,Williams,DEF,40,12,0.0,0.0,0.0,0.0,0,0.0
335,Andrew,Robertson,DEF,59,12,0.0,0.0,0.0,0.0,0,0.38
337,Konstantinos,Tsimikas,DEF,46,12,0.04,0.0,0.0,0.03,0,0.08
339,Virgil,van Dijk,DEF,63,12,0.0,0.0,0.0,0.0,1,0.45999999999999996
340,Manuel,Akanji,DEF,54,13,0.04,0.0,0.0,0.0,0,0.21000000000000002
341,Nathan,Aké,DEF,53,13,0.02,0.0,0.0,0.0,0,0.02
350,Joško,Gvardiol,DEF,63,13,0.16,0.3333333333333333,0.0,0.05,3,0.9400000000000002
353,João,Cavaco Cancelo,DEF,53,13,0.0,0.0,0.0,0.0,0,0.0
355,Rico,Lewis,DEF,48,13,0.016666666666666666,0.0,0.0,0.0,0,0.77
361,Rúben,Gato Alves Dias,DEF,54,13,0.043333333333333335,0.0,0.0,0.06,0,0.6200000000000001
362,John,Stones,DEF,53,13,0.13,0.5,0.0,0.0,1,0.26
363,Kyle,Walker,DEF,52,13,0.0,0.0,0.0,0.0,0,0.12
626,Issa,Kaboré,DEF,45,13,0.0,0.0,0.0,0.0,0,0.0
672,Jahmai,Simpson-Pusey,DEF,40,13,0.0,0.0,0.0,0.0,0,0.0
675,Josh,Wilson-Esbrand,DEF,40,13,0.0,0.0,0.0,0.0,0,0.0
369,Diogo,Dalot Teixeira,DEF,52,14,0.1366666666666667,0.0,0.0,0.0,0,0.6000000000000001
371,Jonny,Evans,DEF,44,14,0.04,0.0,0.0,0.08,0,0.08
376,Victor,Lindelöf,DEF,43,14,0.0,0.0,0.0,0.0,0,0.0
377,Harry,Maguire,DEF,49,14,0.02,0.0,0.0,0.0,0,0.04
379,Tyrell,Malacia,DEF,44,14,0.0,0.0,0.0,0.0,0,0.0
380,Lisandro,Martínez,DEF,44,14,0.0,0.0,0.0,0.0,0,0.81
387,Luke,Shaw,DEF,49,14,0.0,0.0,0.0,0.0,0,0.0
572,Leny,Yoro,DEF,43,14,0.0,0.0,0.0,0.0,0,0.0
593,Matthijs,de Ligt,DEF,50,14,0.0,0.0,0.0,0.0,1,1.1199999999999999
594,Noussair,Mazraoui,DEF,46,14,0.006666666666666667,0.0,0.0,0.02,0,0.22
670,Harry,Amass,DEF,40,14,0.0,0.0,0.0,0.0,0,0.0
390,Alex,Murphy,DEF,40,15,0.0,0.0,0.0,0.0,0,0.0
393,Sven,Botman,DEF,44,15,0.0,0.0,0.0,0.0,0,0.0
395,Dan,Burn,DEF,44,15,0.05333333333333334,0.0,0.0,0.0,0,0.5700000000000001
399,Lewis,Hall,DEF,44,15,0.03333333333333333,0.0,0.0,0.0,0,0.1
404,Lloyd,Kelly,DEF,43,15,0.12,0.0,0.0,0.19,0,0.36
405,Emil,Krafth,DEF,44,15,0.02,0.0,0.0,0.0,0,0.04
407,Jamaal,Lascelles,DEF,45,15,0.0,0.0,0.0,0.0,0,0.0
408,Jamal,Lewis,DEF,40,15,0.0,0.0,0.0,0.0,0,0.0
409,Tino,Livramento,DEF,45,15,0.0,0.0,0.0,0.0,0,0.0
415,Fabian,Schär,DEF,54,15,0.03666666666666666,0.0,0.0,0.02,1,0.97
416,Matt,Targett,DEF,40,15,0.0,0.0,0.0,0.0,0,0.0
418,Kieran,Trippier,DEF,56,15,0.01,0.0,0.0,0.03,0,0.03
574,Miodrag,Pivaš,DEF,40,15,0.0,0.0,0.0,0.0,0,0.0
26,Álex,Moreno Lopera,DEF,44,16,0.01,0.0,0.0,0.0,0,0.14
422,Ola,Aina,DEF,48,16,0.023333333333333334,0.3333333333333333,0.0,0.0,1,0.09000000000000001
425,Willy,Boly,DEF,43,16,0.07,0.0,0.0,0.0,0,0.07
436,Murillo,Santiago Costa dos Santos,DEF,46,16,0.10000000000000002,0.3333333333333333,1.0,0.19,1,0.55
437,Neco,Williams,DEF,43,16,0.14333333333333334,0.0,0.0,0.28,0,0.43000000000000005
438,Omar,Richards,DEF,45,16,0.0,0.0,0.0,0.0,0,0.0
440,Andrew,Omobamidele,DEF,43,16,0.0,0.0,0.0,0.0,0,0.0
441,Jonathan,Panzo,DEF,40,16,0.0,0.0,0.0,0.0,0,0.0
444,Harry,Toffolo,DEF,43,16,0.0,0.0,0.0,0.0,0,0.0
448,Joe,Worrall,DEF,45,16,0.0,0.0,0.0,0.0,0,0.0
573,Nikola,Milenković,DEF,45,16,0.16666666666666666,0.0,0.0,0.02,0,1.6800000000000002
653,Felipe,Rodrigues da Silva,DEF,45,16,0.0,0.0,0.0,0.0,0,0.0
455,Jan,Bednarek,DEF,40,17,0.0033333333333333335,0.0,0.0,0.0,0,0.01
456,Armel,Bella-Kotchap,DEF,39,17,0.0,0.0,0.0,0.0,0,0.0
457,James,Bree,DEF,39,17,0.0,0.0,0.0,0.0,0,0.0
460,Ronnie,Edwards,DEF,39,17,0.0,0.0,0.0,0.0,0,0.0
461,Taylor,Harwood-Bellis,DEF,41,17,0.16333333333333333,0.0,0.0,0.17,1,1.16
464,Juan,Larios López,DEF,40,17,0.0,0.0,0.0,0.0,0,0.0
467,Ryan,Manning,DEF,43,17,0.016666666666666666,0.0,0.0,0.05,0,0.05
472,Jack,Stephens,DEF,40,17,0.016666666666666666,0.0,0.0,0.0,0,0.28
474,Sugawara,Yukinari,DEF,45,17,0.0,0.0,0.0,0.0,1,0.24
475,Charlie,Taylor,DEF,39,17,0.0,0.0,0.0,0.0,0,0.0
476,Kyle,Walker-Peters,DEF,44,17,0.006666666666666667,0.0,0.0,0.0,0,0.24
477,Nathan,Wood-Gordon,DEF,40,17,0.0,0.0,0.0,0.0,0,0.0
478,Ashley,Phillips,DEF,40,18,0.0,0.0,0.0,0.0,0,0.0
484,Ben,Davies,DEF,43,18,0.0,0.0,0.0,0.0,0,0.0
486,Radu,Drăgușin,DEF,43,18,0.0,0.0,0.0,0.0,0,0.02
487,Emerson,Leite de Souza Junior,DEF,45,18,0.0,0.0,0.0,0.0,0,0.0
495,Pedro,Porro,DEF,55,18,0.11666666666666665,0.3333333333333333,0.0,0.0,2,1.03
496,Sergio,Reguilón,DEF,42,18,0.0,0.0,0.0,0.0,0,0.0
