id,first_name,second_name,value,pred_minutes,rolling_xg_5,season_mean_bonus,average_xg_per_game,cumulative_xg,cumulative_goals,rolling_xa_5,average_xa_per_game,cumulative_xa,cumulative_assists,opponent_team,own_team,own_attack,opponent_attack,own_defense,opponent_defense,own_short_name,opponent_short_name,gameweek,was_home,season,POS
21,Kieran,Tierney,43,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,8,1,1360,1100,1340,1100,ARS,EVE,16,1,24,2
21,Kieran,Tierney,43,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,10,1,1360,1080,1340,1100,ARS,IPS,18,1,24,2
22,Tomiyasu,Takehiro,48,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,14,1,1360,1140,1340,1170,ARS,MUN,14,1,24,2
22,Tomiyasu,Takehiro,48,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,8,1,1360,1100,1340,1100,ARS,EVE,16,1,24,2
22,Tomiyasu,Takehiro,48,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,10,1,1360,1080,1340,1100,ARS,IPS,18,1,24,2
24,Benjamin,White,62,49.75,0.012,0.0,0.0185714285714285,0.13,0,0.0419999999999999,0.0183333333333333,0.29,1,14,1,1360,1140,1340,1170,ARS,MUN,14,1,24,2
24,Benjamin,White,62,49.75,0.012,0.0,0.0185714285714285,0.13,0,0.0419999999999999,0.0183333333333333,0.29,1,8,1,1360,1100,1340,1100,ARS,EVE,16,1,24,2
24,Benjamin,White,62,49.75,0.012,0.0,0.0185714285714285,0.13,0,0.0419999999999999,0.0183333333333333,0.29,1,10,1,1360,1080,1340,1100,ARS,IPS,18,1,24,2
25,Oleksandr,Zinchenko,48,21.5,0.0,0.0,0.0,0.0,0,0.04,0.0,0.04,0,14,1,1360,1140,1340,1170,ARS,MUN,14,1,24,2
25,Oleksandr,Zinchenko,48,21.5,0.0,0.0,0.0,0.0,0,0.04,0.0,0.04,0,8,1,1360,1100,1340,1100,ARS,EVE,16,1,24,2
25,Oleksandr,Zinchenko,48,21.5,0.0,0.0,0.0,0.0,0,0.04,0.0,0.04,0,10,1,1360,1080,1340,1100,ARS,IPS,18,1,24,2
578,Riccardo,Calafiori,58,30.25,0.1,0.2,0.1,0.5,1,0.084,0.1025,0.42,0,14,1,1360,1140,1340,1170,ARS,MUN,14,1,24,2
578,Riccardo,Calafiori,58,30.25,0.1,0.2,0.1,0.5,1,0.084,0.1025,0.42,0,8,1,1360,1100,1340,1100,ARS,EVE,16,1,24,2
578,Riccardo,Calafiori,58,30.25,0.1,0.2,0.1,0.5,1,0.084,0.1025,0.42,0,10,1,1360,1080,1340,1100,ARS,IPS,18,1,24,2
657,Maldini,Kacurri,40,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,14,1,1360,1140,1340,1170,ARS,MUN,14,1,24,2
657,Maldini,Kacurri,40,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,8,1,1360,1100,1340,1100,ARS,EVE,16,1,24,2
657,Maldini,Kacurri,40,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,10,1,1360,1080,1340,1100,ARS,IPS,18,1,24,2
658,Ayden,Heaven,40,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,14,1,1360,1140,1340,1170,ARS,MUN,14,1,24,2
658,Ayden,Heaven,40,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,8,1,1360,1100,1340,1100,ARS,EVE,16,1,24,2
658,Ayden,Heaven,40,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,10,1,1360,1080,1340,1100,ARS,IPS,18,1,24,2
662,Josh,Nichols,40,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,14,1,1360,1140,1340,1170,ARS,MUN,14,1,24,2
662,Josh,Nichols,40,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,8,1,1360,1100,1340,1100,ARS,EVE,16,1,24,2
662,Josh,Nichols,40,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,10,1,1360,1080,1340,1100,ARS,IPS,18,1,24,2
32,Matty,Cash,44,71.0,0.006,0.0,0.006,0.03,0,0.032,0.04,0.16,0,4,2,1120,1120,1200,1190,AVL,BRE,14,1,24,2
32,Matty,Cash,44,71.0,0.006,0.0,0.006,0.03,0,0.032,0.04,0.16,0,17,2,1120,1070,1200,1060,AVL,SOU,15,1,24,2
32,Matty,Cash,44,71.0,0.006,0.0,0.006,0.03,0,0.032,0.04,0.16,0,13,2,1120,1350,1200,1390,AVL,MCI,17,1,24,2
32,Matty,Cash,44,71.0,0.006,0.0,0.006,0.03,0,0.032,0.04,0.16,0,5,2,1120,1130,1200,1220,AVL,BHA,19,1,24,2
35,Diego Carlos,Santos Silva,45,52.5,0.024,0.0,0.02,0.12,0,0.008,0.008,0.05,0,4,2,1120,1120,1200,1190,AVL,BRE,14,1,24,2
35,Diego Carlos,Santos Silva,45,52.5,0.024,0.0,0.02,0.12,0,0.008,0.008,0.05,0,17,2,1120,1070,1200,1060,AVL,SOU,15,1,24,2
35,Diego Carlos,Santos Silva,45,52.5,0.024,0.0,0.02,0.12,0,0.008,0.008,0.05,0,13,2,1120,1350,1200,1390,AVL,MCI,17,1,24,2
35,Diego Carlos,Santos Silva,45,52.5,0.024,0.0,0.02,0.12,0,0.008,0.008,0.05,0,5,2,1120,1130,1200,1220,AVL,BHA,19,1,24,2
36,Lucas,Digne,47,80.75,0.094,0.5454545454545454,0.0472727272727272,0.52,0,0.156,0.179,1.82,3,4,2,1120,1120,1200,1190,AVL,BRE,14,1,24,2
36,Lucas,Digne,47,80.75,0.094,0.5454545454545454,0.0472727272727272,0.52,0,0.156,0.179,1.82,3,17,2,1120,1070,1200,1060,AVL,SOU,15,1,24,2
36,Lucas,Digne,47,80.75,0.094,0.5454545454545454,0.0472727272727272,0.52,0,0.156,0.179,1.82,3,13,2,1120,1350,1200,1390,AVL,MCI,17,1,24,2
36,Lucas,Digne,47,80.75,0.094,0.5454545454545454,0.0472727272727272,0.52,0,0.156,0.179,1.82,3,5,2,1120,1130,1200,1220,AVL,BHA,19,1,24,2
40,Kortney,Hause,40,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,4,2,1120,1120,1200,1190,AVL,BRE,14,1,24,2
40,Kortney,Hause,40,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,17,2,1120,1070,1200,1060,AVL,SOU,15,1,24,2
40,Kortney,Hause,40,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,13,2,1120,1350,1200,1390,AVL,MCI,17,1,24,2
40,Kortney,Hause,40,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,5,2,1120,1130,1200,1220,AVL,BHA,19,1,24,2
43,Kaine,Kesler-Hayden,40,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,4,2,1120,1120,1200,1190,AVL,BRE,14,1,24,2
43,Kaine,Kesler-Hayden,40,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,17,2,1120,1070,1200,1060,AVL,SOU,15,1,24,2
43,Kaine,Kesler-Hayden,40,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,13,2,1120,1350,1200,1390,AVL,MCI,17,1,24,2
43,Kaine,Kesler-Hayden,40,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,5,2,1120,1130,1200,1220,AVL,BHA,19,1,24,2
44,Ezri,Konsa Ngoyo,44,90.0,0.014,0.1,0.0349999999999999,0.35,1,0.0559999999999999,0.0366666666666666,0.3299999999999999,0,4,2,1120,1120,1200,1190,AVL,BRE,14,1,24,2
44,Ezri,Konsa Ngoyo,44,90.0,0.014,0.1,0.0349999999999999,0.35,1,0.0559999999999999,0.0366666666666666,0.3299999999999999,0,17,2,1120,1070,1200,1060,AVL,SOU,15,1,24,2
44,Ezri,Konsa Ngoyo,44,90.0,0.014,0.1,0.0349999999999999,0.35,1,0.0559999999999999,0.0366666666666666,0.3299999999999999,0,13,2,1120,1350,1200,1390,AVL,MCI,17,1,24,2
44,Ezri,Konsa Ngoyo,44,90.0,0.014,0.1,0.0349999999999999,0.35,1,0.0559999999999999,0.0366666666666666,0.3299999999999999,0,5,2,1120,1130,1200,1220,AVL,BHA,19,1,24,2
45,Ian,Maatsen,46,25.75,0.06,0.0,0.06,0.06,0,0.04,0.0,0.04,0,4,2,1120,1120,1200,1190,AVL,BRE,14,1,24,2
45,Ian,Maatsen,46,25.75,0.06,0.0,0.06,0.06,0,0.04,0.0,0.04,0,17,2,1120,1070,1200,1060,AVL,SOU,15,1,24,2
45,Ian,Maatsen,46,25.75,0.06,0.0,0.06,0.06,0,0.04,0.0,0.04,0,13,2,1120,1350,1200,1390,AVL,MCI,17,1,24,2
