id,first_name,second_name,value,penalties_order,pred_minutes,opponent_team,own_team,own_attack,opponent_attack,own_defense,opponent_defense,own_short_name,opponent_short_name,gameweek,was_home,season,POS
74,Dango,Ouattara,50,,20.8,7,3,1070,1100,1130,1090,BOU,CRY,18.0,1,24,3
74,Dango,Ouattara,50,,20.8,8,3,1070,1100,1130,1100,BOU,EVE,20.0,1,24,3
76,Philip,Billing,48,,6.8,19,3,1070,1070,1130,1130,BOU,WHU,16.0,1,24,3
76,Philip,Billing,48,,6.8,7,3,1070,1100,1130,1090,BOU,CRY,18.0,1,24,3
76,Philip,Billing,48,,6.8,8,3,1070,1100,1130,1100,BOU,EVE,20.0,1,24,3
77,Alex,Scott,47,,0.0,19,3,1070,1070,1130,1130,BOU,WHU,16.0,1,24,3
77,Alex,Scott,47,,0.0,7,3,1070,1100,1130,1090,BOU,CRY,18.0,1,24,3
77,Alex,Scott,47,,0.0,8,3,1070,1100,1130,1100,BOU,EVE,20.0,1,24,3
78,Antoine,Semenyo,57,,70.8,19,3,1070,1070,1130,1130,BOU,WHU,16.0,1,24,3
78,Antoine,Semenyo,57,,70.8,7,3,1070,1100,1130,1090,BOU,CRY,18.0,1,24,3
78,Antoine,Semenyo,57,,70.8,8,3,1070,1100,1130,1100,BOU,EVE,20.0,1,24,3
80,Luis,Sinisterra,49,,0.0,19,3,1070,1070,1130,1130,BOU,WHU,16.0,1,24,3
80,Luis,Sinisterra,49,,0.0,7,3,1070,1100,1130,1090,BOU,CRY,18.0,1,24,3
80,Luis,Sinisterra,49,,0.0,8,3,1070,1100,1130,1100,BOU,EVE,20.0,1,24,3
83,Marcus,Tavernier,55,,72.0,19,3,1070,1070,1130,1130,BOU,WHU,16.0,1,24,3
83,Marcus,Tavernier,55,,72.0,7,3,1070,1100,1130,1090,BOU,CRY,18.0,1,24,3
83,Marcus,Tavernier,55,,72.0,8,3,1070,1100,1130,1100,BOU,EVE,20.0,1,24,3
687,Ben,Winterburn,45,,0.0,19,3,1070,1070,1130,1130,BOU,WHU,16.0,1,24,3
687,Ben,Winterburn,45,,0.0,7,3,1070,1100,1130,1090,BOU,CRY,18.0,1,24,3
687,Ben,Winterburn,45,,0.0,8,3,1070,1100,1130,1100,BOU,EVE,20.0,1,24,3
87,Ethan,Brierley,45,,0.0,16,4,1080,1130,1100,1070,BRE,NFO,17.0,1,24,3
87,Ethan,Brierley,45,,0.0,1,4,1080,1360,1100,1390,BRE,ARS,19.0,1,24,3
87,Ethan,Brierley,45,,0.0,13,4,1080,1350,1100,1390,BRE,MCI,21.0,1,24,3
89,Mikkel,Damsgaard,50,,67.4,16,4,1080,1130,1100,1070,BRE,NFO,17.0,1,24,3
89,Mikkel,Damsgaard,50,,67.4,1,4,1080,1360,1100,1390,BRE,ARS,19.0,1,24,3
89,Mikkel,Damsgaard,50,,67.4,13,4,1080,1350,1100,1390,BRE,MCI,21.0,1,24,3
90,Josh,Dasilva,48,,0.0,16,4,1080,1130,1100,1070,BRE,NFO,17.0,1,24,3
90,Josh,Dasilva,48,,0.0,1,4,1080,1360,1100,1390,BRE,ARS,19.0,1,24,3
90,Josh,Dasilva,48,,0.0,13,4,1080,1350,1100,1390,BRE,MCI,21.0,1,24,3
94,Vitaly,Janelt,49,,62.6,16,4,1080,1130,1100,1070,BRE,NFO,17.0,1,24,3
94,Vitaly,Janelt,49,,62.6,1,4,1080,1360,1100,1390,BRE,ARS,19.0,1,24,3
94,Vitaly,Janelt,49,,62.6,13,4,1080,1350,1100,1390,BRE,MCI,21.0,1,24,3
95,Mathias,Jensen,53,,41.8,16,4,1080,1130,1100,1070,BRE,NFO,17.0,1,24,3
95,Mathias,Jensen,53,,41.8,1,4,1080,1360,1100,1390,BRE,ARS,19.0,1,24,3
95,Mathias,Jensen,53,,41.8,13,4,1080,1350,1100,1390,BRE,MCI,21.0,1,24,3
97,Yunus Emre,Konak,45,,0.2,16,4,1080,1130,1100,1070,BRE,NFO,17.0,1,24,3
97,Yunus Emre,Konak,45,,0.2,1,4,1080,1360,1100,1390,BRE,ARS,19.0,1,24,3
97,Yunus Emre,Konak,45,,0.2,13,4,1080,1350,1100,1390,BRE,MCI,21.0,1,24,3
98,Keane,Lewis-Potter,50,,87.8,16,4,1080,1130,1100,1070,BRE,NFO,17.0,1,24,3
98,Keane,Lewis-Potter,50,,87.8,1,4,1080,1360,1100,1390,BRE,ARS,19.0,1,24,3
98,Keane,Lewis-Potter,50,,87.8,13,4,1080,1350,1100,1390,BRE,MCI,21.0,1,24,3
99,Bryan,Mbeumo,76,2.0,90.0,16,4,1080,1130,1100,1070,BRE,NFO,17.0,1,24,3
99,Bryan,Mbeumo,76,2.0,90.0,1,4,1080,1360,1100,1390,BRE,ARS,19.0,1,24,3
99,Bryan,Mbeumo,76,2.0,90.0,13,4,1080,1350,1100,1390,BRE,MCI,21.0,1,24,3
101,Christian,Nørgaard,48,,56.2,16,4,1080,1130,1100,1070,BRE,NFO,17.0,1,24,3
101,Christian,Nørgaard,48,,56.2,1,4,1080,1360,1100,1390,BRE,ARS,19.0,1,24,3
101,Christian,Nørgaard,48,,56.2,13,4,1080,1350,1100,1390,BRE,MCI,21.0,1,24,3
102,Frank,Onyeka,49,,0.0,16,4,1080,1130,1100,1070,BRE,NFO,17.0,1,24,3
102,Frank,Onyeka,49,,0.0,1,4,1080,1360,1100,1390,BRE,ARS,19.0,1,24,3
102,Frank,Onyeka,49,,0.0,13,4,1080,1350,1100,1390,BRE,MCI,21.0,1,24,3
103,Myles,Peart-Harris,45,,0.0,16,4,1080,1130,1100,1070,BRE,NFO,17.0,1,24,3
