id,first_name,second_name,position,value,team_id,penalties_order,rolling_opponent_xg_3,rolling_total_points_3,rolling_shots_3,rolling_expected_assists_3,rolling_expected_goals_3,rolling_ict_index_3,rolling_influence_3,rolling_threat_3,rolling_yellow_cards_3,rolling_opponent_deep_3,rolling_team_deep_3,rolling_bps_3,rolling_adjusted_xg_3,rolling_key_passes_3,rolling_opponent_xg_5,rolling_total_points_5,rolling_shots_5,rolling_expected_assists_5,rolling_expected_goals_5,rolling_ict_index_5,rolling_influence_5,rolling_threat_5,rolling_yellow_cards_5,rolling_opponent_deep_5,rolling_team_deep_5,rolling_bps_5,rolling_adjusted_xg_5,rolling_key_passes_5,rolling_opponent_xg_8,rolling_total_points_8,rolling_shots_8,rolling_expected_assists_8,rolling_expected_goals_8,rolling_ict_index_8,rolling_influence_8,rolling_threat_8,rolling_yellow_cards_8,rolling_opponent_deep_8,rolling_team_deep_8,rolling_bps_8,rolling_adjusted_xg_8,rolling_key_passes_8,rolling_opponent_xg_12,rolling_total_points_12,rolling_shots_12,rolling_expected_assists_12,rolling_expected_goals_12,rolling_ict_index_12,rolling_influence_12,rolling_threat_12,rolling_yellow_cards_12,rolling_opponent_deep_12,rolling_team_deep_12,rolling_bps_12,rolling_adjusted_xg_12,rolling_key_passes_12,avg_yellow_cards,average_season_goals,average_season_assists,pred_minutes
1,Fábio,Ferreira Vieira,MID,54,1,,0.547487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,8.666666666666666,0.0,0.0,0.0,0.6572534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.2,0.0,0.0,0.0,0.960454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25,8.75,0.0,0.0,0.0,1.0702621666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.333333333333333,9.083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Jorge Luiz,Frello Filho,MID,47,1,,0.547487,1.6666666666666667,0.0,0.0,0.0,1.2,7.599999999999999,0.6666666666666666,0.0,1.3333333333333333,8.666666666666666,11.666666666666666,0.0,0.0,0.6572534,1.0,0.0,0.0221605211496353,0.0,0.9800000000000001,4.56,0.4,0.4,2.0,10.2,7.4,0.0,0.2,0.960454,1.2857142857142858,0.14285714285714285,0.024328857128109227,0.0052841736802033,1.0857142857142859,3.8857142857142857,0.42857142857142855,0.42857142857142855,4.25,8.75,7.714285714285714,0.0052841736802033,0.2857142857142857,1.0702621666666665,1.2857142857142858,0.14285714285714285,0.024328857128109227,0.0052841736802033,1.0857142857142859,3.8857142857142857,0.42857142857142855,0.42857142857142855,5.333333333333333,9.083333333333334,7.714285714285714,0.0052841736802033,0.2857142857142857,0.42857142857142855,0.0,0.0,41.8
9,Gabriel,Martinelli Silva,MID,68,1,,0.547487,3.6666666666666665,1.6666666666666667,0.0,0.3911365071932475,4.733333333333333,13.933333333333335,30.333333333333332,0.3333333333333333,1.3333333333333333,8.666666666666666,8.0,0.3911365071932475,0.0,0.6572534,3.0,1.2,0.02239460051059722,0.2421430841088295,3.94,10.440000000000001,23.2,0.2,2.0,10.2,7.0,0.2421430841088295,0.2,0.960454,4.375,1.75,0.07866471447050571,0.40559659991413355,5.5,17.75,29.25,0.125,4.25,8.75,12.0,0.40559659991413355,0.375,1.0702621666666665,3.9166666666666665,1.25,0.13128842227160928,0.29108607086042565,5.133333333333334,16.366666666666667,23.25,0.08333333333333333,5.333333333333333,9.083333333333334,11.916666666666666,0.29108607086042565,0.75,0.07692307692307693,0.23076923076923078,0.15384615384615385,34.0
12,Ethan,Nwaneri,MID,45,1,,0.547487,2.6666666666666665,0.6666666666666666,0.0130620424946149,0.0689974029858907,2.433333333333333,12.266666666666666,7.0,0.0,1.3333333333333333,8.666666666666666,10.333333333333334,0.0689974029858907,0.3333333333333333,0.6572534,2.0,0.6,0.00783722549676894,0.04773846715688704,1.6199999999999999,7.639999999999999,5.2,0.0,2.0,10.2,7.4,0.04773846715688704,0.2,0.960454,1.625,0.5,0.0179538708180189,0.03243963676504789,1.5374999999999999,6.574999999999999,5.125,0.0,4.25,8.75,6.125,0.03243963676504789,0.25,1.0702621666666665,1.625,0.5,0.0179538708180189,0.03243963676504789,1.5374999999999999,6.574999999999999,5.125,0.0,5.333333333333333,9.083333333333334,6.125,0.03243963676504789,0.25,0.0,0.125,0.0,4.8
13,Martin,Ødegaard,MID,83,1,2.0,0.547487,4.333333333333333,1.0,0.32409286995728803,0.3072632576028506,7.233333333333334,22.799999999999997,14.333333333333334,0.0,1.3333333333333333,8.666666666666666,23.0,0.1804017797112464,2.3333333333333335,0.6572534,5.2,1.4,0.4140619426965714,0.24701634794473648,8.58,26.52,14.6,0.0,2.0,10.2,24.8,0.17089946120977398,3.4,0.960454,4.125,1.25,0.3299675183370709,0.2556788621004671,7.4875,20.875,16.625,0.125,4.25,8.75,19.125,0.20810580789111552,2.75,1.0702621666666665,4.125,1.25,0.3299675183370709,0.2556788621004671,7.4875,20.875,16.625,0.125,5.333333333333333,9.083333333333334,19.125,0.20810580789111552,2.75,0.125,0.125,0.25,82.2
16,Declan,Rice,MID,62,1,,0.547487,3.6666666666666665,1.6666666666666667,0.5676501989364624,0.07220177849133806,7.266666666666667,19.666666666666668,8.333333333333334,0.3333333333333333,1.3333333333333333,8.666666666666666,22.666666666666668,0.07220177849133806,2.6666666666666665,0.6572534,3.0,1.4,0.35421868711709975,0.1444887340068817,6.16,17.200000000000003,8.2,0.2,2.0,10.2,17.6,0.1444887340068817,2.0,0.960454,3.0,1.125,0.31730629131197924,0.10034672357141969,6.5,19.725,7.0,0.125,4.25,8.75,18.625,0.10034672357141969,2.25,1.0702621666666665,2.25,1.1666666666666667,0.2904837255676587,0.07936847675591704,5.491666666666667,17.383333333333336,8.833333333333334,0.25,5.333333333333333,9.083333333333334,15.083333333333334,0.07936847675591704,1.75,0.23076923076923078,0.0,0.15384615384615385,68.0
17,Bukayo,Saka,MID,106,1,1.0,0.547487,7.666666666666667,2.0,0.6079860677321752,0.39388961096604663,10.833333333333334,31.8,35.333333333333336,0.3333333333333333,1.3333333333333333,8.666666666666666,28.0,0.2670281355579694,2.3333333333333335,0.6572534,7.6,2.8,0.5020652741193772,0.3277578808367252,10.319999999999999,31.360000000000003,36.2,0.4,2.0,10.2,27.6,0.25164099559187886,2.2,0.960454,8.125,3.125,0.5894369911402464,0.31383149465546006,10.862499999999999,35.3,36.875,0.25,4.25,8.75,30.5,0.2662584413774311,2.375,1.0702621666666665,7.083333333333333,3.0833333333333335,0.6970216321448485,0.3474313787495096,11.25,33.449999999999996,38.166666666666664,0.16666666666666666,5.333333333333333,9.083333333333334,28.833333333333332,0.3157160098974903,2.6666666666666665,0.21428571428571427,0.35714285714285715,0.7857142857142857,83.0
20,Thomas,Partey,MID,50,1,,0.547487,5.333333333333333,1.6666666666666667,0.3209572235743205,0.20053691541155175,5.266666666666667,24.53333333333333,18.666666666666668,0.0,1.3333333333333333,8.666666666666666,23.666666666666668,0.20053691541155175,0.3333333333333333,0.6572534,4.0,1.2,0.23339488208293915,0.1475808940827846,4.54,20.439999999999998,13.0,0.0,2.0,10.2,19.8,0.1475808940827846,0.6,0.960454,3.25,1.125,0.14587180130183697,0.10739373089745637,3.9375,19.05,9.875,0.0,4.25,8.75,18.875,0.10739373089745637,0.375,1.0702621666666665,2.75,0.75,0.10123612141857545,0.07159582059830424,3.466666666666667,18.083333333333332,7.083333333333333,0.16666666666666666,5.333333333333333,9.083333333333334,16.833333333333332,0.07159582059830424,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.07142857142857142,63.0
23,Leandro,Trossard,MID,68,1,4.0,0.547487,4.666666666666667,1.3333333333333333,0.24023088564475373,0.3089122784634431,6.466666666666666,22.599999999999998,25.0,0.0,1.3333333333333333,8.666666666666666,17.666666666666668,0.3089122784634431,1.3333333333333333,0.6572534,3.6,1.8,0.16793983653187744,0.4132038839161396,5.94,16.84,26.4,0.0,2.0,10.2,14.0,0.4132038839161396,1.2,0.960454,3.125,1.375,0.10496239783242342,0.26677028229460115,4.2625,12.5,19.0,0.0,4.25,8.75,11.125,0.26677028229460115,0.75,1.0702621666666665,3.25,1.4166666666666667,0.13896434164295593,0.2991688912734389,4.8,13.716666666666667,19.166666666666668,0.0,5.333333333333333,9.083333333333334,11.5,0.2991688912734389,1.25,0.0,0.2,0.13333333333333333,54.2
186,Raheem,Sterling,MID,67,1,,0.547487,2.0,0.6666666666666666,0.07568621387084319,0.05905495584011077,1.9333333333333336,6.333333333333333,6.333333333333333,0.0,1.3333333333333333,8.666666666666666,5.333333333333333,0.05905495584011077,0.6666666666666666,0.6572534,1.6,0.8,0.05425034612417218,0.0826166421175003,2.22,4.76,10.4,0.0,2.0,10.2,4.4,0.0826166421175003,0.6,0.960454,1.5,0.6666666666666666,0.04520862177014348,0.06884720176458359,1.8833333333333335,3.966666666666667,9.0,0.0,4.25,8.75,4.0,0.06884720176458359,0.5,1.0702621666666665,1.5,0.6666666666666666,0.04520862177014348,0.06884720176458359,1.8833333333333335,3.966666666666667,9.0,0.0,5.333333333333333,9.083333333333334,4.0,0.06884720176458359,0.5,0.0,0.0,0.16666666666666666,4.6
