assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,731,352,0,0,0.0,0.0,2022-05-07 14:00:00+00:00,0,3,0,0,0,0,36,0,0,0,3,0.0,0,0,0,0,45,False,0,3,Tyler Dibling,16,BRE,1120,1080,SOU,1140,1090,1,2021
0,0,0,0,0.0,731,366,0,0,0.0,0.0,2022-05-17 18:45:00+00:00,0,11,0,0,0,0,37,0,41,2,1,0.0,0,28,30,2,45,True,0,3,Tyler Dibling,16,LIV,1350,1350,SOU,1090,1120,1,2021
0,0,0,0,0.0,731,377,0,0,0.0,0.0,2022-05-22 15:00:00+00:00,0,9,0,0,0,0,38,0,89,1,4,0.0,0,44,55,11,45,False,0,3,Tyler Dibling,16,LEI,1100,1150,SOU,1140,1090,1,2021
