id,first_name,second_name,position
1,Bernd,Leno,GK
2,Rúnar Alex,Rúnarsson,GK
3,Willian,Borges Da Silva,MID
4,Pierre-Emerick,Aubameyang,FWD
5,Cédric,Soares,DEF
6,Alexandre,Lacazette,FWD
7,Granit,Xhaka,MID
8,Pablo,Marí,DEF
9,Héctor,Bellerín,DEF
11,Sead,Kolasinac,DEF
12,Mohamed Naser,El Sayed Elneny,MID
13,Ainsley,Maitland-Niles,MID
14,Rob,Holding,DEF
15,Thomas,Partey,MID
16,Kieran,Tierney,DEF
17,Nicolas,Pépé,MID
18,Lucas,Torreira,MID
20,Edward,Nketiah,FWD
21,Emile,Smith Rowe,MID
22,Bukayo,Saka,MID
23,Gabriel,Magalhães,DEF
24,Konstantinos,Mavropanos,DEF
25,Mattéo,Guendouzi,MID
26,Gabriel Teodoro,Martinelli Silva,MID
27,William,Saliba,DEF
67,Ben,White,DEF
466,Nuno,Varela Tavares,DEF
478,Albert,Sambi Lokonga,MID
530,Folarin,Balogun,FWD
531,Reiss,Nelson,MID
532,Karl,Hein,GK
558,Martin,Ødegaard,MID
559,Aaron,Ramsdale,GK
572,Arthur,Okonkwo,GK
590,Takehiro,Tomiyasu,DEF
664,Charlie,Patino,MID
692,Omari,Hutchinson,MID
693,Salah-Eddine,Oulad M'hand,MID
694,Mika,Biereth,FWD
695,Ryan,Alebiosu,DEF
705,Zach,Awe,DEF
711,Zak,Swanson,DEF
719,Mazeed,Ogungbo,DEF
720,Marcelo,Flores,MID
721,Miguel,Azeez,MID
730,Alex,Kirk,DEF
10,Calum,Chambers,DEF
28,Jed,Steer,GK
29,Conor,Hourihane,MID
30,Emiliano,Martínez,GK
31,Björn,Engels,DEF
32,Bertrand,Traoré,MID
34,Morgan,Sanson,MID
35,John,McGinn,MID
36,Kortney,Hause,DEF
37,Mahmoud Ahmed,Ibrahim Hassan,MID
38,Tyrone,Mings,DEF
40,Ollie,Watkins,FWD
41,Marvelous,Nakamba,MID
43,Emiliano,Buendía Stati,MID
44,Matthew,Cash,DEF
45,Ezri,Konsa Ngoyo,DEF
46,Frédéric,Guilbert,DEF
47,Wesley,Moraes,FWD
48,Mbwana Ally,Samatta,FWD
49,Keinan,Davis,FWD
50,Douglas Luiz,Soares de Paulo,MID
51,Jacob,Ramsey,MID
52,Ashley,Young,DEF
168,Lucas,Digne,DEF
337,Danny,Ings,FWD
492,Leon,Bailey,MID
496,Aaron,Ramsey,MID
497,Jaden,Philogene-Bidace,MID
526,Carney,Chukwuemeka,MID
568,Cameron,Archer,FWD
596,Viljami,Sinisalo,GK
610,Lamare,Bogarde,DEF
638,Tim,Iroegbunam,MID
650,Filip,Marschall,GK
670,Josh,Feeney,DEF
681,Philippe,Coutinho Correia,MID
684,Kaine,Hayden,DEF
691,Robin,Olsen,GK
703,Benjamin,Chrisene,MID
713,Tommi,O'Reilly,MID
76,Pontus,Jansson,DEF
77,Christian,Nørgaard,MID
78,Ivan,Toney,FWD
79,Tariqe,Fosu-Henry,MID
80,David,Raya Martin,GK
81,Sergi,Canós,MID
82,Pelenda Joshua,Dasilva,MID
83,Rico,Henry,DEF
84,Vitaly,Janelt,MID
85,Saman,Ghoddos,MID
86,Mathias,Jensen,MID
87,Charlie,Goode,DEF
88,Marcus,Forss,FWD
89,Mads,Roerslev Rasmussen,DEF
90,Mads,Bech Sørensen,DEF
91,Ethan,Pinnock,DEF
92,Ellery,Balcombe,GK
93,Jan,Zamburek,MID
94,Patrik,Gunnarsson,GK
95,Halil,Dervişoğlu,FWD
96,Bryan,Mbeumo,MID
97,Mads,Bidstrup,MID
479,Frank,Onyeka,MID
483,Kristoffer,Ajer,DEF
498,Dominic,Thompson,DEF
499,Shandon,Baptiste,MID
524,Yoane,Wissa,MID
556,Álvaro,Fernández,GK
556,Álvaro,Fernández,DEF
569,Finley,Stevens,DEF
594,Mathias,Jorgensen,DEF
614,Paris,Maghoma,MID
619,Matthew,Cox,GK
628,Maxwell,Haygarth,MID
640,Nathan,Young-Coombes,FWD
662,Myles,Peart-Harris,MID
673,Jonas,Lössl,GK
699,Christian,Eriksen,MID
722,Julian,Jeanvier,DEF
53,Adam,Lallana,MID
54,Jason,Steele,GK
55,Pascal,Groß,MID
56,Shane,Duffy,DEF
57,Davy,Pröpper,MID
59,Lewis,Dunk,DEF
60,Solomon,March,MID
61,Adam,Webster,DEF
62,Joël,Veltman,DEF
63,Neal,Maupay,FWD
64,Leandro,Trossard,MID
65,Mathew,Ryan,GK
66,Alireza,Jahanbakhsh,MID
68,Bernardo,Fernandes Da Silva Junior,DEF
69,Robert,Sánchez,GK
70,Yves,Bissouma,MID
71,Tariq,Lamptey,DEF
72,Aaron,Connolly,FWD
73,Steven,Alzate,MID
74,Alexis,Mac Allister,MID
75,Jakub,Moder,MID
447,Danny,Welbeck,FWD
462,Enock,Mwepu,MID
476,Kjell,Scherpen,GK
500,Florin,Andone,FWD
535,Andi,Zeqiri,FWD
536,Michal,Karbownik,DEF
537,Taylor,Richards,MID
538,Moisés,Caicedo,MID
560,Haydon,Roberts,DEF
584,Marc,Cucurella,DEF
595,Jürgen,Locadia,FWD
612,Jeremy,Sarmiento,MID
653,Ed,Turns,DEF
654,Marc,Leonard,MID
655,Evan,Ferguson,FWD
688,Thomas,McGill,GK
712,Odeluga,Offiah,DEF
98,James,Tarkowski,DEF
99,Phil,Bardsley,DEF
100,Erik,Pieters,DEF
101,Jack,Cork,MID
102,Dale,Stephens,MID
103,Kevin,Long,DEF
