assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense
0,0,0,0,0.0,687,220,0,0,0.0,0.0,2022-01-15T15:00:00Z,0,16,0,0,0,0,22,0,0,1,3,0.0,0,0,0,0,45,True,0,3,Ryan Giles,20,SOU,1140,1090,WOL,1150,1080
0,0,0,0,0.0,687,222,0,0,0.0,0.0,2022-01-22T15:00:00Z,0,3,0,0,0,0,23,0,85,2,1,0.0,0,56,67,11,45,False,0,3,Ryan Giles,20,BRE,1120,1080,WOL,1160,1100
0,0,0,0,0.0,687,236,0,0,0.0,0.0,2022-02-10T19:45:00Z,0,1,0,0,0,0,24,0,92,1,0,0.0,0,0,19,19,45,True,0,3,Ryan Giles,20,ARS,1210,1220,WOL,1150,1080
0,0,0,0,0.0,687,249,0,0,0.0,0.0,2022-02-13T14:00:00Z,0,17,0,0,0,0,25,0,85,2,0,0.0,0,-6,0,6,45,False,0,3,Ryan Giles,20,TOT,1190,1210,WOL,1160,1100
0,0,0,0,0.0,687,260,0,0,0.0,0.0,2022-02-20T16:30:00Z,0,9,0,0,0,0,26,0,75,1,2,0.0,0,-9,0,9,45,True,0,3,Ryan Giles,20,LEI,1080,1160,WOL,1150,1080
0,0,0,0,0.0,687,191,0,0,0.0,0.0,2022-02-24T19:45:00Z,0,1,0,0,0,0,26,0,75,1,2,0.0,0,-9,0,9,45,False,0,3,Ryan Giles,20,ARS,1150,1190,WOL,1160,1100
0,0,0,0,0.0,687,270,0,0,0.0,0.0,2022-02-27T14:00:00Z,0,19,0,0,0,0,27,0,72,0,1,0.0,0,-5,0,5,45,False,0,3,Ryan Giles,20,WHU,1110,1160,WOL,1160,1100
0,0,0,0,0.0,687,280,0,0,0.0,0.0,2022-03-05T15:00:00Z,0,7,0,0,0,0,28,0,70,2,0,0.0,0,-2,0,2,45,True,0,3,Ryan Giles,20,CRY,1160,1160,WOL,1150,1080
0,0,0,0,0.0,687,190,0,0,0.0,0.0,2022-03-10T19:30:00Z,0,18,0,0,0,0,28,0,70,0,4,0.0,0,-2,0,2,45,True,0,3,Ryan Giles,20,WAT,1040,1070,WOL,1150,1080
0,0,0,0,0.0,687,286,0,0,0.0,0.0,2022-03-13T14:00:00Z,0,8,0,0,0,0,29,0,68,1,0,0.0,0,-2,0,2,45,False,0,3,Ryan Giles,20,EVE,1130,1110,WOL,1160,1100
0,0,0,0,0.0,687,300,0,0,0.0,0.0,2022-03-18T20:00:00Z,0,10,0,0,0,0,30,0,66,3,2,0.0,0,-2,0,2,45,True,0,3,Ryan Giles,20,LEE,1070,1100,WOL,1150,1080
0,0,0,0,0.0,687,310,0,0,0.0,0.0,2022-04-02T14:00:00Z,0,2,0,0,0,0,31,0,66,1,2,0.0,0,-1,0,1,45,True,0,3,Ryan Giles,20,AVL,1110,1090,WOL,1150,1080
0,0,0,0,0.0,687,317,0,0,0.0,0.0,2022-04-08T19:00:00Z,0,14,0,0,0,0,32,0,65,0,1,0.0,0,-1,0,1,45,False,0,3,Ryan Giles,20,NEW,1050,1040,WOL,1160,1100
0,0,0,0,0.0,687,334,0,0,0.0,0.0,2022-04-24T13:00:00Z,0,5,0,0,0,0,34,0,62,0,1,0.0,0,-1,0,1,45,False,0,3,Ryan Giles,20,BUR,1080,1060,WOL,1160,1100
0,0,0,0,0.0,687,350,0,0,0.0,0.0,2022-04-30T14:00:00Z,0,4,0,0,0,0,35,0,61,3,0,0.0,0,-1,0,1,45,True,0,3,Ryan Giles,20,BHA,1160,1120,WOL,1150,1080
0,0,0,0,0.0,687,355,0,0,0.0,0.0,2022-05-07T14:00:00Z,0,6,0,0,0,0,36,0,60,2,2,0.0,0,0,0,0,45,False,0,3,Ryan Giles,20,CHE,1300,1250,WOL,1160,1100
0,0,0,0,0.0,687,330,0,0,0.0,0.0,2022-05-11T19:15:00Z,0,12,0,0,0,0,36,0,60,5,1,0.0,0,0,0,0,45,True,0,3,Ryan Giles,20,MCI,1360,1360,WOL,1150,1080
0,0,0,0,0.0,687,370,0,0,0.0,0.0,2022-05-15T13:00:00Z,0,15,0,0,0,0,37,0,61,1,1,0.0,0,0,0,0,45,True,0,3,Ryan Giles,20,NOR,1040,1030,WOL,1150,1080
0,0,0,0,0.0,687,378,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,11,0,0,0,0,38,0,61,1,3,0.0,0,0,0,0,45,False,0,3,Ryan Giles,20,LIV,1300,1340,WOL,1160,1100
