assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense
0,0,0,0,0.0,659,210,0,0,0.0,0.0,2021-02-03T18:00:00Z,0,4,0,0,0,0,22,0,0,2,0,0.0,0,0,0,0,45,False,0,3,Claudio Gomes,12,BUR,1040,1040,MCI,1320,1350
0,0,0,0,0.0,659,223,0,0,0.0,0.0,2021-02-07T16:30:00Z,0,11,0,0,0,0,23,0,52,4,1,0.0,0,28,35,7,45,False,0,3,Claudio Gomes,12,LIV,1190,1300,MCI,1320,1350
0,0,0,0,0.0,659,235,0,0,0.0,0.0,2021-02-13T17:30:00Z,0,17,0,0,0,0,24,0,153,0,3,0.0,0,40,73,33,45,True,0,3,Claudio Gomes,12,TOT,1170,1290,MCI,1280,1340
0,0,0,0,0.0,659,153,0,0,0.0,0.0,2021-02-17T20:15:00Z,0,7,0,0,0,0,24,0,153,3,1,0.0,0,40,73,33,45,False,0,3,Claudio Gomes,12,EVE,1130,1200,MCI,1320,1350
0,0,0,0,0.0,659,239,0,0,0.0,0.0,2021-02-21T16:30:00Z,0,1,0,0,0,0,25,0,206,1,0,0.0,0,19,54,35,45,False,0,3,Claudio Gomes,12,ARS,1130,1220,MCI,1320,1350
0,0,0,0,0.0,659,254,0,0,0.0,0.0,2021-02-27T12:30:00Z,0,19,0,0,0,0,26,0,261,1,2,0.0,0,5,50,45,45,True,0,3,Claudio Gomes,12,WHU,1190,1290,MCI,1280,1340
0,0,0,0,0.0,659,284,0,0,0.0,0.0,2021-03-02T20:00:00Z,0,20,0,0,0,0,26,0,261,1,4,0.0,0,5,50,45,45,True,0,3,Claudio Gomes,12,WOL,1130,1120,MCI,1280,1340
0,0,0,0,0.0,659,264,0,0,0.0,0.0,2021-03-07T16:30:00Z,0,13,0,0,0,0,27,0,289,2,0,0.0,0,-4,30,34,45,True,0,3,Claudio Gomes,12,MUN,1280,1310,MCI,1280,1340
0,0,0,0,0.0,659,325,0,0,0.0,0.0,2021-03-10T18:00:00Z,0,16,0,0,0,0,27,0,289,2,5,0.0,0,-4,30,34,45,True,0,3,Claudio Gomes,12,SOU,1110,1160,MCI,1280,1340
0,0,0,0,0.0,659,272,0,0,0.0,0.0,2021-03-13T20:00:00Z,0,8,0,0,0,0,28,0,309,3,0,0.0,0,6,37,31,45,False,0,3,Claudio Gomes,12,FUL,1150,1040,MCI,1320,1350
0,0,0,0,0.0,659,294,0,0,0.0,0.0,2021-04-03T16:30:00Z,0,9,0,0,0,0,30,0,385,2,0,0.0,0,20,36,16,45,False,0,3,Claudio Gomes,12,LEI,1190,1150,MCI,1320,1350
0,0,0,0,0.0,659,304,0,0,0.0,0.0,2021-04-10T11:30:00Z,0,10,0,0,0,0,31,0,400,2,1,0.0,0,3,22,19,45,True,0,3,Claudio Gomes,12,LEE,1150,1170,MCI,1280,1340
0,0,0,0,0.0,659,310,0,0,0.0,0.0,2021-04-21T19:15:00Z,0,2,0,0,0,0,32,0,413,2,1,0.0,0,5,29,24,45,False,0,3,Claudio Gomes,12,AVL,1120,1080,MCI,1320,1350
0,0,0,0,0.0,659,332,0,0,0.0,0.0,2021-05-01T11:30:00Z,0,6,0,0,0,0,34,0,442,2,0,0.0,0,2,15,13,45,False,0,3,Claudio Gomes,12,CRY,1030,1010,MCI,1320,1350
0,0,0,0,0.0,659,345,0,0,0.0,0.0,2021-05-08T16:30:00Z,0,5,0,0,0,0,35,0,460,2,1,0.0,0,8,27,19,45,True,0,3,Claudio Gomes,12,CHE,1300,1310,MCI,1280,1340
0,0,0,0,0.0,659,356,0,0,0.0,0.0,2021-05-14T19:00:00Z,0,14,0,0,0,0,36,0,481,4,3,0.0,0,1,15,14,45,False,0,3,Claudio Gomes,12,NEW,1050,1030,MCI,1320,1350
0,0,0,0,0.0,659,359,0,0,0.0,0.0,2021-05-18T18:00:00Z,0,3,0,0,0,0,37,0,495,2,3,0.0,0,0,22,22,45,False,0,3,Claudio Gomes,12,BHA,1150,1100,MCI,1320,1350
0,0,0,0,0.0,659,375,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,7,0,0,0,0,38,0,517,0,5,0.0,0,14,33,19,45,True,0,3,Claudio Gomes,12,EVE,1100,1140,MCI,1280,1340
