id,first_name,second_name,own_team,opponent_team,own_short_name,opponent_short_name,own_attack,opponent_attack,own_defense,opponent_defense,was_home,crowds,season,POS,gameweek,value,mean_xg_5,mean_xa_5
1,Fábio,Ferreira Vieira,1,16,ARS,NFO,1360,1130,1340,1070,1,1,24,3,12,54,0.0,0.0
1,Fábio,Ferreira Vieira,1,14,ARS,MUN,1360,1140,1340,1170,1,1,24,3,14,54,0.0,0.0
1,Fábio,Ferreira Vieira,1,8,ARS,EVE,1360,1100,1340,1100,1,1,24,3,16,54,0.0,0.0
7,Jorge Luiz,Frello Filho,1,16,ARS,NFO,1360,1130,1340,1070,1,1,24,3,12,48,0.0,0.0
7,Jorge Luiz,Frello Filho,1,14,ARS,MUN,1360,1140,1340,1170,1,1,24,3,14,48,0.0,0.0
7,Jorge Luiz,Frello Filho,1,8,ARS,EVE,1360,1100,1340,1100,1,1,24,3,16,48,0.0,0.0
9,Gabriel,Martinelli Silva,1,16,ARS,NFO,1360,1130,1340,1070,1,1,24,3,12,69,0.22,0.228
9,Gabriel,Martinelli Silva,1,14,ARS,MUN,1360,1140,1340,1170,1,1,24,3,14,69,0.22,0.228
9,Gabriel,Martinelli Silva,1,8,ARS,EVE,1360,1100,1340,1100,1,1,24,3,16,69,0.22,0.228
12,Ethan,Nwaneri,1,16,ARS,NFO,1360,1130,1340,1070,1,1,24,3,12,45,0.0,0.0
12,Ethan,Nwaneri,1,14,ARS,MUN,1360,1140,1340,1170,1,1,24,3,14,45,0.0,0.0
12,Ethan,Nwaneri,1,8,ARS,EVE,1360,1100,1340,1100,1,1,24,3,16,45,0.0,0.0
13,Martin,Ødegaard,1,16,ARS,NFO,1360,1130,1340,1070,1,1,24,3,12,82,0.1425,0.2425
13,Martin,Ødegaard,1,14,ARS,MUN,1360,1140,1340,1170,1,1,24,3,14,82,0.1425,0.2425
13,Martin,Ødegaard,1,8,ARS,EVE,1360,1100,1340,1100,1,1,24,3,16,82,0.1425,0.2425
16,Declan,Rice,1,16,ARS,NFO,1360,1130,1340,1070,1,1,24,3,12,63,0.098,0.162
16,Declan,Rice,1,14,ARS,MUN,1360,1140,1340,1170,1,1,24,3,14,63,0.098,0.162
16,Declan,Rice,1,8,ARS,EVE,1360,1100,1340,1100,1,1,24,3,16,63,0.098,0.162
17,Bukayo,Saka,1,16,ARS,NFO,1360,1130,1340,1070,1,1,24,3,12,101,0.2119999999999999,0.398
17,Bukayo,Saka,1,14,ARS,MUN,1360,1140,1340,1170,1,1,24,3,14,101,0.2119999999999999,0.398
17,Bukayo,Saka,1,8,ARS,EVE,1360,1100,1340,1100,1,1,24,3,16,101,0.2119999999999999,0.398
20,Thomas,Partey,1,16,ARS,NFO,1360,1130,1340,1070,1,1,24,3,12,50,0.0699999999999999,0.036
20,Thomas,Partey,1,14,ARS,MUN,1360,1140,1340,1170,1,1,24,3,14,50,0.0699999999999999,0.036
20,Thomas,Partey,1,8,ARS,EVE,1360,1100,1340,1100,1,1,24,3,16,50,0.0699999999999999,0.036
23,Leandro,Trossard,1,16,ARS,NFO,1360,1130,1340,1070,1,1,24,3,12,69,0.0,0.0
23,Leandro,Trossard,1,14,ARS,MUN,1360,1140,1340,1170,1,1,24,3,14,69,0.0,0.0
23,Leandro,Trossard,1,8,ARS,EVE,1360,1100,1340,1100,1,1,24,3,16,69,0.0,0.0
186,Raheem,Sterling,1,16,ARS,NFO,1360,1130,1340,1070,1,1,24,3,12,67,0.0,0.0
186,Raheem,Sterling,1,14,ARS,MUN,1360,1140,1340,1170,1,1,24,3,14,67,0.0,0.0
186,Raheem,Sterling,1,8,ARS,EVE,1360,1100,1340,1100,1,1,24,3,16,67,0.0,0.0
597,Myles,Lewis-Skelly,1,16,ARS,NFO,1360,1130,1340,1070,1,1,24,3,12,45,0.0,0.0
597,Myles,Lewis-Skelly,1,14,ARS,MUN,1360,1140,1340,1170,1,1,24,3,14,45,0.0,0.0
597,Myles,Lewis-Skelly,1,8,ARS,EVE,1360,1100,1340,1100,1,1,24,3,16,45,0.0,0.0
633,Mikel,Merino,1,16,ARS,NFO,1360,1130,1340,1070,1,1,24,3,12,60,0.0,0.0
633,Mikel,Merino,1,14,ARS,MUN,1360,1140,1340,1170,1,1,24,3,14,60,0.0,0.0
633,Mikel,Merino,1,8,ARS,EVE,1360,1100,1340,1100,1,1,24,3,16,60,0.0,0.0
638,Salah-Eddine,Oulad M'hand,1,16,ARS,NFO,1360,1130,1340,1070,1,1,24,3,12,45,0.0,0.0
638,Salah-Eddine,Oulad M'hand,1,14,ARS,MUN,1360,1140,1340,1170,1,1,24,3,14,45,0.0,0.0
638,Salah-Eddine,Oulad M'hand,1,8,ARS,EVE,1360,1100,1340,1100,1,1,24,3,16,45,0.0,0.0
659,Ismeal,Kabia,1,16,ARS,NFO,1360,1130,1340,1070,1,1,24,3,12,45,0.0,0.0
659,Ismeal,Kabia,1,14,ARS,MUN,1360,1140,1340,1170,1,1,24,3,14,45,0.0,0.0
659,Ismeal,Kabia,1,8,ARS,EVE,1360,1100,1340,1100,1,1,24,3,16,45,0.0,0.0
28,Leon,Bailey,2,7,AVL,CRY,1120,1100,1200,1090,1,1,24,3,12,63,0.066,0.152
28,Leon,Bailey,2,4,AVL,BRE,1120,1120,1200,1190,1,1,24,3,14,63,0.066,0.152
28,Leon,Bailey,2,17,AVL,SOU,1120,1070,1200,1060,1,1,24,3,15,63,0.066,0.152
28,Leon,Bailey,2,13,AVL,MCI,1120,1350,1200,1390,1,1,24,3,17,63,0.066,0.152
29,Ross,Barkley,2,7,AVL,CRY,1120,1100,1200,1090,1,1,24,3,12,52,0.0,0.0
29,Ross,Barkley,2,4,AVL,BRE,1120,1120,1200,1190,1,1,24,3,14,52,0.0,0.0
29,Ross,Barkley,2,17,AVL,SOU,1120,1070,1200,1060,1,1,24,3,15,52,0.0,0.0
29,Ross,Barkley,2,13,AVL,MCI,1120,1350,1200,1390,1,1,24,3,17,52,0.0,0.0
30,Enzo,Barrenechea,2,7,AVL,CRY,1120,1100,1200,1090,1,1,24,3,12,49,0.0,0.0
30,Enzo,Barrenechea,2,4,AVL,BRE,1120,1120,1200,1190,1,1,24,3,14,49,0.0,0.0
30,Enzo,Barrenechea,2,17,AVL,SOU,1120,1070,1200,1060,1,1,24,3,15,49,0.0,0.0
30,Enzo,Barrenechea,2,13,AVL,MCI,1120,1350,1200,1390,1,1,24,3,17,49,0.0,0.0
31,Emiliano,Buendía Stati,2,7,AVL,CRY,1120,1100,1200,1090,1,1,24,3,12,52,0.0,0.0
31,Emiliano,Buendía Stati,2,4,AVL,BRE,1120,1120,1200,1190,1,1,24,3,14,52,0.0,0.0
31,Emiliano,Buendía Stati,2,17,AVL,SOU,1120,1070,1200,1060,1,1,24,3,15,52,0.0,0.0
31,Emiliano,Buendía Stati,2,13,AVL,MCI,1120,1350,1200,1390,1,1,24,3,17,52,0.0,0.0
33,Leander,Dendoncker,2,7,AVL,CRY,1120,1100,1200,1090,1,1,24,3,12,45,0.0,0.0
33,Leander,Dendoncker,2,4,AVL,BRE,1120,1120,1200,1190,1,1,24,3,14,45,0.0,0.0
33,Leander,Dendoncker,2,17,AVL,SOU,1120,1070,1200,1060,1,1,24,3,15,45,0.0,0.0
33,Leander,Dendoncker,2,13,AVL,MCI,1120,1350,1200,1390,1,1,24,3,17,45,0.0,0.0
34,Moussa,Diaby,2,7,AVL,CRY,1120,1100,1200,1090,1,1,24,3,12,65,0.0,0.0
34,Moussa,Diaby,2,4,AVL,BRE,1120,1120,1200,1190,1,1,24,3,14,65,0.0,0.0
34,Moussa,Diaby,2,17,AVL,SOU,1120,1070,1200,1060,1,1,24,3,15,65,0.0,0.0
34,Moussa,Diaby,2,13,AVL,MCI,1120,1350,1200,1390,1,1,24,3,17,65,0.0,0.0
37,Lewis,Dobbin,2,7,AVL,CRY,1120,1100,1200,1090,1,1,24,3,12,50,0.0,0.0
37,Lewis,Dobbin,2,4,AVL,BRE,1120,1120,1200,1190,1,1,24,3,14,50,0.0,0.0
37,Lewis,Dobbin,2,17,AVL,SOU,1120,1070,1200,1060,1,1,24,3,15,50,0.0,0.0
37,Lewis,Dobbin,2,13,AVL,MCI,1120,1350,1200,1390,1,1,24,3,17,50,0.0,0.0
41,Samuel,Iling-Junior,2,7,AVL,CRY,1120,1100,1200,1090,1,1,24,3,12,54,0.0,0.0
41,Samuel,Iling-Junior,2,4,AVL,BRE,1120,1120,1200,1190,1,1,24,3,14,54,0.0,0.0
41,Samuel,Iling-Junior,2,17,AVL,SOU,1120,1070,1200,1060,1,1,24,3,15,54,0.0,0.0
41,Samuel,Iling-Junior,2,13,AVL,MCI,1120,1350,1200,1390,1,1,24,3,17,54,0.0,0.0
42,Boubacar,Kamara,2,7,AVL,CRY,1120,1100,1200,1090,1,1,24,3,12,50,0.0,0.0
42,Boubacar,Kamara,2,4,AVL,BRE,1120,1120,1200,1190,1,1,24,3,14,50,0.0,0.0
42,Boubacar,Kamara,2,17,AVL,SOU,1120,1070,1200,1060,1,1,24,3,15,50,0.0,0.0
42,Boubacar,Kamara,2,13,AVL,MCI,1120,1350,1200,1390,1,1,24,3,17,50,0.0,0.0
48,John,McGinn,2,7,AVL,CRY,1120,1100,1200,1090,1,1,24,3,12,52,0.0,0.0
48,John,McGinn,2,4,AVL,BRE,1120,1120,1200,1190,1,1,24,3,14,52,0.0,0.0
48,John,McGinn,2,17,AVL,SOU,1120,1070,1200,1060,1,1,24,3,15,52,0.0,0.0
48,John,McGinn,2,13,AVL,MCI,1120,1350,1200,1390,1,1,24,3,17,52,0.0,0.0
53,Jacob,Ramsey,2,7,AVL,CRY,1120,1100,1200,1090,1,1,24,3,12,54,0.0,0.0
53,Jacob,Ramsey,2,4,AVL,BRE,1120,1120,1200,1190,1,1,24,3,14,54,0.0,0.0
53,Jacob,Ramsey,2,17,AVL,SOU,1120,1070,1200,1060,1,1,24,3,15,54,0.0,0.0
53,Jacob,Ramsey,2,13,AVL,MCI,1120,1350,1200,1390,1,1,24,3,17,54,0.0,0.0
54,Morgan,Rogers,2,7,AVL,CRY,1120,1100,1200,1090,1,1,24,3,12,54,0.376,0.08
54,Morgan,Rogers,2,4,AVL,BRE,1120,1120,1200,1190,1,1,24,3,14,54,0.376,0.08
54,Morgan,Rogers,2,17,AVL,SOU,1120,1070,1200,1060,1,1,24,3,15,54,0.376,0.08
54,Morgan,Rogers,2,13,AVL,MCI,1120,1350,1200,1390,1,1,24,3,17,54,0.376,0.08
57,Youri,Tielemans,2,7,AVL,CRY,1120,1100,1200,1090,1,1,24,3,12,55,0.0659999999999999,0.174
57,Youri,Tielemans,2,4,AVL,BRE,1120,1120,1200,1190,1,1,24,3,14,55,0.0659999999999999,0.174
57,Youri,Tielemans,2,17,AVL,SOU,1120,1070,1200,1060,1,1,24,3,15,55,0.0659999999999999,0.174
57,Youri,Tielemans,2,13,AVL,MCI,1120,1350,1200,1390,1,1,24,3,17,55,0.0659999999999999,0.174
233,Amadou,Onana,2,7,AVL,CRY,1120,1100,1200,1090,1,1,24,3,12,49,0.052,0.018
233,Amadou,Onana,2,4,AVL,BRE,1120,1120,1200,1190,1,1,24,3,14,49,0.052,0.018
233,Amadou,Onana,2,17,AVL,SOU,1120,1070,1200,1060,1,1,24,3,15,49,0.052,0.018
233,Amadou,Onana,2,13,AVL,MCI,1120,1350,1200,1390,1,1,24,3,17,49,0.052,0.018
569,Jaden,Philogene,2,7,AVL,CRY,1120,1100,1200,1090,1,1,24,3,12,53,0.0,0.0
569,Jaden,Philogene,2,4,AVL,BRE,1120,1120,1200,1190,1,1,24,3,14,53,0.0,0.0
569,Jaden,Philogene,2,17,AVL,SOU,1120,1070,1200,1060,1,1,24,3,15,53,0.0,0.0
569,Jaden,Philogene,2,13,AVL,MCI,1120,1350,1200,1390,1,1,24,3,17,53,0.0,0.0
656,Kadan,Young,2,7,AVL,CRY,1120,1100,1200,1090,1,1,24,3,12,45,0.0,0.0
656,Kadan,Young,2,4,AVL,BRE,1120,1120,1200,1190,1,1,24,3,14,45,0.0,0.0
656,Kadan,Young,2,17,AVL,SOU,1120,1070,1200,1060,1,1,24,3,15,45,0.0,0.0
656,Kadan,Young,2,13,AVL,MCI,1120,1350,1200,1390,1,1,24,3,17,45,0.0,0.0
60,Tyler,Adams,3,5,BOU,BHA,1070,1130,1130,1220,1,1,24,3,12,49,0.03,0.02
60,Tyler,Adams,3,18,BOU,TOT,1070,1170,1130,1350,1,1,24,3,14,49,0.03,0.02
60,Tyler,Adams,3,19,BOU,WHU,1070,1070,1130,1130,1,1,24,3,16,49,0.03,0.02
61,Jaidon,Anthony,3,5,BOU,BHA,1070,1130,1130,1220,1,1,24,3,12,45,0.0,0.0
61,Jaidon,Anthony,3,18,BOU,TOT,1070,1170,1130,1350,1,1,24,3,14,45,0.0,0.0
61,Jaidon,Anthony,3,19,BOU,WHU,1070,1070,1130,1130,1,1,24,3,16,45,0.0,0.0
62,David,Brooks,3,5,BOU,BHA,1070,1130,1130,1220,1,1,24,3,12,49,0.0,0.0
62,David,Brooks,3,18,BOU,TOT,1070,1170,1130,1350,1,1,24,3,14,49,0.0,0.0
62,David,Brooks,3,19,BOU,WHU,1070,1070,1130,1130,1,1,24,3,16,49,0.0,0.0
63,Ryan,Christie,3,5,BOU,BHA,1070,1130,1130,1220,1,1,24,3,12,49,0.056,0.13
63,Ryan,Christie,3,18,BOU,TOT,1070,1170,1130,1350,1,1,24,3,14,49,0.056,0.13
63,Ryan,Christie,3,19,BOU,WHU,1070,1070,1130,1130,1,1,24,3,16,49,0.056,0.13
64,Lewis,Cook,3,5,BOU,BHA,1070,1130,1130,1220,1,1,24,3,12,50,0.026,0.15
64,Lewis,Cook,3,18,BOU,TOT,1070,1170,1130,1350,1,1,24,3,14,50,0.026,0.15
64,Lewis,Cook,3,19,BOU,WHU,1070,1070,1130,1130,1,1,24,3,16,50,0.026,0.15
66,Romain,Faivre,3,5,BOU,BHA,1070,1130,1130,1220,1,1,24,3,12,50,0.0,0.0
66,Romain,Faivre,3,18,BOU,TOT,1070,1170,1130,1350,1,1,24,3,14,50,0.0,0.0
66,Romain,Faivre,3,19,BOU,WHU,1070,1070,1130,1130,1,1,24,3,16,50,0.0,0.0
67,Hamed,Traorè,3,5,BOU,BHA,1070,1130,1130,1220,1,1,24,3,12,45,0.0,0.0
67,Hamed,Traorè,3,18,BOU,TOT,1070,1170,1130,1350,1,1,24,3,14,45,0.0,0.0
67,Hamed,Traorè,3,19,BOU,WHU,1070,1070,1130,1130,1,1,24,3,16,45,0.0,0.0
71,Justin,Kluivert,3,5,BOU,BHA,1070,1130,1130,1220,1,1,24,3,12,53,0.182,0.124
71,Justin,Kluivert,3,18,BOU,TOT,1070,1170,1130,1350,1,1,24,3,14,53,0.182,0.124
71,Justin,Kluivert,3,19,BOU,WHU,1070,1070,1130,1130,1,1,24,3,16,53,0.182,0.124
74,Dango,Ouattara,3,5,BOU,BHA,1070,1130,1130,1220,1,1,24,3,12,50,0.0,0.0
74,Dango,Ouattara,3,18,BOU,TOT,1070,1170,1130,1350,1,1,24,3,14,50,0.0,0.0
74,Dango,Ouattara,3,19,BOU,WHU,1070,1070,1130,1130,1,1,24,3,16,50,0.0,0.0
76,Philip,Billing,3,5,BOU,BHA,1070,1130,1130,1220,1,1,24,3,12,48,0.0,0.0
76,Philip,Billing,3,18,BOU,TOT,1070,1170,1130,1350,1,1,24,3,14,48,0.0,0.0
76,Philip,Billing,3,19,BOU,WHU,1070,1070,1130,1130,1,1,24,3,16,48,0.0,0.0
77,Alex,Scott,3,5,BOU,BHA,1070,1130,1130,1220,1,1,24,3,12,48,0.0,0.0
77,Alex,Scott,3,18,BOU,TOT,1070,1170,1130,1350,1,1,24,3,14,48,0.0,0.0
77,Alex,Scott,3,19,BOU,WHU,1070,1070,1130,1130,1,1,24,3,16,48,0.0,0.0
78,Antoine,Semenyo,3,5,BOU,BHA,1070,1130,1130,1220,1,1,24,3,12,57,0.35,0.066
78,Antoine,Semenyo,3,18,BOU,TOT,1070,1170,1130,1350,1,1,24,3,14,57,0.35,0.066
78,Antoine,Semenyo,3,19,BOU,WHU,1070,1070,1130,1130,1,1,24,3,16,57,0.35,0.066
80,Luis,Sinisterra,3,5,BOU,BHA,1070,1130,1130,1220,1,1,24,3,12,50,0.0,0.0
80,Luis,Sinisterra,3,18,BOU,TOT,1070,1170,1130,1350,1,1,24,3,14,50,0.0,0.0
80,Luis,Sinisterra,3,19,BOU,WHU,1070,1070,1130,1130,1,1,24,3,16,50,0.0,0.0
83,Marcus,Tavernier,3,5,BOU,BHA,1070,1130,1130,1220,1,1,24,3,12,55,0.0,0.0
83,Marcus,Tavernier,3,18,BOU,TOT,1070,1170,1130,1350,1,1,24,3,14,55,0.0,0.0
83,Marcus,Tavernier,3,19,BOU,WHU,1070,1070,1130,1130,1,1,24,3,16,55,0.0,0.0
87,Ethan,Brierley,4,11,BRE,LEI,1080,1120,1100,1080,1,1,24,3,13,45,0.0,0.0
87,Ethan,Brierley,4,15,BRE,NEW,1080,1130,1100,1310,1,1,24,3,15,45,0.0,0.0
87,Ethan,Brierley,4,16,BRE,NFO,1080,1130,1100,1070,1,1,24,3,17,45,0.0,0.0
89,Mikkel,Damsgaard,4,11,BRE,LEI,1080,1120,1100,1080,1,1,24,3,13,50,0.104,0.2779999999999999
89,Mikkel,Damsgaard,4,15,BRE,NEW,1080,1130,1100,1310,1,1,24,3,15,50,0.104,0.2779999999999999
89,Mikkel,Damsgaard,4,16,BRE,NFO,1080,1130,1100,1070,1,1,24,3,17,50,0.104,0.2779999999999999
90,Josh,Dasilva,4,11,BRE,LEI,1080,1120,1100,1080,1,1,24,3,13,48,0.0,0.0
90,Josh,Dasilva,4,15,BRE,NEW,1080,1130,1100,1310,1,1,24,3,15,48,0.0,0.0
90,Josh,Dasilva,4,16,BRE,NFO,1080,1130,1100,1070,1,1,24,3,17,48,0.0,0.0
94,Vitaly,Janelt,4,11,BRE,LEI,1080,1120,1100,1080,1,1,24,3,13,49,0.07,0.164
94,Vitaly,Janelt,4,15,BRE,NEW,1080,1130,1100,1310,1,1,24,3,15,49,0.07,0.164
94,Vitaly,Janelt,4,16,BRE,NFO,1080,1130,1100,1070,1,1,24,3,17,49,0.07,0.164
95,Mathias,Jensen,4,11,BRE,LEI,1080,1120,1100,1080,1,1,24,3,13,53,0.03,0.13
95,Mathias,Jensen,4,15,BRE,NEW,1080,1130,1100,1310,1,1,24,3,15,53,0.03,0.13
95,Mathias,Jensen,4,16,BRE,NFO,1080,1130,1100,1070,1,1,24,3,17,53,0.03,0.13
97,Yunus Emre,Konak,4,11,BRE,LEI,1080,1120,1100,1080,1,1,24,3,13,45,0.0,0.0
97,Yunus Emre,Konak,4,15,BRE,NEW,1080,1130,1100,1310,1,1,24,3,15,45,0.0,0.0
97,Yunus Emre,Konak,4,16,BRE,NFO,1080,1130,1100,1070,1,1,24,3,17,45,0.0,0.0
98,Keane,Lewis-Potter,4,11,BRE,LEI,1080,1120,1100,1080,1,1,24,3,13,50,0.146,0.24
98,Keane,Lewis-Potter,4,15,BRE,NEW,1080,1130,1100,1310,1,1,24,3,15,50,0.146,0.24
98,Keane,Lewis-Potter,4,16,BRE,NFO,1080,1130,1100,1070,1,1,24,3,17,50,0.146,0.24
99,Bryan,Mbeumo,4,11,BRE,LEI,1080,1120,1100,1080,1,1,24,3,13,79,0.374,0.196
99,Bryan,Mbeumo,4,15,BRE,NEW,1080,1130,1100,1310,1,1,24,3,15,79,0.374,0.196
99,Bryan,Mbeumo,4,16,BRE,NFO,1080,1130,1100,1070,1,1,24,3,17,79,0.374,0.196
101,Christian,Nørgaard,4,11,BRE,LEI,1080,1120,1100,1080,1,1,24,3,13,48,0.156,0.0199999999999999
101,Christian,Nørgaard,4,15,BRE,NEW,1080,1130,1100,1310,1,1,24,3,15,48,0.156,0.0199999999999999
101,Christian,Nørgaard,4,16,BRE,NFO,1080,1130,1100,1070,1,1,24,3,17,48,0.156,0.0199999999999999
102,Frank,Onyeka,4,11,BRE,LEI,1080,1120,1100,1080,1,1,24,3,13,49,0.0,0.0
102,Frank,Onyeka,4,15,BRE,NEW,1080,1130,1100,1310,1,1,24,3,15,49,0.0,0.0
102,Frank,Onyeka,4,16,BRE,NFO,1080,1130,1100,1070,1,1,24,3,17,49,0.0,0.0
103,Myles,Peart-Harris,4,11,BRE,LEI,1080,1120,1100,1080,1,1,24,3,13,45,0.0,0.0
103,Myles,Peart-Harris,4,15,BRE,NEW,1080,1130,1100,1310,1,1,24,3,15,45,0.0,0.0
