assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense
0,0,0,0,0.0,674,205,0,0,0.0,0.0,2022-01-02T14:00:00Z,0,4,0,0,0,0,21,0,0,3,2,0.0,0,0,0,0,45,True,0,2,Nathan Patterson,8,BHA,1160,1120,EVE,1130,1110
0,0,0,0,0.0,674,217,0,0,0.0,0.0,2022-01-15T15:00:00Z,0,15,0,0,0,0,22,0,2185,1,2,0.0,0,1829,2157,328,45,False,0,2,Nathan Patterson,8,NOR,1040,1040,EVE,1090,1110
0,0,0,0,0.0,674,225,0,0,0.0,0.0,2022-01-22T12:30:00Z,0,2,0,0,0,0,23,0,2014,1,0,0.0,0,113,261,148,45,True,0,2,Nathan Patterson,8,AVL,1110,1090,EVE,1130,1110
0,0,0,0,0.0,674,239,0,0,0.0,0.0,2022-02-08T19:45:00Z,0,14,0,0,0,0,24,0,2041,1,3,0.0,0,-74,244,318,45,False,0,2,Nathan Patterson,8,NEW,1050,1040,EVE,1090,1110
0,0,0,0,0.0,674,244,0,0,0.0,0.0,2022-02-12T15:00:00Z,0,10,0,0,0,0,25,0,1920,0,3,0.0,0,-143,59,202,44,True,0,2,Nathan Patterson,8,LEE,1070,1100,EVE,1130,1110
0,0,0,0,0.0,674,258,0,0,0.0,0.0,2022-02-19T15:00:00Z,0,16,0,0,0,0,26,0,1752,0,2,0.0,0,-175,48,223,43,False,0,2,Nathan Patterson,8,SOU,1090,1120,EVE,1090,1110
0,0,0,0,0.0,674,266,0,0,0.0,0.0,2022-02-26T17:30:00Z,0,12,0,0,0,0,27,0,1666,1,0,0.0,0,-124,41,165,43,True,0,2,Nathan Patterson,8,MCI,1360,1360,EVE,1130,1110
0,0,0,0,0.0,674,278,0,0,0.0,0.0,2022-03-07T20:00:00Z,0,17,0,0,0,0,28,0,1638,0,5,0.0,0,-81,47,128,42,False,0,2,Nathan Patterson,8,TOT,1190,1210,EVE,1090,1110
0,0,0,0,0.0,674,286,0,0,0.0,0.0,2022-03-13T14:00:00Z,0,20,0,0,0,0,29,0,1648,1,0,0.0,0,-18,77,95,42,True,0,2,Nathan Patterson,8,WOL,1160,1100,EVE,1130,1110
0,0,0,0,0.0,674,195,0,0,0.0,0.0,2022-03-17T19:45:00Z,0,14,0,0,0,0,29,0,1648,0,1,0.0,0,-18,77,95,42,True,0,2,Nathan Patterson,8,NEW,1030,1070,EVE,1130,1110
0,0,0,0,0.0,674,309,0,0,0.0,0.0,2022-04-03T13:00:00Z,0,19,0,0,0,0,31,0,1674,1,2,0.0,0,14,67,53,42,False,0,2,Nathan Patterson,8,WHU,1110,1160,EVE,1090,1110
0,0,0,0,0.0,674,183,0,0,0.0,0.0,2022-04-06T18:30:00Z,0,5,0,0,0,0,31,0,1674,2,3,0.0,0,14,67,53,42,False,0,2,Nathan Patterson,8,BUR,1080,1060,EVE,1090,1110
0,0,0,0,0.0,674,314,0,0,0.0,0.0,2022-04-09T11:30:00Z,0,13,0,0,0,0,32,0,1632,0,1,0.0,0,-45,66,111,42,True,0,2,Nathan Patterson,8,MUN,1190,1200,EVE,1130,1110
0,0,0,0,0.0,674,172,0,0,0.0,0.0,2022-04-20T18:45:00Z,0,9,0,0,0,0,33,0,1468,1,1,0.0,0,-146,26,172,42,True,0,2,Nathan Patterson,8,LEI,1080,1160,EVE,1130,1110
0,0,0,0,0.0,674,338,0,0,0.0,0.0,2022-04-24T15:30:00Z,0,11,0,0,0,0,34,0,1441,0,2,0.0,0,-45,36,81,42,False,0,2,Nathan Patterson,8,LIV,1300,1340,EVE,1090,1110
0,0,0,0,0.0,674,342,0,0,0.0,0.0,2022-05-01T13:00:00Z,0,6,0,0,0,0,35,0,1415,0,1,0.0,0,-23,32,55,42,True,0,2,Nathan Patterson,8,CHE,1300,1290,EVE,1130,1110
0,0,0,0,0.0,674,357,0,0,0.0,0.0,2022-05-08T13:00:00Z,0,9,0,0,0,0,36,0,1337,2,1,0.0,0,-80,22,102,42,False,0,2,Nathan Patterson,8,LEI,1100,1150,EVE,1090,1110
0,0,0,0,0.0,674,299,0,0,0.0,0.0,2022-05-11T18:45:00Z,0,18,0,0,0,0,36,0,1337,0,0,0.0,0,-80,22,102,42,False,0,2,Nathan Patterson,8,WAT,1090,1120,EVE,1090,1110
0,0,0,0,0.0,674,362,0,0,0.0,0.0,2022-05-15T15:30:00Z,0,3,0,0,0,0,37,0,1298,3,2,0.0,0,-42,19,61,41,True,0,2,Nathan Patterson,8,BRE,1150,1120,EVE,1130,1110
0,0,0,0,0.0,674,322,0,0,0.0,0.0,2022-05-19T18:45:00Z,0,7,0,0,0,0,37,0,1298,2,3,0.0,0,-42,19,61,41,True,0,2,Nathan Patterson,8,CRY,1160,1160,EVE,1130,1110
0,0,0,0,0.0,674,371,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,1,0,0,0,0,38,0,1327,1,5,0.0,0,28,71,43,41,False,0,2,Nathan Patterson,8,ARS,1150,1190,EVE,1090,1110
